"","seqnames","start","end","width","strand","Conc","Conc_SPT5_T0","Conc_SPT5_T15","Fold","p.value","FDR","peak","feature","start_position","end_position","feature_strand","insideFeature","distancetoFeature","shortestDistance","fromOverlappingOrNearest","symbol"
"39","VI",176620,177020,401,"*",3.97007018869156,2.61390300636579,4.6565763886576,-2.04267338229181,0.00605552737853921,0.091337537959633,"243","YFR015C",174265,176391,"-","upstream",-429,229,"NearestLocation","GSY1"
"40","IV",955143,955543,401,"*",4.04490908171182,2.70978573664746,4.72626102787592,-2.01647529122846,0.00677859277804276,0.099480429148033,"124","YDR246W-A",955133,955333,"+","overlapEnd",210,10,"NearestLocation","YDR246W-A"
"41","III",68447,68847,401,"*",4.0613871702584,4.69307079880061,2.91139584290443,1.78167495589617,0.00714633343781256,0.0995399882830909,"64","YCL030C",65934,68333,"-","upstream",-314,114,"NearestLocation","HIS4"
"42","VIII",174963,175363,401,"*",4.28783643375086,3.165434223996,4.91139584290443,-1.74596161890844,0.00714928092640984,0.0995399882830909,"335","YHR032W-A",175195,175374,"+","overlapStart",-32,11,"NearestLocation","YHR032W-A"
"43","V",261484,261884,401,"*",3.81876930521774,2.51119127570151,4.49323128005369,-1.98204000435218,0.00934630256406511,0.126876057307184,"204","YER053C-A",260933,261046,"-","upstream",-638,438,"NearestLocation","YER053C-A"
"44","VI",255496,255896,401,"*",4.15482075999771,2.94556499212841,4.80329387500648,-1.85772888287806,0.0101531545965648,0.134467388925236,"250","YFR053C",253592,255049,"-","upstream",-647,447,"NearestLocation","HXK1"
"45","V",69163,69563,401,"*",5.65860897203516,6.08538689918335,5.04987504324412,1.03551185593924,0.0119151355914222,0.154045681574816,"189","YEL045C",68840,69265,"-","overlapStart",-98,102,"NearestLocation","YEL045C"
"46","V",570046,570446,401,"*",5.60530912737715,6.02560472686988,5.0097725830246,1.01583214384528,0.0126442775956281,0.159670761265723,"234","YER188C-A",569608,569907,"-","upstream",-339,139,"NearestLocation","YER188C-A"
"47","VII",654090,654490,401,"*",4.4391580989997,3.52463317151894,4.99446525692364,-1.4698320854047,0.0138369247209365,0.17076023007883,"292","YGR088W",654634,656322,"+","upstream",-344,144,"NearestLocation","CTT1"
"48","VI",106633,107033,401,"*",4.61021502127131,3.80098538741855,5.12553739724351,-1.32455200982496,0.0151079305654996,0.182302362157028,"242","YFL015C",106469,106963,"-","overlapStart",130,70,"NearestLocation","YFL015C"
"49","IV",16,416,401,"*",4.32471507065761,4.88093511695371,3.4076585167279,1.47327660022581,0.0156372736896519,0.184587817684369,"77","YDL248W",1802,2953,"+","upstream",-1586,1386,"NearestLocation","COS7"
"50","IV",806165,806565,401,"*",3.65346161404504,2.40060268105853,4.31373689949838,-1.91313421843985,0.0174164656694264,0.198090264990606,"115","YDR171W",806621,807748,"+","upstream",-256,56,"NearestLocation","HSP42"
"51","IX",169657,170057,401,"*",3.73172274100943,2.53795098158476,4.37589424398713,-1.83794326240237,0.0175107416566282,0.198090264990606,"163","YIL105C",167581,169641,"-","upstream",-216,16,"NearestLocation","SLM1"
"52","XVI",114420,114820,401,"*",4.62451765359935,3.85456669604893,5.12385341871035,-1.26928672266141,0.019569275105031,0.21685951800065,"662","YPL230W",115312,116487,"+","upstream",-692,492,"NearestLocation","USV1"
"53","XIII",282890,283290,401,"*",4.13312751039369,3.165434223996,4.70715831396633,-1.54172408997033,0.0228591236848477,0.248250083217446,"508","YMR008C",280590,282584,"-","upstream",-506,306,"NearestLocation","PLB1"
"54","XVI",526828,527228,401,"*",4.00544886964622,3.04219248803592,4.57795255471699,-1.53576006668107,0.0243246099226543,0.258985552705907,"685","YPL015C",525810,526883,"-","overlapStart",-145,55,"NearestLocation","HST2"
"55","V",6118,6518,401,"*",4.48915464152916,4.98499594829223,3.72759218141679,1.25740376687544,0.0248278160318809,0.259259694332911,"185","YEL074W",6126,6464,"+","includeFeature",192,8,"NearestLocation","YEL074W"
"56","XV",27728,28128,401,"*",3.74892855333311,4.34151334332571,2.72581703694769,1.61569630637802,0.0293385262233827,0.300581504515035,"589","YOL155W-A",27084,27218,"+","downstream",844,510,"NearestLocation","YOL155W-A"
"57","IV",215692,216092,401,"*",4.0686647716677,4.60201382543684,3.2132724224458,1.38874140299104,0.0308499113434073,0.30843678724705,"83","YDL137W",216529,217074,"+","upstream",-637,437,"NearestLocation","ARF2"
"58","II",490554,490954,401,"*",4.61075323099927,3.8539433444757,5.1046019015579,-1.25065855708221,0.0312412952091855,0.30843678724705,"47","YBR126W-B",490927,491070,"+","overlapStart",-173,27,"NearestLocation","YBR126W-B"
"59","XIII",26020,26420,401,"*",4.48763720854018,5.00487617835666,3.6735961635291,1.33128001482755,0.0322834966126317,0.313034618940339,"489","YML122C",26038,26418,"-","includeFeature",198,2,"NearestLocation","YML122C"
"60","XIV",335750,336150,401,"*",3.92783650668537,2.98499594829223,4.49323128005369,-1.50823533176146,0.0329270749722683,0.313673714209503,"563","YNL160W",336545,337609,"+","upstream",-595,395,"NearestLocation","YGP1"
"61","XII",954428,954828,401,"*",4.11705236570758,3.24784055970854,4.65564430537608,-1.40780374566753,0.0353154441772197,0.330625623935005,"482","YLR415C",954259,954597,"-","overlapStart",-31,169,"NearestLocation","YLR415C"
"62","IV",76793,77193,401,"*",4.03664039640055,3.165434223996,4.57598326807599,-1.41054904407999,0.0385823670947109,0.352711958768767,"80","YDL214C",74446,76545,"-","upstream",-448,248,"NearestLocation","PRR2"
"63","XIII",774071,774471,401,"*",5.11218743123899,4.5375628504435,5.52202805777935,-0.98446520733585,0.0389736971015213,0.352711958768767,"533","YMR251W-A",774752,774931,"+","upstream",-481,281,"NearestLocation","HOR7"
"64","XII",370672,371072,401,"*",5.45449771631228,5.8389837332276,4.92876317195455,0.910220561273042,0.0419885579053023,0.371985297511061,"441","YLR112W",370791,371210,"+","overlapStart",81,119,"NearestLocation","YLR112W"
"65","V",435497,435897,401,"*",4.08325319679868,4.59528656620385,3.28222829033716,1.31305827586669,0.0424734593843201,0.371985297511061,"224","tK(CUU)E2",435752,435824,"-","includeFeature",127,73,"NearestLocation","tK(CUU)E2"
"66","XII",660149,660549,401,"*",3.82187826413739,2.9062290654127,4.37759109616584,-1.47136203075314,0.0432233788669146,0.372544360710074,"459","YLR258W",660716,662833,"+","upstream",-367,167,"NearestLocation","GSY2"
"67","II",89435,89835,401,"*",4.49815339276979,4.93642006364697,3.86557945664018,1.0708406070068,0.0510052420416866,0.429634071205532,"19","YBL071C-B",89458,89556,"-","includeFeature",-79,23,"NearestLocation","YBL071C-B"
"68","XVI",75057,75457,401,"*",5.18679200404031,5.56058337286924,4.68094425392402,0.879639118945222,0.0514294928699072,0.429634071205532,"658","YPL250W-A",75702,75989,"+","upstream",-445,245,"NearestLocation","YPL250W-A"
"69","VI",221504,221904,401,"*",5.20333750498071,5.57357489131548,4.70400599477628,0.869568896539196,0.053823777316963,0.44282289519865,"246","RUF23",221714,221967,"+","overlapStart",-10,63,"NearestLocation","RUF23"
"70","VIII",150734,151134,401,"*",3.99046875833344,3.2160228866974,4.49166520285512,-1.27564231615772,0.0587049951059695,0.460670870021806,"334","YHR022C-A",151217,151306,"-","downstream",372,83,"NearestLocation","YHR022C-A"
"71","VII",598856,599256,401,"*",4.46513237313044,3.82227494592762,4.90826877933253,-1.08599383340491,0.0587782269289734,0.460670870021806,"288","YGR055W",599417,601141,"+","upstream",-361,161,"NearestLocation","MUP1"
"72","XII",924564,924964,401,"*",4.86133183109855,5.2563942728556,4.31550841107985,0.940885861775755,0.0587856810149743,0.460670870021806,"479","YLR402W",924889,925080,"+","overlapStart",-125,75,"NearestLocation","YLR402W"
"73","XI",518627,519027,401,"*",4.93649236752429,5.32262482698631,4.4076585167279,0.914966310258412,0.0593866683269363,0.460670870021806,"420","YKR040C",518063,518566,"-","upstream",-261,61,"NearestLocation","YKR040C"
"74","V",85045,85445,401,"*",5.60878338534852,5.93863824565942,5.18043705113665,0.758201194522767,0.0636920661213701,0.487109745125408,"191","YEL035C",85045,85545,"-","overlapEnd",300,0,"NearestLocation","UTR5"
"75","VII",472429,472829,401,"*",3.65756773599248,2.73313180414927,4.21643634560959,-1.48330454146032,0.0684081211582041,0.510487140429316,"276","YGL012W",472855,474276,"+","upstream",-226,26,"NearestLocation","ERG4"
"76","I",71068,71468,401,"*",4.78658222222953,5.1787465454312,4.24630607676967,0.932440468661528,0.0686290262455618,0.510487140429316,"5","YAL038W",71786,73288,"+","upstream",-518,318,"NearestLocation","CDC19"
"77","I",166151,166551,401,"*",3.64577635983556,4.19984697754316,2.73467099756348,1.46517597997967,0.0708335016462569,0.519764748566452,"9","tA(UGC)A",166267,166339,"+","includeFeature",84,116,"NearestLocation","TGA1"
"78","XII",1028379,1028779,401,"*",5.33932395122664,5.68129197504823,4.89025528350783,0.791036691540406,0.0727381905086583,0.526624499282686,"485","YLR448W",1028854,1029768,"+","upstream",-275,75,"NearestLocation","RPL6B"
"79","II",45161,45561,401,"*",4.65260369186814,5.04631251578715,4.10937526710207,0.936937248685078,0.0752726622613476,0.536811703190811,"17","YBL093C",44256,44918,"-","upstream",-443,243,"NearestLocation","ROX3"
"80","XIII",551202,551602,401,"*",5.13734974712887,5.48432865490687,4.67956933476583,0.804759320141034,0.0761224698815699,0.536811703190811,"524","YMR142C",550206,551207,"-","overlapStart",-195,5,"NearestLocation","RPL13B"
"81","V",491049,491449,401,"*",4.98464421624671,5.34908852020148,4.49583763682846,0.853250883373019,0.0783726731632251,0.543764505963219,"230","YER158W-A",491487,491702,"+","upstream",-238,38,"NearestLocation","YER158W-A"
"82","II",595579,595979,401,"*",4.37967018994897,3.74466467741899,4.81909295395002,-1.07442827653102,0.0792369874982753,0.543764505963219,"52","YBR182C-A",595361,595555,"-","upstream",-224,24,"NearestLocation","YBR182C-A"
"83","IV",894042,894442,401,"*",4.06018999189772,3.37114270391324,4.52458295196982,-1.15344024805657,0.0801126343960543,0.543764505963219,"120","YDR215C",894089,894502,"-","overlapEnd",260,47,"NearestLocation","YDR215C"
"84","IV",538916,539316,401,"*",4.99863160498126,4.51119127570151,5.36231908357765,-0.851127807876144,0.0815909339095603,0.546961445838163,"104","YDR040C",535192,538467,"-","upstream",-649,449,"NearestLocation","ENA1"
"85","IV",1493226,1493626,401,"*",3.65491919360119,4.18299139278408,2.81325354711041,1.36973784567367,0.0937677717710563,0.611173960008167,"155","snR84",1492477,1493026,"-","upstream",-400,200,"NearestLocation","snR84"
"86","XV",384919,385319,401,"*",3.68451375972159,2.92662406517963,4.17881598534635,-1.25219192016673,0.0964100335538274,0.611173960008167,"613","YOR029W",384600,384935,"+","overlapEnd",519,16,"NearestLocation","YOR029W"
"87","XIII",431596,431996,401,"*",3.69563687468565,2.86455318193704,4.21959334526698,-1.35504016332995,0.0969546343595399,0.611173960008167,"518","YMR082C",431769,432125,"-","overlapEnd",329,129,"NearestLocation","YMR082C"
"88","IV",1015966,1016366,401,"*",3.67667671176167,2.9062290654127,4.17621848541276,-1.26998942000006,0.0979215036851198,0.611173960008167,"128","YDR277C",1014401,1015702,"-","upstream",-464,264,"NearestLocation","MTH1"
"89","VII",165710,166110,401,"*",4.084239620223,3.45695635370618,4.51998087977365,-1.06302452606747,0.0984940951606507,0.611173960008167,"260","YGL179C",163409,165091,"-","upstream",-819,619,"NearestLocation","TOS3"
"90","I",181013,181413,401,"*",4.17416876775318,4.59528656620385,3.57696824740735,1.0183183187965,0.0992627405968233,0.611173960008167,"10","tL(CAA)A",181141,181254,"+","includeFeature",72,128,"NearestLocation","SUP56"
"91","XVI",586086,586486,401,"*",4.03473733445564,4.47091070362991,3.40655084035942,1.06435986327049,0.100428220444539,0.611173960008167,"688","YPR013C",584632,585585,"-","upstream",-701,501,"NearestLocation","CMR3"
"92","XV",903958,904358,401,"*",4.43668346785924,4.82259357255768,3.90826877933253,0.914324793225152,0.100806345979909,0.611173960008167,"643","YOR314W-A",904458,904568,"+","upstream",-300,100,"NearestLocation","YOR314W-A"
"93","XI",165933,166333,401,"*",3.99030950920064,3.34195796104752,4.43602678638161,-1.09406882533409,0.101514646192973,0.611173960008167,"395","YKL151C",164917,165930,"-","upstream",-203,3,"NearestLocation","YKL151C"
"94","XII",460020,460420,401,"*",10.5162676455355,10.8503418137002,10.0807566497196,0.76958516398064,0.102957231637311,0.611173960008167,"447","RDN5-1",459676,459796,"+","downstream",544,224,"NearestLocation","RDN5-1"
"95","X",703137,703537,401,"*",4.94775783339437,5.29197124437573,4.49479565908424,0.797175585291495,0.103550652524404,0.611173960008167,"381","YJR145C",702027,703068,"-","upstream",-269,69,"NearestLocation","RPS4A"
"96","XV",796897,797297,401,"*",4.11175095089579,3.48392582414248,4.54775148770882,-1.06382566356634,0.10702182189462,0.624869347191165,"634","YOR246C",795801,796793,"-","upstream",-304,104,"NearestLocation","ENV9"
"97","VI",225049,225449,401,"*",5.89279693321534,6.17637014216652,5.53950175637832,0.636868385788207,0.109624577597011,0.628443742548051,"248","YFR033C",224326,224769,"-","upstream",-480,280,"NearestLocation","QCR6"
"98","X",454857,455257,401,"*",4.35992133008546,4.7510664500364,3.82158833963826,0.92947811039814,0.109948721071943,0.628443742548051,"373","YJR009C",453683,454681,"-","upstream",-376,176,"NearestLocation","TDH2"
"99","VII",555390,555790,401,"*",3.7060085148702,4.18299139278408,2.98855537290078,1.1944360198833,0.111147815778243,0.628679832995686,"282","YGR034W",555812,556672,"+","upstream",-222,22,"NearestLocation","RPL26B"
"100","XIV",89230,89630,401,"*",3.70190405300491,4.17448917158125,2.99446525692364,1.18002391465761,0.113344978530613,0.630116600473199,"550","snR40",89210,89306,"+","overlapEnd",220,20,"NearestLocation","snR40"
"101","II",375860,376260,401,"*",4.6661701281265,4.17398981803767,5.03247852689025,-0.858488708852581,0.113722701374537,0.630116600473199,"36","YBR068C",373861,375690,"-","upstream",-370,170,"NearestLocation","BAP2"
"102","I",141567,141967,401,"*",4.3372476711724,4.71634381058317,3.82158833963826,0.894755470944906,0.118507761452133,0.632443873218909,"7","YAL005C",139503,141431,"-","upstream",-336,136,"NearestLocation","SSA1"
"103","XIV",651926,652326,401,"*",4.49461364572298,3.99468756731463,4.86517634167753,-0.870488774362903,0.119656435164031,0.632443873218909,"582","YNR014W",652465,653103,"+","upstream",-339,139,"NearestLocation","YNR014W"
"104","XII",424017,424417,401,"*",5.56251362646941,5.84388288785508,5.2126388043176,0.631244083537489,0.120304981718685,0.632443873218909,"444","YLR141W",423683,424774,"+","inside",534,334,"NearestLocation","RRN5"
"105","VII",884011,884411,401,"*",5.10525243075421,5.41829270622779,4.70490736046666,0.713385345761135,0.120388683166801,0.632443873218909,"309","YGR192C",882812,883810,"-","upstream",-401,201,"NearestLocation","TDH3"
"106","XV",391529,391929,401,"*",4.25324237852901,3.69866398990234,4.65284443692418,-0.954180447021839,0.122088192866714,0.632443873218909,"614","YOR032W-A",392176,392376,"+","upstream",-447,247,"NearestLocation","YOR032W-A"
"107","XIV",374789,375189,401,"*",3.7876546497453,4.23201943610927,3.14218609930534,1.08983333680394,0.122844087655042,0.632443873218909,"566","tF(GAA)N",374869,374959,"+","includeFeature",120,80,"NearestLocation","tF(GAA)N"
"108","XV",832128,832528,401,"*",4.05281497400617,4.47091070362991,3.46171649506841,1.0091942085615,0.123286094175314,0.632443873218909,"636","snR8",832332,832521,"+","includeFeature",-4,7,"NearestLocation","snR8"
"109","VII",920061,920461,401,"*",4.79353443576242,5.13610947661893,4.34341483223219,0.79269464438674,0.123460498271095,0.632443873218909,"313","YGR214W",920575,921788,"+","upstream",-314,114,"NearestLocation","RPS0A"
"110","XVI",942442,942842,401,"*",4.33718001330171,4.71668671009428,3.8207570238936,0.895929686200684,0.125034031218989,0.634518494877675,"708","YPR202W",943032,943896,"+","upstream",-390,190,"NearestLocation","YPR202W"
"111","XVI",700003,700403,401,"*",4.34011398688091,4.72253077594589,3.81826019864412,0.90427057730177,0.130738405328856,0.656959845807978,"695","YPR080W",700594,701970,"+","upstream",-391,191,"NearestLocation","TEF1"
"112","XII",723312,723712,401,"*",4.16291484301034,4.55076237918565,3.6308416151072,0.919920764078451,0.132562439501955,0.656959845807978,"462","YLR297W",724044,724433,"+","upstream",-532,332,"NearestLocation","YLR297W"
"113","VI",95373,95773,401,"*",4.88444220993321,5.20746970245052,4.46757051746429,0.739899184986228,0.133085788285226,0.656959845807978,"241","YFL021W",95966,97498,"+","upstream",-393,193,"NearestLocation","GAT1"
"114","XII",758948,759348,401,"*",4.43073092051521,3.89531668421765,4.82034118631815,-0.925024502100504,0.134789175171405,0.65937407313579,"465","YLR312C",757637,758833,"-","upstream",-315,115,"NearestLocation","YLR312C"
"115","XIII",915105,915505,401,"*",4.69684169585685,5.03751177148882,4.25001613579435,0.787495635694469,0.137954854544643,0.662968720607796,"542","YMR319C",912880,914538,"-","upstream",-767,567,"NearestLocation","FET4"
"116","XV",866656,867056,401,"*",4.90220017244877,5.22015961561136,4.49375292823396,0.7264066873774,0.137977446860307,0.662968720607796,"638","YOR293W",867098,867852,"+","upstream",-242,42,"NearestLocation","RPS10A"
"117","XV",638879,639279,401,"*",4.95283252924629,4.52424144038348,5.28283207706441,-0.758590636680928,0.139186803221526,0.662968720607796,"627","YOR161C-C",639121,639267,"-","includeFeature",188,12,"NearestLocation","YOR161C-C"
"118","III",178221,178621,401,"*",4.27406257142643,4.64536726586397,3.77277892294799,0.872588342915981,0.146192214455662,0.690281499560211,"70","YCR031C",177500,178220,"-","upstream",-201,1,"NearestLocation","RPS14A"
"119","IV",491085,491485,401,"*",3.924850192527,3.32579312166031,4.34688367402253,-1.02109055236222,0.15096575814532,0.700691060524908,"101","YDR025W",491515,492324,"+","upstream",-230,30,"NearestLocation","RPS11A"
"120","XIII",5371,5771,401,"*",3.69647380178878,4.13172420937313,3.07021553709489,1.06150867227824,0.151739208011208,0.700691060524908,"488","YML133C",461,4684,"-","upstream",-887,687,"NearestLocation","YML133C"
"121","IV",1161610,1162010,401,"*",3.64839769030627,2.96541517919842,4.11005588903654,-1.14464070983812,0.152654249820068,0.700691060524908,"134","YDR343C",1159608,1161320,"-","upstream",-490,290,"NearestLocation","HXT6"
"122","XII",489416,489816,401,"*",5.04768599126159,5.34129098306997,4.67865199349409,0.66263898957588,0.154085118955681,0.700691060524908,"448","YLR162W",489573,489929,"+","overlapStart",43,113,"NearestLocation","YLR162W"
"123","V",53331,53731,401,"*",5.04685646338314,5.35286124501002,4.65797338544184,0.694887859568182,0.157519701803936,0.700691060524908,"188","YEL054C",52721,53218,"-","upstream",-313,113,"NearestLocation","RPL12A"
"124","XII",796316,796716,401,"*",4.22057327315254,4.58927701569318,3.72403970558514,0.865237310108045,0.159356738770537,0.700691060524908,"468","YLR334C",796698,797078,"-","overlapEnd",562,18,"NearestLocation","YLR334C"
"125","XII",839446,839846,401,"*",4.32632246398534,4.67545450533469,3.86477311404582,0.810681391288872,0.162564527104886,0.700691060524908,"474","YLR355C",838066,839253,"-","upstream",-393,193,"NearestLocation","ILV5"
"126","IV",357126,357526,401,"*",4.3643594146748,4.71081887479591,3.90748595323464,0.803332921561269,0.163007656927523,0.700691060524908,"92","YDL055C",355674,356759,"-","upstream",-567,367,"NearestLocation","PSA1"
