chr	start	end	interval_id	num_peaks	num_samples	SPT5_T0_R1.bool	SPT5_T0_R2.bool	SPT5_T15_R1.bool	SPT5_T15_R2.bool	SPT5_T0_R1.fc	SPT5_T0_R2.fc	SPT5_T15_R1.fc	SPT5_T15_R2.fc	SPT5_T0_R1.qval	SPT5_T0_R2.qval	SPT5_T15_R1.qval	SPT5_T15_R2.qval	SPT5_T0_R1.pval	SPT5_T0_R2.pval	SPT5_T15_R1.pval	SPT5_T15_R2.pval	SPT5_T0_R1.start	SPT5_T0_R2.start	SPT5_T15_R1.start	SPT5_T15_R2.start	SPT5_T0_R1.end	SPT5_T0_R2.end	SPT5_T15_R1.end	SPT5_T15_R2.end	SPT5_T0_R1.summit	SPT5_T0_R2.summit	SPT5_T15_R1.summit	SPT5_T15_R2.summit
I	165808	166473	Interval_17	3	3	TRUE	TRUE	TRUE	FALSE	4.12206	5.51621	4.5769	NA	3.07073	5.66095	3.99637	NA	5.05863	8.02377	6.06936	NA	166198	165808	166202	NA	166459	166473	166422	NA	117	487	173	NA
I	180942	181463	Interval_18	2	2	TRUE	FALSE	TRUE	FALSE	9.16764	NA	4.1236	NA	12.7874	NA	3.38996	NA	16.0632	NA	5.36396	NA	180942	NA	181079	NA	181463	NA	181288	NA	218	NA	81	NA
I	182297	182504	Interval_19	1	1	TRUE	FALSE	FALSE	FALSE	3.13898	NA	NA	NA	1.79677	NA	NA	NA	3.5362	NA	NA	NA	182297	NA	NA	NA	182504	NA	NA	NA	92	NA	NA	NA
I	190006	190753	Interval_20	4	4	TRUE	TRUE	TRUE	TRUE	4.25545	7.51048	6.17444	4.21421	4.12046	10.1176	9.47128	3.59602	6.28539	12.9303	12.3082	5.72236	190074	190006	190207	190099	190526	190753	190667	190451	310	337	102	160
I	210937	211168	Interval_21	2	2	FALSE	TRUE	FALSE	TRUE	NA	4.11536	NA	6.87809	NA	2.99815	NA	7.90023	NA	5.04767	NA	10.81	NA	210958	NA	210937	NA	211168	NA	211130	NA	21	NA	101
I	229417	230188	Interval_22	3	3	TRUE	TRUE	FALSE	TRUE	6.30534	11.0324	NA	4.93093	8.20499	18.0797	NA	5.02375	10.9582	21.5197	NA	7.37546	229507	229417	NA	229689	230104	230188	NA	230102	182	639	NA	377
II	66	353	Interval_23	1	1	FALSE	TRUE	FALSE	FALSE	NA	6.87446	NA	NA	NA	7.89675	NA	NA	NA	10.5086	NA	NA	NA	66	NA	NA	NA	353	NA	NA	NA	80	NA	NA
II	5639	6374	Interval_24	4	4	TRUE	TRUE	TRUE	TRUE	14.7216	11.1703	4.48036	5.81992	25.3617	16.9151	4.27065	5.96222	29.3828	20.3061	6.38557	8.51083	5656	5639	5785	5805	6356	6374	6292	6258	246	296	370	53
II	8286	8492	Interval_25	1	1	FALSE	FALSE	TRUE	FALSE	NA	NA	4.06836	NA	NA	NA	3.13633	NA	NA	NA	5.09525	NA	NA	NA	8286	NA	NA	NA	8492	NA	NA	NA	6	NA
II	28403	28960	Interval_26	3	3	TRUE	FALSE	TRUE	TRUE	2.94432	NA	5.08545	4.76175	1.42472	NA	4.88996	4.13459	3.10983	NA	7.0883	6.36142	28501	NA	28510	28403	28882	NA	28898	28960	149	NA	148	343
II	36132	36646	Interval_27	4	4	TRUE	TRUE	TRUE	TRUE	7.18688	4.51326	5.75341	4.76175	8.52544	3.83205	6.58015	4.13459	11.3175	5.96954	8.99792	6.36142	36132	36411	36302	36289	36625	36646	36625	36574	288	129	280	136
II	45005	45659	Interval_28	4	4	TRUE	TRUE	TRUE	TRUE	5.38111	6.90771	5.59399	4.15886	5.70995	7.9459	5.81914	3.22215	8.09272	10.5643	8.14794	5.23627	45005	45097	45100	45100	45518	45659	45343	45535	397	331	217	275
II	47052	47459	Interval_29	1	1	FALSE	TRUE	FALSE	FALSE	NA	5.03825	NA	NA	NA	4.57777	NA	NA	NA	6.80551	NA	NA	NA	47052	NA	NA	NA	47459	NA	NA	NA	108	NA	NA
II	60843	61149	Interval_30	3	3	TRUE	TRUE	FALSE	TRUE	5.22372	5.29118	NA	6.34115	4.87049	4.90913	NA	6.92465	7.1096	7.22169	NA	9.63046	60879	60859	NA	60843	61112	61140	NA	61149	153	189	NA	38
II	89290	89858	Interval_31	2	2	TRUE	TRUE	FALSE	FALSE	5.91126	8.92724	NA	NA	7.31332	12.6152	NA	NA	9.93829	15.6643	NA	NA	89290	89539	NA	NA	89790	89858	NA	NA	340	105	NA	NA
II	101251	101823	Interval_32	1	1	FALSE	FALSE	TRUE	FALSE	NA	NA	4.78155	NA	NA	NA	4.46984	NA	NA	NA	6.60906	NA	NA	NA	101251	NA	NA	NA	101823	NA	NA	NA	501	NA
II	107529	107778	Interval_33	1	1	TRUE	FALSE	FALSE	FALSE	4.12206	NA	NA	NA	3.07073	NA	NA	NA	5.05863	NA	NA	NA	107529	NA	NA	NA	107778	NA	NA	NA	28	NA	NA	NA
II	116607	117245	Interval_34	2	2	FALSE	TRUE	FALSE	TRUE	NA	4.0101	NA	4.81878	NA	2.88888	NA	4.39277	NA	4.87673	NA	6.66751	NA	116933	NA	116607	NA	117237	NA	117245	NA	144	NA	423
II	131935	132168	Interval_35	1	1	FALSE	FALSE	TRUE	FALSE	NA	NA	3.24891	NA	NA	NA	1.97344	NA	NA	NA	3.70051	NA	NA	NA	131935	NA	NA	NA	132168	NA	NA	NA	145	NA
II	135745	136292	Interval_36	4	4	TRUE	TRUE	TRUE	TRUE	8.4822	7.52211	5.29497	9.0068	11.0683	9.7645	5.91228	12.5859	14.145	12.5589	8.26112	16.2284	135745	135798	135821	135756	136255	136265	136251	136292	400	263	66	239
II	140406	141186	Interval_37	4	4	TRUE	TRUE	TRUE	TRUE	7.65524	4.45901	7.11962	10.1194	9.22344	3.92038	8.78622	15.5297	12.1038	6.10445	11.5391	19.4922	140496	140485	140406	140496	141186	141149	141155	140833	308	206	341	199
II	159769	160068	Interval_38	3	3	TRUE	FALSE	TRUE	TRUE	5.63868	NA	7.24428	7.07154	5.62249	NA	9.28843	8.46001	7.97981	NA	12.1071	11.461	159769	NA	159776	159774	160050	NA	160068	160068	116	NA	182	179
II	164125	164600	Interval_39	4	4	TRUE	TRUE	TRUE	TRUE	3.5874	4.39383	4.2569	5.3537	2.47311	3.522	4.19104	5.33429	4.35761	5.60722	6.28777	7.76532	164176	164246	164213	164125	164389	164600	164407	164360	126	330	85	74
II	164936	165704	Interval_40	4	4	TRUE	TRUE	TRUE	TRUE	9.88287	5.79671	10.5194	5.75275	14.6256	6.60011	16.7294	6.68884	18.1308	9.06731	20.6683	9.32961	164960	164940	164936	164963	165549	165418	165704	165549	284	374	326	348
II	167919	168346	Interval_41	4	4	TRUE	TRUE	TRUE	TRUE	8.95048	9.38756	4.34747	8.9509	12.8275	13.3171	5.58075	12.5062	16.1357	16.4308	7.85223	16.1364	167951	167959	167964	167919	168308	168298	168279	168346	114	231	245	199
II	171371	171543	Interval_42	1	1	TRUE	FALSE	FALSE	FALSE	3.31702	NA	NA	NA	1.94206	NA	NA	NA	3.70895	NA	NA	NA	171371	NA	NA	NA	171543	NA	NA	NA	163	NA	NA	NA
II	193560	194041	Interval_43	3	3	TRUE	FALSE	TRUE	TRUE	4.03583	NA	8.58553	4.84491	3.2198	NA	13.0338	6.20172	5.22847	NA	16.4614	8.78501	193619	NA	193560	193597	193826	NA	193902	194041	72	NA	190	152
II	197274	197559	Interval_44	1	1	TRUE	FALSE	FALSE	FALSE	4.48537	NA	NA	NA	3.69048	NA	NA	NA	5.754	NA	NA	NA	197274	NA	NA	NA	197559	NA	NA	NA	166	NA	NA	NA
II	201941	203582	Interval_45	5	3	TRUE	TRUE	TRUE	FALSE	2.75859;3.53319;5.80413	5.35081	6.92419	NA	1.35891;2.20485;5.85901	5.67265	9.52283	NA	2.97219;4.05174;8.25352	8.04452	12.3771	NA	202199;202701;203174	202010	201941	NA	202450;202978;203582	203359	203502	NA	231;259;149	1260	534	NA
II	221347	221558	Interval_46	1	1	FALSE	TRUE	FALSE	FALSE	NA	3.52745	NA	NA	NA	2.14847	NA	NA	NA	4.04247	NA	NA	NA	221347	NA	NA	NA	221558	NA	NA	NA	142	NA	NA
II	227170	227445	Interval_47	1	1	FALSE	FALSE	TRUE	FALSE	NA	NA	4.78155	NA	NA	NA	4.46984	NA	NA	NA	6.60906	NA	NA	NA	227170	NA	NA	NA	227445	NA	NA	NA	3	NA
II	235941	236587	Interval_48	2	2	TRUE	TRUE	FALSE	FALSE	4.71092	2.85399	NA	NA	3.99502	1.32211	NA	NA	6.12222	2.96788	NA	NA	236060	235941	NA	NA	236587	236217	NA	NA	151	94	NA	NA
II	251106	251570	Interval_49	3	3	FALSE	TRUE	TRUE	TRUE	NA	4.11536	2.83793	4.3369	NA	2.99815	1.57473	3.57123	NA	5.04767	3.22139	5.69441	NA	251106	251353	251339	NA	251500	251570	251523	NA	202	47	92
II	255834	256429	Interval_50	3	3	TRUE	TRUE	FALSE	TRUE	6.63404	4.60514	NA	4.3369	7.47524	3.8258	NA	3.57123	10.1094	5.94827	NA	5.69441	255834	255933	NA	255872	256251	256429	NA	256120	269	165	NA	54
II	266295	266668	Interval_51	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	3.70359	NA	NA	NA	2.4887	NA	NA	NA	4.39254	NA	NA	NA	266295	NA	NA	NA	266668	NA	NA	NA	223
II	269706	270138	Interval_52	1	1	FALSE	FALSE	TRUE	FALSE	NA	NA	7.48202	NA	NA	NA	11.0521	NA	NA	NA	14.1592	NA	NA	NA	269706	NA	NA	NA	270138	NA	NA	NA	342	NA
II	281016	281255	Interval_53	1	1	FALSE	FALSE	TRUE	FALSE	NA	NA	3.82524	NA	NA	NA	2.82055	NA	NA	NA	4.72036	NA	NA	NA	281016	NA	NA	NA	281255	NA	NA	NA	165	NA
II	288225	288537	Interval_54	1	1	FALSE	FALSE	TRUE	FALSE	NA	NA	2.85114	NA	NA	NA	1.48259	NA	NA	NA	3.10901	NA	NA	NA	288225	NA	NA	NA	288537	NA	NA	NA	24	NA
II	292033	292309	Interval_55	1	1	TRUE	FALSE	FALSE	FALSE	3.31702	NA	NA	NA	1.94206	NA	NA	NA	3.70895	NA	NA	NA	292033	NA	NA	NA	292309	NA	NA	NA	217	NA	NA	NA
II	332491	332717	Interval_56	2	2	TRUE	FALSE	FALSE	TRUE	5.29979	NA	NA	4.76175	4.94477	NA	NA	4.13459	7.23605	NA	NA	6.36142	332527	NA	NA	332491	332717	NA	NA	332691	86	NA	NA	88
II	340638	340869	Interval_57	1	1	FALSE	FALSE	TRUE	FALSE	NA	NA	3.55981	NA	NA	NA	2.33383	NA	NA	NA	4.17099	NA	NA	NA	340638	NA	NA	NA	340869	NA	NA	NA	35	NA
II	341572	342431	Interval_58	4	3	TRUE	FALSE	TRUE	TRUE	7.02681;4.12206	NA	5.08545	4.36703	8.05664;3.07073	NA	4.88996	3.61118	10.765;5.05863	NA	7.0883	5.74128	341572;342201	NA	341625	342101	341983;342431	NA	342148	342431	54;185	NA	157	25
II	347392	347728	Interval_59	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	6.349	NA	NA	NA	6.92465	NA	NA	NA	9.64322	NA	NA	NA	347392	NA	NA	NA	347728	NA	NA	NA	235
II	350849	351071	Interval_60	1	1	FALSE	FALSE	TRUE	FALSE	NA	NA	4.06836	NA	NA	NA	3.13633	NA	NA	NA	5.09525	NA	NA	NA	350849	NA	NA	NA	351071	NA	NA	NA	87	NA
II	356311	356760	Interval_61	2	2	FALSE	TRUE	FALSE	TRUE	NA	3.90789	NA	3.48091	NA	2.75345	NA	2.22873	NA	4.7132	NA	4.0506	NA	356311	NA	356343	NA	356760	NA	356741	NA	363	NA	364
II	370907	371755	Interval_62	4	4	TRUE	TRUE	TRUE	TRUE	4.12206	3.43723	6.61108	6.87809	3.07073	2.05403	7.77011	7.90023	5.05863	3.89795	10.3761	10.81	370946	371154	370907	370916	371345	371712	371755	371533	279	60	231	293
II	373335	373619	Interval_63	1	1	TRUE	FALSE	FALSE	FALSE	3.53319	NA	NA	NA	2.20485	NA	NA	NA	4.05174	NA	NA	NA	373335	NA	NA	NA	373619	NA	NA	NA	235	NA	NA	NA
II	373658	374070	Interval_64	1	1	FALSE	TRUE	FALSE	FALSE	NA	4.0101	NA	NA	NA	2.88888	NA	NA	NA	4.87673	NA	NA	NA	373658	NA	NA	NA	374070	NA	NA	NA	67	NA	NA
II	374268	374619	Interval_65	1	1	FALSE	TRUE	FALSE	FALSE	NA	3.51032	NA	NA	NA	2.18348	NA	NA	NA	4.09538	NA	NA	NA	374268	NA	NA	NA	374619	NA	NA	NA	131	NA	NA
II	375452	376314	Interval_66	3	3	TRUE	FALSE	TRUE	TRUE	6.08121	NA	6.10958	6.74629	6.44618	NA	7.69652	7.99224	8.93574	NA	10.2636	10.9343	375836	NA	375452	375821	376201	NA	376314	376256	305	NA	657	144
II	378654	379231	Interval_67	4	4	TRUE	TRUE	TRUE	TRUE	8.24411	6.69923	9.66235	6.74629	10.3851	7.64125	14.1643	7.99224	13.4074	10.2171	17.7654	10.9343	378655	378695	378654	378710	379231	378988	379017	379029	218	206	172	270
II	392039	392727	Interval_68	4	4	TRUE	TRUE	TRUE	TRUE	4.68136	7.44733	4.96638	7.22817	4.07219	9.02958	5.73872	8.93928	6.23399	11.7519	8.03723	12.0809	392039	392379	392438	392446	392542	392727	392699	392716	496	161	103	194
II	405786	406352	Interval_69	2	2	TRUE	FALSE	FALSE	TRUE	3.54675	NA	NA	6.26441	2.57984	NA	NA	7.06796	4.47481	NA	NA	9.81729	406036	NA	NA	405786	406254	NA	NA	406352	35	NA	NA	266
II	408362	408951	Interval_70	3	3	TRUE	FALSE	TRUE	TRUE	7.17481	NA	7.33149	5.75275	9.47864	NA	10.4612	6.68884	12.3837	NA	13.4714	9.32961	408513	NA	408362	408429	408878	NA	408951	408951	175	NA	384	448
II	415315	415735	Interval_71	4	4	TRUE	TRUE	TRUE	TRUE	5.07481	7.05491	8.21019	5.29084	4.66136	8.1626	11.3432	5.02375	6.86502	10.8126	14.4858	7.41575	415397	415362	415315	415327	415735	415603	415732	415728	287	142	192	182
II	419308	420022	Interval_72	2	2	FALSE	FALSE	TRUE	TRUE	NA	NA	6.54374	7.93625	NA	NA	7.69858	9.94222	NA	NA	10.2672	13.237	NA	NA	419308	419318	NA	NA	419955	420022	NA	NA	266	268
II	426620	427098	Interval_73	3	3	TRUE	FALSE	TRUE	TRUE	8.93136	NA	5.85843	7.52142	13.223	NA	7.32846	11.6392	16.5606	NA	9.8513	15.1296	426620	NA	426807	426856	427079	NA	427052	427098	408	NA	131	63
II	452207	452623	Interval_74	3	3	TRUE	FALSE	TRUE	TRUE	4.71092	NA	6.21602	5.45307	3.99502	NA	7.22423	5.48254	6.12222	NA	9.73957	7.92321	452213	NA	452207	452217	452465	NA	452623	452434	129	NA	106	133
II	454739	454928	Interval_75	1	1	TRUE	FALSE	FALSE	FALSE	3.53319	NA	NA	NA	2.20485	NA	NA	NA	4.05174	NA	NA	NA	454739	NA	NA	NA	454928	NA	NA	NA	90	NA	NA	NA
II	458461	458742	Interval_76	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	5.29084	NA	NA	NA	5.02375	NA	NA	NA	7.41575	NA	NA	NA	458461	NA	NA	NA	458742	NA	NA	NA	235
II	466059	467131	Interval_77	4	4	TRUE	TRUE	TRUE	TRUE	7.06638	4.4297	9.66235	6.91887	8.09106	3.57519	14.1643	8.24214	10.8321	5.66457	17.7654	11.2134	466062	466254	466150	466059	466568	466599	467131	466654	401	93	323	281
II	474215	474466	Interval_78	1	1	FALSE	TRUE	FALSE	FALSE	NA	4.13699	NA	NA	NA	3.14009	NA	NA	NA	5.20211	NA	NA	NA	474215	NA	NA	NA	474466	NA	NA	NA	3	NA	NA
II	476560	476892	Interval_79	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	5.78253	NA	NA	NA	6.15083	NA	NA	NA	8.73211	NA	NA	NA	476560	NA	NA	NA	476892	NA	NA	NA	236
II	477121	477602	Interval_80	4	4	TRUE	TRUE	TRUE	TRUE	8.83298	5.87909	7.57716	6.74629	11.5718	5.94924	9.76801	7.99224	14.7409	8.37892	12.6487	10.9343	477121	477173	477173	477141	477485	477602	477464	477433	95	268	20	157
II	483526	483832	Interval_81	1	1	FALSE	TRUE	FALSE	FALSE	NA	4.51326	NA	NA	NA	3.83205	NA	NA	NA	5.96954	NA	NA	NA	483526	NA	NA	NA	483832	NA	NA	NA	38	NA	NA
II	490147	491124	Interval_82	4	4	TRUE	TRUE	TRUE	TRUE	4.93268	2.86436	5.02711	5.73061	4.86205	1.32211	6.38967	7.22593	7.09975	2.98402	8.78536	9.99733	490626	490913	490165	490147	491063	491118	491124	491034	100	5	779	559
II	504534	504766	Interval_83	2	2	TRUE	FALSE	TRUE	FALSE	4.71092	NA	5.59399	NA	3.99502	NA	5.81914	NA	6.12222	NA	8.14794	NA	504562	NA	504534	NA	504748	NA	504766	NA	96	NA	74	NA
II	539881	540085	Interval_84	1	1	FALSE	TRUE	FALSE	FALSE	NA	3.52745	NA	NA	NA	2.14847	NA	NA	NA	4.04247	NA	NA	NA	539881	NA	NA	NA	540085	NA	NA	NA	4	NA	NA
II	544578	544832	Interval_85	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	4.3369	NA	NA	NA	3.57123	NA	NA	NA	5.69441	NA	NA	NA	544578	NA	NA	NA	544832	NA	NA	NA	47
II	554618	556182	Interval_86	7	4	TRUE	TRUE	TRUE	TRUE	4.12206;10.0107	3.2689;4.32529	8.13671	6.49205;4.57518	3.07073;14.0445	1.84316;4.71334	10.8562	7.97489;4.11354	5.05863;17.4897	3.6343;6.94778	13.9525	10.8871;6.28591	554747;555293	554618;555424	554788	554751;555726	554978;556178	555144;556182	556026	555467;555943	15;588	437;268	576	596;94
II	560925	561164	Interval_87	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	3.66014	NA	NA	NA	2.55922	NA	NA	NA	4.46824	NA	NA	NA	560925	NA	NA	NA	561164	NA	NA	NA	198
II	561322	561554	Interval_88	1	1	FALSE	FALSE	TRUE	FALSE	NA	NA	4.5769	NA	NA	NA	3.99637	NA	NA	NA	6.06936	NA	NA	NA	561322	NA	NA	NA	561554	NA	NA	NA	87	NA
II	564885	565190	Interval_89	4	4	TRUE	TRUE	TRUE	TRUE	5.29979	3.61274	4.5769	4.10911	4.94477	2.62868	3.99637	3.46195	7.23605	4.57661	6.06936	5.55817	564915	564885	564904	564910	565190	565100	565160	565089	96	200	74	162
II	589243	589545	Interval_90	2	2	FALSE	FALSE	TRUE	TRUE	NA	NA	2.81965	4.61878	NA	NA	1.7864	3.97745	NA	NA	3.49483	6.13525	NA	NA	589243	589294	NA	NA	589545	589527	NA	NA	248	19
II	592895	593094	Interval_91	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	5.16506	NA	NA	NA	4.89588	NA	NA	NA	7.21483	NA	NA	NA	592895	NA	NA	NA	593094	NA	NA	NA	41
II	595599	596000	Interval_92	3	3	TRUE	FALSE	TRUE	TRUE	4.48425	NA	5.96969	8.19192	4.00694	NA	8.78622	11.0401	6.14387	NA	11.5421	14.4559	595722	NA	595695	595599	595890	NA	595896	596000	111	NA	80	142
II	604201	604385	Interval_93	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	4.76175	NA	NA	NA	4.13459	NA	NA	NA	6.36142	NA	NA	NA	604201	NA	NA	NA	604385	NA	NA	NA	110
II	605887	606222	Interval_94	4	4	TRUE	TRUE	TRUE	TRUE	4.84026	5.15585	6.92419	4.76175	4.31061	4.73969	9.52283	4.13459	6.48653	6.99766	12.3771	6.36142	605887	605890	605887	605889	606127	606222	606171	606132	121	109	74	179
II	614116	615289	Interval_95	4	4	TRUE	TRUE	TRUE	TRUE	8.6049	6.04151	6.85071	4.89674	11.5718	6.42278	8.7505	4.50724	14.7242	8.87076	11.469	6.79013	614172	614240	614172	614116	614397	615289	614552	614558	131	69	78	198
II	624768	625658	Interval_96	4	4	TRUE	TRUE	TRUE	TRUE	4.68454	5.87909	5.08545	8.99442	3.98875	5.94924	4.88996	12.1632	6.07861	8.37892	7.0883	15.7755	624995	624845	624977	624768	625498	625658	625455	625548	50	159	167	331
II	628533	628822	Interval_97	4	4	TRUE	TRUE	TRUE	TRUE	4.12206	5.29118	6.10253	8.46534	3.07073	4.90913	6.77839	11.0408	5.05863	7.22169	9.24482	14.4932	628599	628604	628609	628533	628765	628822	628811	628811	46	76	42	147
II	633493	633855	Interval_98	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	3.88181	NA	NA	NA	2.8356	NA	NA	NA	4.80715	NA	NA	NA	633493	NA	NA	NA	633855	NA	NA	NA	226
II	642682	643058	Interval_99	3	3	TRUE	TRUE	TRUE	FALSE	4.03583	4.67122	4.61164	NA	3.2198	3.91176	4.93748	NA	5.22847	6.05665	7.14674	NA	642725	642682	642793	NA	642986	642967	643058	NA	79	75	170	NA
II	644916	645469	Interval_100	1	1	TRUE	FALSE	FALSE	FALSE	4.51819	NA	NA	NA	4.05403	NA	NA	NA	6.19686	NA	NA	NA	644916	NA	NA	NA	645469	NA	NA	NA	184	NA	NA	NA
II	662581	662853	Interval_101	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	6.87809	NA	NA	NA	7.90023	NA	NA	NA	10.81	NA	NA	NA	662581	NA	NA	NA	662853	NA	NA	NA	79
II	668332	668756	Interval_102	1	1	FALSE	TRUE	FALSE	FALSE	NA	4.70327	NA	NA	NA	3.92038	NA	NA	NA	6.10956	NA	NA	NA	668332	NA	NA	NA	668756	NA	NA	NA	290	NA	NA
II	680103	681135	Interval_103	5	4	TRUE	TRUE	TRUE	TRUE	6.88416;3.39288	5.5827	5.91537	4.52002	7.85032;2.05049	5.54861	6.53786	4.20451	10.5248;3.82778	7.88806	8.94445	6.44833	680103;680697	680448	680161	680168	680272;680923	681135	680508	680705	110;18	280	54	307
II	681847	682303	Interval_104	1	1	FALSE	FALSE	TRUE	FALSE	NA	NA	6.09306	NA	NA	NA	7.05415	NA	NA	NA	9.54228	NA	NA	NA	681847	NA	NA	NA	682303	NA	NA	NA	182	NA
II	697521	698008	Interval_105	2	2	TRUE	TRUE	FALSE	FALSE	5.29979	4.9211	NA	NA	4.94477	4.59801	NA	NA	7.23605	6.8285	NA	NA	697521	697620	NA	NA	697939	698008	NA	NA	174	42	NA	NA
II	702265	702597	Interval_106	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	4.9882	NA	NA	NA	4.64198	NA	NA	NA	6.93437	NA	NA	NA	702265	NA	NA	NA	702597	NA	NA	NA	56
II	706919	707298	Interval_107	1	1	TRUE	FALSE	FALSE	FALSE	4.03919	NA	NA	NA	2.98555	NA	NA	NA	4.9237	NA	NA	NA	706919	NA	NA	NA	707298	NA	NA	NA	336	NA	NA	NA
