PeakID (cmd=annotatePeaks.pl SPT5.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 2)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_1052	XIV	568018	568306	+	0	NA	promoter-TSS (tP(UGG)N2)	tRNA-promoter-TSS (tP(UGG)N2)	47	tP(UGG)N2	tP(UGG)N2	tP(UGG)N2			tP(UGG)N2			tRNA
Interval_572	VII	1000042	1000762	+	0	NA	promoter-TSS (YGR254W)	protein_coding-promoter-TSS (YGR254W)	-525	YGR254W	YGR254W	YGR254W			ENO1			protein_coding
Interval_87	II	560926	561164	+	0	NA	promoter-TSS (YBR161W)	protein_coding-promoter-TSS (YBR161W)	-589	YBR161W	YBR161W	YBR161W			CSH1			protein_coding
Interval_839	XII	553943	554370	+	0	NA	promoter-TSS (YLR205C)	protein_coding-promoter-TSS (YLR205C)	-422	YLR206W	YLR206W	YLR206W			ENT2			protein_coding
Interval_320	IX	173395	173718	+	0	NA	promoter-TSS (YIL102C-A)	protein_coding-promoter-TSS (YIL102C-A)	36	YIL102C-A	YIL102C-A	YIL102C-A			YIL102C-A			protein_coding
Interval_69	II	405787	406352	+	0	NA	promoter-TSS (YBR081C)	protein_coding-promoter-TSS (YBR081C)	109	tD(GUC)B	tD(GUC)B	tD(GUC)B			tD(GUC)B			tRNA
Interval_416	V	386749	387084	+	0	NA	promoter-TSS (YER112W)	protein_coding-promoter-TSS (YER112W)	-316	YER112W	YER112W	YER112W			LSM4			protein_coding
Interval_640	X	37441	37779	+	0	NA	promoter-TSS (YJL209W)	protein_coding-promoter-TSS (YJL209W)	-395	YJL209W	YJL209W	YJL209W			CBP1			protein_coding
Interval_930	XIII	279728	280106	+	0	NA	promoter-TSS (YMR006C)	protein_coding-promoter-TSS (YMR006C)	-43	YMR007W	YMR007W	YMR007W			YMR007W			protein_coding
Interval_722	XI	24734	25426	+	0	NA	promoter-TSS (YKL216W)	protein_coding-promoter-TSS (YKL216W)	-135	YKL216W	YKL216W	YKL216W			URA1			protein_coding
Interval_409	V	321958	322134	+	0	NA	promoter-TSS (SRG1)	ncRNA-promoter-TSS (SRG1)	-166	SRG1	SRG1	SRG1			SRG1			ncRNA
Interval_667	X	227806	228032	+	0	NA	TTS (YJL104W)	protein_coding-TTS (YJL104W)	560	snR37	snR37	snR37			snR37			snoRNA
Interval_1268	XVI	870220	870568	+	0	NA	promoter-TSS (YPR163C)	protein_coding-promoter-TSS (YPR163C)	-309	YPR164W	YPR164W	YPR164W			MMS1			protein_coding
Interval_1122	XV	494185	494928	+	0	NA	promoter-TSS (YOR092W)	protein_coding-promoter-TSS (YOR092W)	-571	YOR092W	YOR092W	YOR092W			ECM3			protein_coding
Interval_72	II	419309	420022	+	0	NA	promoter-TSS (YBR085C-A)	protein_coding-promoter-TSS (YBR085C-A)	-501	YBR085C-A	YBR085C-A	YBR085C-A			YBR085C-A			protein_coding
Interval_692	X	455650	455922	+	0	NA	promoter-TSS (YJR010W)	protein_coding-promoter-TSS (YJR010W)	-453	YJR010W	YJR010W	YJR010W			MET3			protein_coding
Interval_121	III	52194	52390	+	0	NA	promoter-TSS (YCL039W)	protein_coding-promoter-TSS (YCL039W)	-353	YCL039W	YCL039W	YCL039W			GID7			protein_coding
Interval_674	X	278688	278982	+	0	NA	promoter-TSS (YJL083W)	protein_coding-promoter-TSS (YJL083W)	-6	YJL083W	YJL083W	YJL083W			TAX4			protein_coding
Interval_1079	XV	69064	69543	+	0	NA	promoter-TSS (YOL136C)	protein_coding-promoter-TSS (YOL136C)	-549	YOL136C	YOL136C	YOL136C			PFK27			protein_coding
Interval_651	X	111605	111901	+	0	NA	promoter-TSS (YJL164C)	protein_coding-promoter-TSS (YJL164C)	-594	YJL164C	YJL164C	YJL164C			TPK1			protein_coding
Interval_57	II	340639	340869	+	0	NA	promoter-TSS (YBR053C)	protein_coding-promoter-TSS (YBR053C)	-3	YBR053C	YBR053C	YBR053C			YBR053C			protein_coding
Interval_539	VII	733748	734033	+	0	NA	promoter-TSS (YGR121C)	protein_coding-promoter-TSS (YGR121C)	-45	YGR122W	YGR122W	YGR122W			YGR122W			protein_coding
Interval_760	XI	340599	340817	+	0	NA	promoter-TSS (YKL051W)	protein_coding-promoter-TSS (YKL051W)	-162	YKL052C	YKL052C	YKL052C			ASK1			protein_coding
Interval_759	XI	339003	339629	+	0	NA	promoter-TSS (YKL053W)	protein_coding-promoter-TSS (YKL053W)	126	YKL053C-A	YKL053C-A	YKL053C-A			MDM35			protein_coding
Interval_894	XII	1012114	1012618	+	0	NA	promoter-TSS (YLR437C)	protein_coding-promoter-TSS (YLR437C)	-135	YLR438W	YLR438W	YLR438W			CAR2			protein_coding
Interval_418	V	400762	401059	+	0	NA	promoter-TSS (YER119C)	protein_coding-promoter-TSS (YER119C)	-68	YER119C	YER119C	YER119C			AVT6			protein_coding
Interval_397	V	270269	270568	+	0	NA	promoter-TSS (YER056C-A)	protein_coding-promoter-TSS (YER056C-A)	-233	YER056C-A	YER056C-A	YER056C-A			RPL34A			protein_coding
Interval_872	XII	805172	805564	+	0	NA	promoter-TSS (YLR337C)	protein_coding-promoter-TSS (YLR337C)	-262	YLR337C	YLR337C	YLR337C			VRP1			protein_coding
Interval_230	IV	884438	884658	+	0	NA	promoter-TSS (YDR210C-C)	protein_coding-promoter-TSS (YDR210C-C)	-179	YDR211W	YDR211W	YDR211W			GCD6			protein_coding
Interval_134	III	169751	170045	+	0	NA	TTS (YCR028C)	protein_coding-TTS (YCR028C)	-1526	tQ(UUG)C	tQ(UUG)C	tQ(UUG)C			tQ(UUG)C			tRNA
Interval_1242	XVI	641193	641914	+	0	NA	promoter-TSS (YPR035W)	protein_coding-promoter-TSS (YPR035W)	-655	YPR035W	YPR035W	YPR035W			GLN1			protein_coding
Interval_1111	XV	429957	430519	+	0	NA	promoter-TSS (YOR054C)	protein_coding-promoter-TSS (YOR054C)	-381	YOR054C	YOR054C	YOR054C			VHS3			protein_coding
Interval_362	MT	79261	79960	+	0	NA	exon (Q0275, exon 1 of 1)	protein_coding-exon (Q0275, exon 1 of 1)	397	Q0275	Q0275	Q0275			COX3			protein_coding
Interval_226	IV	806078	806692	+	0	NA	promoter-TSS (YDR171W)	protein_coding-promoter-TSS (YDR171W)	-236	YDR171W	YDR171W	YDR171W			HSP42			protein_coding
Interval_928	XIII	258840	259248	+	0	NA	promoter-TSS (YML006C)	protein_coding-promoter-TSS (YML006C)	195	tS(AGA)M	tS(AGA)M	tS(AGA)M			tS(AGA)M			tRNA
Interval_865	XII	781498	781749	+	0	NA	promoter-TSS (YLR325C)	protein_coding-promoter-TSS (YLR325C)	-244	YLR325C	YLR325C	YLR325C			RPL38			protein_coding
Interval_457	VI	224701	227013	+	0	NA	promoter-TSS (YFR034W-A)	protein_coding-promoter-TSS (YFR034W-A)	101	YFR034C	YFR034C	YFR034C			PHO4			protein_coding
Interval_600	VIII	206006	206350	+	0	NA	promoter-TSS (YHR049W)	protein_coding-promoter-TSS (YHR049W)	-284	YHR049W	YHR049W	YHR049W			FSH1			protein_coding
Interval_461	VII	9	569	+	0	NA	Intergenic	Intergenic	-2501	YGL263W	YGL263W	YGL263W			COS12			protein_coding
Interval_1210	XVI	338796	338987	+	0	NA	promoter-TSS (YPL112C)	protein_coding-promoter-TSS (YPL112C)	28	tM(CAU)P	tM(CAU)P	tM(CAU)P			IMT2			tRNA
Interval_375	V	86464	86739	+	0	NA	promoter-TSS (YEL032W)	protein_coding-promoter-TSS (YEL032W)	-3	tS(AGA)E	tS(AGA)E	tS(AGA)E			tS(AGA)E			tRNA
Interval_338	IX	322076	322280	+	0	NA	promoter-TSS (YIL015W)	protein_coding-promoter-TSS (YIL015W)	-164	YIL015W	YIL015W	YIL015W			BAR1			protein_coding
Interval_955	XIII	510454	511173	+	0	NA	promoter-TSS (YMR121C)	protein_coding-promoter-TSS (YMR121C)	262	YMR122C	YMR122C	YMR122C			YMR122C			protein_coding
Interval_707	X	628815	629061	+	0	NA	TTS (YJR107W)	protein_coding-TTS (YJR107W)	226	YJR108W	YJR108W	YJR108W			ABM1			protein_coding
Interval_263	IV	1226601	1226810	+	0	NA	promoter-TSS (YDR375C)	protein_coding-promoter-TSS (YDR375C)	-117	YDR376W	YDR376W	YDR376W			ARH1			protein_coding
Interval_733	XI	99332	100157	+	0	NA	promoter-TSS (YKL182W)	protein_coding-promoter-TSS (YKL182W)	-927	YKL182W	YKL182W	YKL182W			FAS1			protein_coding
Interval_553	VII	828231	828907	+	0	NA	promoter-TSS (YGR164W)	protein_coding-promoter-TSS (YGR164W)	-56	YGR164W	YGR164W	YGR164W			YGR164W			protein_coding
Interval_1193	XVI	132075	132692	+	0	NA	promoter-TSS (YPL221W)	protein_coding-promoter-TSS (YPL221W)	-268	YPL222C-A	YPL222C-A	YPL222C-A			YPL222C-A			protein_coding
Interval_964	XIII	601519	601721	+	0	NA	promoter-TSS (YMR169C)	protein_coding-promoter-TSS (YMR169C)	-748	YMR169C	YMR169C	YMR169C			ALD3			protein_coding
Interval_1112	XV	431790	432039	+	0	NA	promoter-TSS (YOR056C)	protein_coding-promoter-TSS (YOR056C)	-272	YOR057W	YOR057W	YOR057W			SGT1			protein_coding
Interval_1241	XVI	627168	627609	+	0	NA	promoter-TSS (YPR029C)	protein_coding-promoter-TSS (YPR029C)	-421	YPR029C	YPR029C	YPR029C			APL4			protein_coding
Interval_8	I	45337	45821	+	0	NA	promoter-TSS (YAL053W)	protein_coding-promoter-TSS (YAL053W)	-320	YAL053W	YAL053W	YAL053W			FLC2			protein_coding
Interval_652	X	115643	116601	+	0	NA	promoter-TSS (YJL162C)	protein_coding-promoter-TSS (YJL162C)	-112	tE(UUC)J	tE(UUC)J	tE(UUC)J			tE(UUC)J			tRNA
Interval_1139	XV	761491	762543	+	0	NA	promoter-TSS (YOR224C)	protein_coding-promoter-TSS (YOR224C)	67	YOR226C	YOR226C	YOR226C			ISU2			protein_coding
Interval_977	XIII	763252	763502	+	0	NA	promoter-TSS (snR86)	snoRNA-promoter-TSS (snR86)	-264	snR86	snR86	snR86			snR86			snoRNA
Interval_508	VII	482765	484510	+	0	NA	promoter-TSS (YGL007C-A)	protein_coding-promoter-TSS (YGL007C-A)	377	YGL007W	YGL007W	YGL007W			BRP1			protein_coding
Interval_586	VIII	55227	56291	+	0	NA	promoter-TSS (YHL024W)	protein_coding-promoter-TSS (YHL024W)	-890	YHL024W	YHL024W	YHL024W			RIM4			protein_coding
Interval_691	X	454866	455287	+	0	NA	promoter-TSS (YJR009C)	protein_coding-promoter-TSS (YJR009C)	-395	YJR009C	YJR009C	YJR009C			TDH2			protein_coding
Interval_122	III	58743	58914	+	0	NA	promoter-TSS (YCL036W)	protein_coding-promoter-TSS (YCL036W)	-150	YCL037C	YCL037C	YCL037C			SRO9			protein_coding
Interval_114	III	57	995	+	0	NA	promoter-TSS (YCL076W)	protein_coding-promoter-TSS (YCL076W)	-866	YCL076W	YCL076W	YCL076W			YCL076W			protein_coding
Interval_871	XII	796420	797337	+	0	NA	promoter-TSS (YLR333C)	protein_coding-promoter-TSS (YLR333C)	200	YLR334C	YLR334C	YLR334C			YLR334C			protein_coding
Interval_210	IV	562662	562886	+	0	NA	promoter-TSS (YDR054C)	protein_coding-promoter-TSS (YDR054C)	-447	YDR054C	YDR054C	YDR054C			CDC34			protein_coding
Interval_799	XII	65378	65873	+	0	NA	promoter-TSS (YLL037W)	protein_coding-promoter-TSS (YLL037W)	-418	YLL039C	YLL039C	YLL039C			UBI4			protein_coding
Interval_854	XII	677718	678036	+	0	NA	promoter-TSS (YLR266C)	protein_coding-promoter-TSS (YLR266C)	-153	YLR266C	YLR266C	YLR266C			PDR8			protein_coding
Interval_1083	XV	92949	93426	+	0	NA	promoter-TSS (YOL121C)	protein_coding-promoter-TSS (YOL121C)	-337	YOL121C	YOL121C	YOL121C			RPS19A			protein_coding
Interval_806	XII	198201	198693	+	0	NA	promoter-TSS (YLR027C)	protein_coding-promoter-TSS (YLR027C)	-337	snR30	snR30	snR30			snR30			snoRNA
Interval_147	IV	9	812	+	0	NA	Intergenic	Intergenic	-1392	YDL248W	YDL248W	YDL248W			COS7			protein_coding
Interval_357	MT	25956	26294	+	0	NA	TTS (Q0075)	protein_coding-TTS (Q0075)	-1541	Q0080	Q0080	Q0080			ATP8			protein_coding
Interval_888	XII	931628	932953	+	0	NA	promoter-TSS (YLR406C)	protein_coding-promoter-TSS (YLR406C)	65	YLR406C-A	YLR406C-A	YLR406C-A			YLR406C-A			protein_coding
Interval_1121	XV	487319	487625	+	0	NA	promoter-TSS (YOR086C)	protein_coding-promoter-TSS (YOR086C)	33	tN(GUU)O2	tN(GUU)O2	tN(GUU)O2			tN(GUU)O2			tRNA
Interval_519	VII	576553	577004	+	0	NA	promoter-TSS (YGR041W)	protein_coding-promoter-TSS (YGR041W)	-709	YGR041W	YGR041W	YGR041W			BUD9			protein_coding
Interval_361	MT	73793	74184	+	0	NA	promoter-TSS (Q0255)	protein_coding-promoter-TSS (Q0255)	230	Q0250	Q0250	Q0250			COX2			protein_coding
Interval_475	VII	165017	166495	+	0	NA	promoter-TSS (YGL179C)	protein_coding-promoter-TSS (YGL179C)	-665	YGL179C	YGL179C	YGL179C			TOS3			protein_coding
Interval_438	V	569833	570714	+	0	NA	promoter-TSS (YER188C-A)	protein_coding-promoter-TSS (YER188C-A)	-366	YER188C-A	YER188C-A	YER188C-A			YER188C-A			protein_coding
Interval_848	XII	638441	639544	+	0	NA	exon (YLR249W, exon 1 of 1)	protein_coding-exon (YLR249W, exon 1 of 1)	-1325	YLR250W	YLR250W	YLR250W			SSP120			protein_coding
Interval_187	IV	410311	412935	+	0	NA	promoter-TSS (YDL022W)	protein_coding-promoter-TSS (YDL022W)	-202	YDL022W	YDL022W	YDL022W			GPD1			protein_coding
Interval_318	IX	166007	166294	+	0	NA	promoter-TSS (YIL106W)	protein_coding-promoter-TSS (YIL106W)	-265	YIL106W	YIL106W	YIL106W			MOB1			protein_coding
Interval_497	VII	405487	405687	+	0	NA	promoter-TSS (YGL050W)	protein_coding-promoter-TSS (YGL050W)	117	tR(UCU)G1	tR(UCU)G1	tR(UCU)G1			tR(UCU)G1			tRNA
Interval_1220	XVI	408905	409179	+	0	NA	promoter-TSS (YPL078C)	protein_coding-promoter-TSS (YPL078C)	-298	YPL078C	YPL078C	YPL078C			ATP4			protein_coding
Interval_1195	XVI	163712	164017	+	0	NA	promoter-TSS (YPL204W)	protein_coding-promoter-TSS (YPL204W)	-267	YPL206C	YPL206C	YPL206C			PGC1			protein_coding
Interval_462	VII	10094	10353	+	0	NA	promoter-TSS (YGL258W)	protein_coding-promoter-TSS (YGL258W)	-887	YGL258W	YGL258W	YGL258W			VEL1			protein_coding
Interval_1108	XV	391293	391975	+	0	NA	promoter-TSS (YOR032C)	protein_coding-promoter-TSS (YOR032C)	-542	YOR032W-A	YOR032W-A	YOR032W-A			YOR032W-A			protein_coding
Interval_995	XIV	6571	7336	+	0	NA	promoter-TSS (YNL337W)	protein_coding-promoter-TSS (YNL337W)	-212	YNL337W	YNL337W	YNL337W			YNL337W			protein_coding
Interval_309	IX	102353	102585	+	0	NA	promoter-TSS (YIL130W)	protein_coding-promoter-TSS (YIL130W)	-234	YIL131C	YIL131C	YIL131C			FKH1			protein_coding
Interval_1140	XV	769947	770660	+	0	NA	promoter-TSS (YOR230W)	protein_coding-promoter-TSS (YOR230W)	-497	YOR230W	YOR230W	YOR230W			WTM1			protein_coding
Interval_713	X	662916	663827	+	0	NA	promoter-TSS (YJR127C)	protein_coding-promoter-TSS (YJR127C)	-312	YJR127C	YJR127C	YJR127C			RSF2			protein_coding
Interval_546	VII	785426	786038	+	0	NA	promoter-TSS (YGR146C)	protein_coding-promoter-TSS (YGR146C)	-295	YGR146C-A	YGR146C-A	YGR146C-A			YGR146C-A			protein_coding
Interval_1085	XV	108970	110213	+	0	NA	promoter-TSS (YOL109W)	protein_coding-promoter-TSS (YOL109W)	415	YOL110W	YOL110W	YOL110W			SHR5			protein_coding
Interval_593	VIII	138363	138567	+	0	NA	promoter-TSS (YHR016C)	protein_coding-promoter-TSS (YHR016C)	-10	YHR016C	YHR016C	YHR016C			YSC84			protein_coding
Interval_420	V	422044	422357	+	0	NA	exon (YER130C, exon 1 of 1)	protein_coding-exon (YER130C, exon 1 of 1)	246	YER130C	YER130C	YER130C			COM2			protein_coding
Interval_316	IX	150249	150448	+	0	NA	promoter-TSS (YIL113W)	protein_coding-promoter-TSS (YIL113W)	-211	YIL113W	YIL113W	YIL113W			SDP1			protein_coding
Interval_893	XII	1002843	1003136	+	0	NA	exon (YLR432W, exon 1 of 1)	protein_coding-exon (YLR432W, exon 1 of 1)	432	YLR432W	YLR432W	YLR432W			IMD3			protein_coding
Interval_1219	XVI	406168	406540	+	0	NA	promoter-TSS (YPL079W)	protein_coding-promoter-TSS (YPL079W)	144	YPL080C	YPL080C	YPL080C			YPL080C			protein_coding
Interval_846	XII	636269	636619	+	0	NA	promoter-TSS (YLR249W)	protein_coding-promoter-TSS (YLR249W)	-336	YLR249W	YLR249W	YLR249W			YEF3			protein_coding
Interval_107	II	706920	707298	+	0	NA	promoter-TSS (YBR243C)	protein_coding-promoter-TSS (YBR243C)	-316	YBR243C	YBR243C	YBR243C			ALG7			protein_coding
Interval_1232	XVI	520335	520618	+	0	NA	promoter-TSS (YPL016W)	protein_coding-promoter-TSS (YPL016W)	-243	YPL017C	YPL017C	YPL017C			IRC15			protein_coding
Interval_133	III	168201	168440	+	0	NA	promoter-TSS (YCR027C)	protein_coding-promoter-TSS (YCR027C)	52	tQ(UUG)C	tQ(UUG)C	tQ(UUG)C			tQ(UUG)C			tRNA
Interval_1007	XIV	116555	116982	+	0	NA	promoter-TSS (YNL277W)	protein_coding-promoter-TSS (YNL277W)	89	YNL277W-A	YNL277W-A	YNL277W-A			YNL277W-A			protein_coding
Interval_295	IV	1496694	1496952	+	0	NA	promoter-TSS (YDR529C)	protein_coding-promoter-TSS (YDR529C)	-275	YDR529C	YDR529C	YDR529C			QCR7			protein_coding
Interval_46	II	221348	221558	+	0	NA	exon (YBL005W-A, exon 1 of 1)	protein_coding-exon (YBL005W-A, exon 1 of 1)	123	YBL005W-A	YBL005W-A	YBL005W-A			YBL005W-A			protein_coding
Interval_389	V	221371	222764	+	0	NA	promoter-TSS (YER033C)	protein_coding-promoter-TSS (YER033C)	221	YER034W	YER034W	YER034W			YER034W			protein_coding
Interval_1004	XIV	104602	104942	+	0	NA	promoter-TSS (YNL284C)	protein_coding-promoter-TSS (YNL284C)	-33	tT(AGU)N1	tT(AGU)N1	tT(AGU)N1			tT(AGU)N1			tRNA
Interval_673	X	278259	278640	+	0	NA	promoter-TSS (YJL083W)	protein_coding-promoter-TSS (YJL083W)	-392	YJL083W	YJL083W	YJL083W			TAX4			protein_coding
Interval_548	VII	788248	788813	+	0	NA	promoter-TSS (YGR148C)	protein_coding-promoter-TSS (YGR148C)	-501	YGR149W	YGR149W	YGR149W			YGR149W			protein_coding
Interval_1065	XIV	663445	664369	+	0	NA	promoter-TSS (YNR018W)	protein_coding-promoter-TSS (YNR018W)	-363	YNR018W	YNR018W	YNR018W			RCF2			protein_coding
Interval_264	IV	1233650	1233969	+	0	NA	promoter-TSS (YDR379C-A)	protein_coding-promoter-TSS (YDR379C-A)	-292	YDR379C-A	YDR379C-A	YDR379C-A			SDH6			protein_coding
Interval_349	IX	394902	395184	+	0	NA	promoter-TSS (PWR1)	ncRNA-promoter-TSS (PWR1)	126	YIR020W-A	YIR020W-A	YIR020W-A			YIR020W-A			protein_coding
Interval_159	IV	199622	199907	+	0	NA	promoter-TSS (YDL143W)	protein_coding-promoter-TSS (YDL143W)	-32	YDL144C	YDL144C	YDL144C			YDL144C			protein_coding
Interval_160	IV	202728	202914	+	0	NA	promoter-TSS (YDL141W)	protein_coding-promoter-TSS (YDL141W)	-218	YDL141W	YDL141W	YDL141W			BPL1			protein_coding
Interval_819	XII	369444	371323	+	0	NA	promoter-TSS (YLR110C)	protein_coding-promoter-TSS (YLR110C)	-8	YLR111W	YLR111W	YLR111W			YLR111W			protein_coding
Interval_1070	XIV	763099	763286	+	0	NA	promoter-TSS (YNR069C)	protein_coding-promoter-TSS (YNR069C)	-600	YNR069C	YNR069C	YNR069C			BSC5			protein_coding
Interval_629	VIII	488413	488732	+	0	NA	promoter-TSS (YHR193C)	protein_coding-promoter-TSS (YHR193C)	-85	YHR194W	YHR194W	YHR194W			MDM31			protein_coding
Interval_554	VII	856465	857957	+	0	NA	promoter-TSS (YGR180C)	protein_coding-promoter-TSS (YGR180C)	280	tL(CAA)G3	tL(CAA)G3	tL(CAA)G3			tL(CAA)G3			tRNA
Interval_734	XI	106766	106980	+	0	NA	promoter-TSS (YKL181W)	protein_coding-promoter-TSS (YKL181W)	-443	YKL181W	YKL181W	YKL181W			PRS1			protein_coding
Interval_277	IV	1362350	1362651	+	0	NA	promoter-TSS (YDR451C)	protein_coding-promoter-TSS (YDR451C)	-319	YDR451C	YDR451C	YDR451C			YHP1			protein_coding
Interval_506	VII	480719	481056	+	0	NA	exon (YGL008C, exon 1 of 1)	protein_coding-exon (YGL008C, exon 1 of 1)	1779	YGL008C	YGL008C	YGL008C			PMA1			protein_coding
Interval_588	VIII	98216	98956	+	0	NA	promoter-TSS (YHL004W)	protein_coding-promoter-TSS (YHL004W)	209	YHL006C	YHL006C	YHL006C			SHU1			protein_coding
Interval_571	VII	993848	994236	+	0	NA	promoter-TSS (YGR250C)	protein_coding-promoter-TSS (YGR250C)	-521	YGR250C	YGR250C	YGR250C			YGR250C			protein_coding
Interval_808	XII	214571	215021	+	0	NA	promoter-TSS (YLR035C)	protein_coding-promoter-TSS (YLR035C)	159	tA(UGC)L	tA(UGC)L	tA(UGC)L			tA(UGC)L			tRNA
Interval_910	XIII	91120	91336	+	0	NA	promoter-TSS (YML091C)	protein_coding-promoter-TSS (YML091C)	181	YML089C	YML089C	YML089C			YML089C			protein_coding
Interval_886	XII	924553	925083	+	0	NA	promoter-TSS (YLR401C)	protein_coding-promoter-TSS (YLR401C)	-71	YLR402W	YLR402W	YLR402W			YLR402W			protein_coding
Interval_65	II	374269	374619	+	0	NA	exon (YBR068C, exon 1 of 1)	protein_coding-exon (YBR068C, exon 1 of 1)	1246	YBR068C	YBR068C	YBR068C			BAP2			protein_coding
Interval_1063	XIV	651842	652335	+	0	NA	promoter-TSS (YNR013C)	protein_coding-promoter-TSS (YNR013C)	-376	YNR013C	YNR013C	YNR013C			PHO91			protein_coding
Interval_12	I	72424	73210	+	0	NA	TTS (YAL037C-A)	protein_coding-TTS (YAL037C-A)	483	YAL037C-B	YAL037C-B	YAL037C-B			YAL037C-B			protein_coding
Interval_1051	XIV	560431	560697	+	0	NA	TTS (YNL036W)	protein_coding-TTS (YNL036W)	201	tT(AGU)N2	tT(AGU)N2	tT(AGU)N2			tT(AGU)N2			tRNA
Interval_436	V	544783	545568	+	0	NA	promoter-TSS (YER177W)	protein_coding-promoter-TSS (YER177W)	-436	YER177W	YER177W	YER177W			BMH1			protein_coding
