"","seqnames","start","end","width","strand","Conc","Conc_SPT5_T0","Conc_SPT5_T15","Fold","p.value","FDR","peak","feature","start_position","end_position","feature_strand","insideFeature","distancetoFeature","shortestDistance","fromOverlappingOrNearest","symbol"
"26","IV",636054,636454,401,"*",4.45262082886353,3.34195796104752,5.0726617623241,-1.73070380127658,0.00636193083365348,0.0943493683542688,"86","YDR095C",636117,636527,"-","overlapEnd",273,63,"NearestLocation","YDR095C"
"27","XII",369708,370108,401,"*",4.21361704676195,4.84419677833534,3.06741476272247,1.77678201561286,0.00651517377382419,0.0943493683542688,"339","YLR110C",369697,370098,"-","overlapStart",190,10,"NearestLocation","CCW12"
"28","II",5691,6091,401,"*",4.8039695824786,5.35241997536876,3.90826877933253,1.44415119603623,0.00704220731710373,0.0983393950352699,"9","YBL109W",5790,6125,"+","overlapStart",101,34,"NearestLocation","YBL109W"
"29","III",68447,68847,401,"*",4.0613871702584,4.69307079880061,2.91139584290443,1.78167495589617,0.00774094922313288,0.104369349870516,"49","YCL030C",65934,68333,"-","upstream",-314,114,"NearestLocation","HIS4"
"30","VIII",174963,175363,401,"*",4.28783643375086,3.165434223996,4.91139584290443,-1.74596161890844,0.0087010797405189,0.113404072618096,"257","YHR032W-A",175195,175374,"+","overlapStart",-32,11,"NearestLocation","YHR032W-A"
"31","V",140531,141163,633,"*",5.62758643323993,6.04891290086214,5.02996314919442,1.01894975166772,0.00967486507669361,0.122028136935071,"156","YEL008C-A",140726,140818,"-","includeFeature",-29,195,"NearestLocation","YEL008C-A"
"32","XIII",773855,774662,808,"*",5.67801403466591,5.10064833840045,6.08923807792,-0.988589739519544,0.0110437420208106,0.131940464287353,"408","YMR251W-A",774752,774931,"+","upstream",-494,90,"NearestLocation","HOR7"
"33","V",69122,69522,401,"*",5.6695460229351,6.08311746943246,5.08751116596617,0.995606303466298,0.0111356402083955,0.131940464287353,"152","YEL045C",68840,69265,"-","overlapStart",-57,143,"NearestLocation","YEL045C"
"34","IV",1524758,1525158,401,"*",4.99942095921632,5.49119156613386,4.24754382350846,1.2436477426254,0.0121455706392307,0.138979009736832,"126","YDR543C",1524634,1524933,"-","overlapStart",-25,124,"NearestLocation","YDR543C"
"35","IV",1507246,1507646,401,"*",4.66669013532653,3.76745747464761,5.21643634560959,-1.44897887096198,0.012620671476004,0.138979009736832,"125","YDR535C",1506606,1507362,"-","overlapStart",-84,116,"NearestLocation","YDR535C"
"36","XVI",114330,114914,585,"*",4.86311198263519,4.06022463696177,5.37589424398713,-1.31566960702535,0.0127960213568438,0.138979009736832,"502","YPL230W",115312,116487,"+","upstream",-690,398,"NearestLocation","USV1"
"37","V",569738,570461,724,"*",5.89919100488648,6.25828927311342,5.4199924609994,0.83829681211402,0.0134040679524742,0.141648393768038,"185","YER188C-A",569608,569907,"-","overlapStart",-193,130,"NearestLocation","YER188C-A"
"38","IV",8,408,401,"*",4.32471507065761,4.88093511695371,3.4076585167279,1.47327660022581,0.0187126558547996,0.192543379979648,"58","YDL248W",1802,2953,"+","upstream",-1594,1394,"NearestLocation","COS7"
"39","XI",518517,519286,770,"*",5.50973914457165,5.91135490886491,4.95125122715218,0.960103681712728,0.0195478113715132,0.195979339647735,"323","YKR040C",518063,518566,"-","overlapStart",-336,49,"NearestLocation","YKR040C"
"40","III",315878,316278,401,"*",4.79881155581173,5.29589612298839,4.03427254394967,1.26162357903872,0.022078640761984,0.215818713448393,"57","YCR108C",315997,316188,"-","includeFeature",110,90,"NearestLocation","YCR108C"
"41","VII",654029,654429,401,"*",4.35786753224993,3.44286571212997,4.9133468212908,-1.47048110916083,0.0229261515207667,0.218637201088287,"227","YGR088W",654634,656322,"+","upstream",-405,205,"NearestLocation","CTT1"
"42","VIII",556222,556908,687,"*",5.44743091759822,5.84939105438659,4.88827280520084,0.961118249185748,0.0246780932386093,0.225845807699943,"269","YHR217C",556581,557042,"-","overlapEnd",477,134,"NearestLocation","YHR217C"
"43","VI",224783,225449,667,"*",6.20122305790066,6.49280210448017,5.83539027697109,0.657411827509081,0.0248372627393799,0.225845807699943,"195","YFR033C",224326,224769,"-","upstream",-347,14,"NearestLocation","QCR6"
"44","XVI",74859,75615,757,"*",5.45292420556702,5.84656126640631,4.90983315836308,0.936728108043225,0.0257769091714379,0.229062988318914,"499","YPL250W-A",75702,75989,"+","upstream",-465,87,"NearestLocation","YPL250W-A"
"45","V",6116,6516,401,"*",4.48915464152916,4.98499594829223,3.72759218141679,1.25740376687544,0.0300299795462428,0.260927155612909,"149","YEL074W",6126,6464,"+","includeFeature",190,10,"NearestLocation","YEL074W"
"46","II",490526,490926,401,"*",4.66409866379522,3.9056276454543,5.15864486511126,-1.25301721965696,0.0371641220172247,0.31589503714641,"32","YBR126W-B",490927,491070,"+","upstream",-201,1,"NearestLocation","YBR126W-B"
"47","IV",76806,77206,401,"*",4.03699834436197,3.165434223996,4.57647584180173,-1.41104161780573,0.0397881529232051,0.33100357006326,"59","YDL214C",74446,76545,"-","upstream",-461,261,"NearestLocation","PRR2"
"48","XIII",25974,26374,401,"*",4.46361701896075,4.97119782610358,3.6735961635291,1.29760166257447,0.0416184902089231,0.339017284826853,"377","YML122C",26038,26418,"-","overlapEnd",244,44,"NearestLocation","YML122C"
"49","III",123425,123825,401,"*",4.87429547941381,5.31126268736136,4.2444474632936,1.06681522406775,0.045583286542559,0.363736021186542,"52","tP(AGG)C",123577,123648,"-","includeFeature",23,152,"NearestLocation","SUF2"
"50","VII",483175,483575,401,"*",4.64735449710135,5.1145691501091,3.95201066835485,1.16255848175425,0.0501309111109791,0.38956617240446,"217","YGL007W",483260,483637,"+","overlapStart",115,62,"NearestLocation","BRP1"
"51","II",89427,89827,401,"*",4.48411173017663,4.93642006364697,3.82158833963826,1.11483172400871,0.0508129790092774,0.38956617240446,"13","YBL071C-B",89458,89556,"-","includeFeature",-71,31,"NearestLocation","YBL071C-B"
"52","V",85045,85445,401,"*",5.60878338534852,5.93863824565942,5.18043705113665,0.758201194522767,0.0562416944283778,0.422894279259533,"153","YEL035C",85045,85545,"-","overlapEnd",300,0,"NearestLocation","UTR5"
"53","IV",410839,411239,401,"*",4.59007331575479,3.91586543674697,5.04774513183505,-1.13187969508808,0.0582292100844273,0.42526614137858,"74","tA(AGC)D",410379,410451,"+","downstream",660,388,"NearestLocation","tA(AGC)D"
"54","X",703510,703910,401,"*",4.82274991279204,5.23225929098154,4.24878050924421,0.983478781737333,0.0587324082722335,0.42526614137858,"298","YJR146W",703885,704238,"+","overlapStart",-175,25,"NearestLocation","YJR146W"
"55","VI",221475,221875,401,"*",5.18203525676029,5.55423535205849,4.67911073704168,0.875124615016811,0.0605574754218238,0.430508597998784,"193","RUF23",221714,221967,"+","overlapStart",-39,92,"NearestLocation","RUF23"
"56","VII",598932,599332,401,"*",4.36644375260329,3.69866398990234,4.82117274164396,-1.12250875174162,0.0672949621611319,0.469863039375046,"223","YGR055W",599417,601141,"+","upstream",-285,85,"NearestLocation","MUP1"
"57","XII",924595,924995,401,"*",4.86133183109855,5.2563942728556,4.31550841107985,0.940885861775755,0.0699755406193275,0.480007655827317,"368","YLR402W",924889,925080,"+","overlapStart",-94,85,"NearestLocation","YLR402W"
"58","XII",1028367,1028767,401,"*",5.33932395122664,5.68129197504823,4.89025528350783,0.791036691540406,0.077710418048544,0.520062109749956,"371","YLR448W",1028854,1029768,"+","upstream",-287,87,"NearestLocation","RPL6B"
"59","XII",423847,424528,682,"*",5.84252220336731,6.11391845333924,5.50795976181719,0.605958691522043,0.0784748452052363,0.520062109749956,"341","YLR141W",423683,424774,"+","inside",505,164,"NearestLocation","RRN5"
"60","I",70986,71386,401,"*",4.62340753391418,5.023377808755,4.0681154662255,0.955262342529498,0.0834056802458538,0.543527016268814,"5","YAL038W",71786,73288,"+","upstream",-600,400,"NearestLocation","CDC19"
"61","II",595579,595979,401,"*",4.37967018994897,3.74466467741899,4.81909295395002,-1.07442827653102,0.0883615600669952,0.565471852664827,"35","YBR182C-A",595361,595555,"-","upstream",-224,24,"NearestLocation","YBR182C-A"
"62","V",491049,491449,401,"*",4.98464421624671,5.34908852020148,4.49583763682846,0.853250883373019,0.089665613466034,0.565471852664827,"183","YER158W-A",491487,491702,"+","upstream",-238,38,"NearestLocation","YER158W-A"
"63","II",45157,45557,401,"*",4.69526296299169,5.07373621635073,4.1807610458305,0.892975170520234,0.0970236129899197,0.602162423477121,"11","YBL093C",44256,44918,"-","upstream",-439,239,"NearestLocation","ROX3"
"64","XI",165933,166333,401,"*",3.99030950920064,3.34195796104752,4.43602678638161,-1.09406882533409,0.101357069346576,0.61922834553924,"310","YKL151C",164917,165930,"-","upstream",-203,3,"NearestLocation","YKL151C"
"65","XIII",915097,915497,401,"*",4.78272214340234,5.15326514176006,4.28283207706441,0.870433064695654,0.103270095976097,0.621209346563906,"412","YMR319C",912880,914538,"-","upstream",-759,559,"NearestLocation","FET4"
"66","XII",459772,460709,938,"*",11.0027612009031,11.3509781921781,10.5428154846166,0.808162707561465,0.10866738848879,0.643771953016924,"342","RDN5-1",459676,459796,"+","overlapEnd",564,24,"NearestLocation","RDN5-1"
"67","VII",398001,398401,401,"*",5.33353916128264,5.63592731245911,4.95049138596565,0.685435926493458,0.11734993164123,0.684833183160015,"210","YGL055W",398628,400160,"+","upstream",-427,227,"NearestLocation","OLE1"
"68","XV",987561,987961,401,"*",4.63629590743205,5.00403360125934,4.14152047138989,0.862513129869451,0.121421638268541,0.695369327484128,"489","YOR348C",986899,988782,"-","inside",1021,662,"NearestLocation","PUT4"
"69","II",375860,376260,401,"*",4.6661701281265,4.17398981803767,5.03247852689025,-0.858488708852581,0.128616412786633,0.695369327484128,"24","YBR068C",373861,375690,"-","upstream",-370,170,"NearestLocation","BAP2"
"70","V",53283,53885,603,"*",5.14809550582841,5.47091070362991,4.73157828845217,0.739332415177741,0.131402544378712,0.695369327484128,"151","YEL054C",52721,53218,"-","upstream",-366,65,"NearestLocation","RPL12A"
"71","VII",384569,385085,517,"*",5.52099391319757,5.17423951641434,5.80034497605344,-0.626105459639102,0.131734795393019,0.695369327484128,"209","YGL063C-A",384502,384651,"-","overlapStart",-176,67,"NearestLocation","YGL063C-A"
"72","XV",391524,391924,401,"*",4.25324237852901,3.69866398990234,4.65284443692418,-0.954180447021839,0.131820907645241,0.695369327484128,"454","YOR032W-A",392176,392376,"+","upstream",-452,252,"NearestLocation","YOR032W-A"
"73","XIV",651925,652325,401,"*",4.49461364572298,3.99468756731463,4.86517634167753,-0.870488774362903,0.132303417563523,0.695369327484128,"433","YNR014W",652465,653103,"+","upstream",-340,140,"NearestLocation","YNR014W"
"74","XVI",431623,432392,770,"*",5.73128583926103,5.42884538857624,5.98118068677583,-0.552335298199591,0.134287988252925,0.695369327484128,"513","YPL062W",431895,432299,"+","includeFeature",113,93,"NearestLocation","YPL062W"
"75","XVI",942436,942836,401,"*",4.33718001330171,4.71668671009428,3.8207570238936,0.895929686200684,0.136358921841817,0.695369327484128,"537","YPR202W",943032,943896,"+","upstream",-396,196,"NearestLocation","YPR202W"
"76","VII",920061,920461,401,"*",4.79353443576242,5.13610947661893,4.34341483223219,0.79269464438674,0.13983933864353,0.695369327484128,"241","YGR214W",920575,921788,"+","upstream",-314,114,"NearestLocation","RPS0A"
"77","XII",723334,723734,401,"*",4.16291484301034,4.55076237918565,3.6308416151072,0.919920764078451,0.140932203806268,0.695369327484128,"354","YLR297W",724044,724433,"+","upstream",-510,310,"NearestLocation","YLR297W"
"78","XI",614800,615509,710,"*",5.21464210175729,4.82227494592762,5.52279500122191,-0.700520055294285,0.141349554045406,0.695369327484128,"326","YKR093W",615730,617535,"+","upstream",-576,221,"NearestLocation","PTR2"
"79","XVI",699984,700384,401,"*",4.34011398688091,4.72253077594589,3.81826019864412,0.90427057730177,0.142243579202785,0.695369327484128,"527","YPR080W",700594,701970,"+","upstream",-410,210,"NearestLocation","TEF1"
"80","XII",931916,932316,401,"*",4.75816692889107,5.09641731525595,4.31550841107985,0.780908904176105,0.142915198029973,0.695369327484128,"369","YLR406C-A",932206,932355,"-","overlapEnd",239,39,"NearestLocation","YLR406C-A"
"81","XI",355238,355638,401,"*",4.46582210884491,4.82259357255768,3.99077441741104,0.831819155146644,0.14405349239441,0.695369327484128,"318","YKL044W",356322,356642,"+","upstream",-884,684,"NearestLocation","YKL044W"
"82","XII",758948,759348,401,"*",4.43073092051521,3.89531668421765,4.82034118631815,-0.925024502100504,0.147168082776336,0.701740492262775,"357","YLR312C",757637,758833,"-","upstream",-315,115,"NearestLocation","YLR312C"
"83","IV",538776,539176,401,"*",4.62302642987528,4.15733291825886,4.97451579265757,-0.81718287439871,0.150151283998926,0.702219619465479,"80","YDR040C",535192,538467,"-","upstream",-509,309,"NearestLocation","ENA1"
"84","V",270241,270641,401,"*",4.20985764681765,4.59603229014887,3.68094425392402,0.915088036224848,0.150860480908185,0.702219619465479,"163","YER056C-A",269423,270185,"-","upstream",-256,56,"NearestLocation","RPL34A"
"85","XV",866662,867062,401,"*",4.90220017244877,5.22015961561136,4.49375292823396,0.7264066873774,0.154259906492941,0.704273168234223,"480","YOR293W",867098,867852,"+","upstream",-236,36,"NearestLocation","RPS10A"
"86","XIII",551202,551928,727,"*",5.51324472713118,5.77326469575929,5.19582651114321,0.577438184616081,0.15490407280855,0.704273168234223,"400","YMR143W",551928,552903,"+","overlapStart",-363,0,"NearestLocation","RPS16A"
"87","III",178221,178621,401,"*",4.27406257142643,4.64536726586397,3.77277892294799,0.872588342915981,0.157397752609359,0.707385301957002,"55","YCR031C",177500,178220,"-","upstream",-201,1,"NearestLocation","RPS14A"
"88","VI",95151,95799,649,"*",5.16308778374534,5.45324081506603,4.79950132519654,0.653739489869493,0.160608160387561,0.713611258085642,"188","YFL022C",93499,95010,"-","upstream",-465,141,"NearestLocation","FRS2"
"89","XVI",901541,901941,401,"*",3.97716098952137,3.42863609030861,4.37362866539304,-0.944992575084426,0.162633331934114,0.714490256025151,"535","YPR184W",902044,906654,"+","upstream",-303,103,"NearestLocation","GDB1"
"90","IX",254190,254590,401,"*",5.56136410130146,5.81730173446605,5.25001613579435,0.567285598671701,0.167420281699666,0.722477578178951,"139","YIL054W",254543,254860,"+","overlapStart",-153,47,"NearestLocation","YIL054W"
"91","XII",489416,489816,401,"*",5.04768599126159,5.34129098306997,4.67865199349409,0.66263898957588,0.168739793124707,0.722477578178951,"343","YLR162W",489573,489929,"+","overlapStart",43,113,"NearestLocation","YLR162W"
"92","XII",796316,796716,401,"*",4.22057327315254,4.58927701569318,3.72403970558514,0.865237310108045,0.1699947242774,0.722477578178951,"360","YLR334C",796698,797078,"-","overlapEnd",562,18,"NearestLocation","YLR334C"
"93","XII",839418,839818,401,"*",4.32632246398534,4.67545450533469,3.86477311404582,0.810681391288872,0.175100190646618,0.736027328669117,"364","YLR355C",838066,839253,"-","upstream",-365,165,"NearestLocation","ILV5"
"94","XI",381963,382363,401,"*",4.7763683604248,4.37856428761097,5.08785671376619,-0.709292426155213,0.176947746534263,0.736027328669117,"320","YKL031W",382072,382485,"+","overlapStart",91,109,"NearestLocation","YKL031W"
"95","XII",490508,490908,401,"*",4.73769483190538,5.04631251578715,4.34457203980366,0.701740475983484,0.182901751137974,0.737912755121471,"344","YLR162W-A",490406,490594,"+","overlapEnd",302,86,"NearestLocation","RRT15"
"96","XV",424137,424537,401,"*",4.64958013766171,4.23201943610927,4.97302003840746,-0.741000602298191,0.183650993734213,0.737912755121471,"455","YOR050C",424270,424617,"-","overlapEnd",280,80,"NearestLocation","YOR050C"
"97","XV",978305,979469,1165,"*",6.48295366824297,6.62825626609895,6.3213607595445,0.306895506554451,0.18416558305549,0.737912755121471,"488","YOR344C",977194,978069,"-","upstream",-818,236,"NearestLocation","TYE7"
"98","XV",638896,639296,401,"*",4.92698576750118,4.5375628504435,5.2333239377918,-0.695761087348292,0.186705004449387,0.737912755121471,"468","YOR161C-C",639121,639267,"-","includeFeature",171,29,"NearestLocation","YOR161C-C"
"99","V",141212,141612,401,"*",4.07771560361812,4.45034067053257,3.57401128967324,0.876329380859322,0.186837244902879,0.737912755121471,"157","YEL007W",141892,143892,"+","upstream",-480,280,"NearestLocation","MIT1"
"100","VII",428029,428429,401,"*",4.07355332969738,3.58927701569318,4.43548383842538,-0.8462068227322,0.190314874160613,0.744131157967996,"214","YGL037C",427297,427947,"-","upstream",-282,82,"NearestLocation","PNC1"
"101","II",628486,628886,401,"*",4.19711612785047,3.73380959041377,4.54724900673067,-0.813439416316907,0.194164876305536,0.75166798648975,"41","YBR203W",629168,631942,"+","upstream",-482,282,"NearestLocation","COS111"
"102","XIII",758959,759359,401,"*",4.69402074872576,4.99468756731463,4.31373689949838,0.68095066781625,0.201006952952442,0.768998344866258,"407","YMR244C-A",758517,758831,"-","upstream",-328,128,"NearestLocation","COA6"
"103","XIV",661877,662277,401,"*",4.64630268032647,4.9561052046344,4.25125070497166,0.704854499662745,0.202575011563234,0.768998344866258,"434","YNR016C",654673,661374,"-","upstream",-703,503,"NearestLocation","ACC1"
"104","XI",260611,261011,401,"*",4.40570975455524,3.98556518177969,4.73069343818135,-0.745128256401665,0.206997996937619,0.778232853871241,"313","YKL096W",261132,261851,"+","upstream",-321,121,"NearestLocation","CWP1"
"105","IX",257138,257538,401,"*",4.59484620001357,4.89592241702415,4.21390576241702,0.682016654607123,0.210968691813782,0.785607223801797,"140","YIL052C",256226,257063,"-","upstream",-275,75,"NearestLocation","RPL34B"
"106","V",441944,442344,401,"*",5.57023466588431,5.79805894489788,5.29956113629352,0.498497808604364,0.216119963041414,0.795273373035225,"180","SCR1",441987,442508,"+","overlapStart",157,43,"NearestLocation","SCR1"
"107","IV",1468726,1469323,598,"*",5.42408293307309,5.66923904116139,5.12856361410007,0.540675427061323,0.217632355280739,0.795273373035225,"122","YDR510W",1469400,1469705,"+","upstream",-376,77,"NearestLocation","SMT3"
"108","IV",1355569,1355969,401,"*",4.28280351422378,4.60797066313819,3.8623513786737,0.745619284464484,0.224453066766388,0.811409108166567,"113","YDR447C",1354829,1355553,"-","upstream",-216,16,"NearestLocation","RPS17B"
"109","VIII",98350,98750,401,"*",4.6143959309848,4.90622906541271,4.24816229888802,0.658066766524689,0.226198447033647,0.811409108166567,"252","YHL006C",98343,98795,"-","inside",245,7,"NearestLocation","SHU1"
"110","V",349577,349977,401,"*",4.04059059917126,3.60201382543684,4.37646008316275,-0.774446257725913,0.229635655918756,0.816250376947577,"173","YER095W",349980,351182,"+","upstream",-203,3,"NearestLocation","RAD51"
"111","XV",462266,462666,401,"*",4.04561716912907,3.61463917179751,4.3770257004977,-0.762386528700184,0.235734270316488,0.824768339398873,"458","YOR072W-A",461791,462039,"+","downstream",675,227,"NearestLocation","YOR072W-A"
"112","XV",487335,487735,401,"*",4.14568530021603,4.47050410828431,3.72581703694769,0.744687071336623,0.23625077752602,0.824768339398873,"460","YOR087W",487707,489734,"+","overlapStart",-172,28,"NearestLocation","YVC1"
"113","XIII",347087,347487,401,"*",4.59027976069791,4.21553770645305,4.88747905046672,-0.671941344013662,0.240988834147883,0.830765001147879,"392","YMR037C",344403,346517,"-","upstream",-770,570,"NearestLocation","MSN2"
"114","X",119808,120208,401,"*",4.3078554685594,4.62091065254816,3.90748595323464,0.713424699313518,0.242217928723422,0.830765001147879,"272","YJL159W",120449,121690,"+","upstream",-441,241,"NearestLocation","HSP150"
"115","VIII",55327,55727,401,"*",4.04760946499504,4.37114270391324,3.62989275064228,0.741249953270966,0.244518194750886,0.831361862153014,"251","YHL025W",54851,55849,"+","inside",676,122,"NearestLocation","SNF6"
"116","V",174610,175010,401,"*",4.2266621174958,3.81134838832105,4.54875592493747,-0.737407536616419,0.248482315818123,0.837556771421431,"158","YER011W",175248,176012,"+","upstream",-438,238,"NearestLocation","TIR1"
"117","IV",1359532,1359932,401,"*",4.36274023184794,4.65726321153262,3.99225188647981,0.665011325052815,0.254037904435993,0.848071286967054,"114","YDR450W",1359923,1360798,"+","overlapStart",-191,9,"NearestLocation","RPS18A"
"118","V",396351,396751,401,"*",4.98689867649899,5.24042872554895,4.67911073704168,0.561317988507267,0.257114209799607,0.848071286967054,"176","YER117W",396769,397653,"+","upstream",-218,18,"NearestLocation","RPL23B"
"119","IV",239835,240235,401,"*",4.05820794817832,3.65114811437313,4.37532818279673,-0.724180068423603,0.263865836515397,0.848071286967054,"67","YDL124W",240259,241197,"+","upstream",-224,24,"NearestLocation","YDL124W"
"120","VII",371151,371551,401,"*",4.43594860703592,4.72835126414479,4.06881582956859,0.659535434576192,0.266073492657877,0.848071286967054,"208","YGL072C",371003,371362,"-","overlapStart",11,148,"NearestLocation","YGL072C"
"121","IV",307780,308180,401,"*",4.76441406869978,5.03281581926126,4.43439732912443,0.598418490136833,0.266114041588129,0.848071286967054,"68","YDL083C",306926,307789,"-","overlapStart",-191,9,"NearestLocation","RPS16B"
"122","XV",109196,109791,596,"*",6.03614707851504,6.19713653487819,5.854909832105,0.342226702773186,0.267823331156113,0.848071286967054,"444","YOL110W",109176,109889,"+","inside",318,20,"NearestLocation","SHR5"
"123","III",163462,163862,401,"*",4.42496466507418,4.71081887479591,4.0681154662255,0.642703408570408,0.26903931362183,0.848071286967054,"54","YCR025C",163446,163856,"-","overlapStart",194,6,"NearestLocation","YCR025C"
"124","VIII",122064,122829,766,"*",5.52253852199864,5.75123383279957,5.25063355244149,0.500600280358077,0.26904586240808,0.848071286967054,"253","YHR007C-A",122550,122765,"-","includeFeature",319,64,"NearestLocation","YHR007C-A"
"125","X",703087,703487,401,"*",4.38935371430512,4.67545450533469,4.03211945561586,0.643335049718837,0.271463571965723,0.848071286967054,"297","YJR145C",702027,703068,"-","upstream",-219,19,"NearestLocation","RPS4A"
"126","VII",592621,593021,401,"*",5.12388996255957,4.83851116712257,5.36203340497334,-0.523522237850768,0.274842377061983,0.848071286967054,"222","YGR050C",592086,592442,"-","upstream",-379,179,"NearestLocation","YGR050C"
