PeakID (cmd=annotatePeaks.pl SPT5_T15_R2_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 2)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
SPT5_T15_R2_peak_507	XII	759023	759392	+	145	NA	promoter-TSS (YLR312C)	protein_coding-promoter-TSS (YLR312C)	-273	YLR312W-A	YLR312W-A	YLR312W-A			MRPL15			protein_coding
SPT5_T15_R2_peak_132	IV	769130	769569	+	143	NA	promoter-TSS (YDR154C)	protein_coding-promoter-TSS (YDR154C)	-176	YDR156W	YDR156W	YDR156W			RPA14			protein_coding
SPT5_T15_R2_peak_110	IV	465147	465452	+	143	NA	promoter-TSS (YDR010C)	protein_coding-promoter-TSS (YDR010C)	84	YDR010C	YDR010C	YDR010C			YDR010C			protein_coding
SPT5_T15_R2_peak_302	VII	384499	385396	+	143	NA	promoter-TSS (YGL062W)	protein_coding-promoter-TSS (YGL062W)	-249	YGL062W	YGL062W	YGL062W			PYC1			protein_coding
SPT5_T15_R2_peak_705	XV	988943	989571	+	142	NA	promoter-TSS (YOR348C)	protein_coding-promoter-TSS (YOR348C)	-475	YOR348C	YOR348C	YOR348C			PUT4			protein_coding
SPT5_T15_R2_peak_663	XV	424225	424600	+	142	NA	promoter-TSS (YOR049C)	protein_coding-promoter-TSS (YOR049C)	205	YOR050C	YOR050C	YOR050C			YOR050C			protein_coding
SPT5_T15_R2_peak_177	IV	1489979	1490511	+	140	NA	promoter-TSS (YDR524C-A)	protein_coding-promoter-TSS (YDR524C-A)	-255	YDR524C-A	YDR524C-A	YDR524C-A			YDR524C-A			protein_coding
SPT5_T15_R2_peak_555	XIII	407642	408855	+	139	NA	promoter-TSS (YMR070W)	protein_coding-promoter-TSS (YMR070W)	539	YMR069W	YMR069W	YMR069W			NAT4			protein_coding
SPT5_T15_R2_peak_442	XI	258537	258977	+	134	NA	promoter-TSS (YKL096W-A)	protein_coding-promoter-TSS (YKL096W-A)	156	YKL097C	YKL097C	YKL097C			YKL097C			protein_coding
SPT5_T15_R2_peak_5	I	68035	68967	+	133	NA	promoter-TSS (YAL040C)	protein_coding-promoter-TSS (YAL040C)	-981	YAL040C	YAL040C	YAL040C			CLN3			protein_coding
SPT5_T15_R2_peak_463	XI	614827	615422	+	133	NA	promoter-TSS (YKR093W)	protein_coding-promoter-TSS (YKR093W)	-606	YKR093W	YKR093W	YKR093W			PTR2			protein_coding
SPT5_T15_R2_peak_126	IV	599744	600626	+	133	NA	promoter-TSS (YDR077W)	protein_coding-promoter-TSS (YDR077W)	-608	YDR077W	YDR077W	YDR077W			SED1			protein_coding
SPT5_T15_R2_peak_573	XIII	652753	653739	+	133	NA	promoter-TSS (YMR194C-A)	protein_coding-promoter-TSS (YMR194C-A)	-110	YMR194C-A	YMR194C-A	YMR194C-A			YMR194C-A			protein_coding
SPT5_T15_R2_peak_365	VIII	236078	236533	+	133	NA	promoter-TSS (YHR071W)	protein_coding-promoter-TSS (YHR071W)	207	YHR070C-A	YHR070C-A	YHR070C-A			YHR070C-A			protein_coding
SPT5_T15_R2_peak_225	V	191958	192482	+	132	NA	promoter-TSS (YER017C)	protein_coding-promoter-TSS (YER017C)	404	YER018C	YER018C	YER018C			SPC25			protein_coding
SPT5_T15_R2_peak_542	XIII	225454	225777	+	132	NA	promoter-TSS (YML024W)	protein_coding-promoter-TSS (YML024W)	-250	YML025C	YML025C	YML025C			YML6			protein_coding
SPT5_T15_R2_peak_179	IV	1506999	1507856	+	132	NA	promoter-TSS (YDR535C)	protein_coding-promoter-TSS (YDR535C)	-65	YDR535C	YDR535C	YDR535C			YDR535C			protein_coding
SPT5_T15_R2_peak_402	X	294415	295066	+	132	NA	promoter-TSS (YJL076W)	protein_coding-promoter-TSS (YJL076W)	-59	YJL077W-A	YJL077W-A	YJL077W-A			YJL077W-A			protein_coding
SPT5_T15_R2_peak_693	XV	836597	837305	+	128	NA	promoter-TSS (YOR273C)	protein_coding-promoter-TSS (YOR273C)	-520	YOR273C	YOR273C	YOR273C			TPO4			protein_coding
SPT5_T15_R2_peak_453	XI	381920	382397	+	126	NA	promoter-TSS (YKL030W)	protein_coding-promoter-TSS (YKL030W)	86	YKL031W	YKL031W	YKL031W			YKL031W			protein_coding
SPT5_T15_R2_peak_197	IX	254174	254932	+	126	NA	promoter-TSS (YIL053W)	protein_coding-promoter-TSS (YIL053W)	10	YIL054W	YIL054W	YIL054W			YIL054W			protein_coding
SPT5_T15_R2_peak_23	II	167920	168346	+	125	NA	promoter-TSS (YBL027W)	protein_coding-promoter-TSS (YBL027W)	-290	YBL027W	YBL027W	YBL027W			RPL19B			protein_coding
SPT5_T15_R2_peak_625	XIV	559058	559686	+	125	NA	promoter-TSS (YNL036W)	protein_coding-promoter-TSS (YNL036W)	-370	YNL037C	YNL037C	YNL037C			IDH1			protein_coding
SPT5_T15_R2_peak_18	II	135757	136292	+	125	NA	promoter-TSS (YBL043W)	protein_coding-promoter-TSS (YBL043W)	26	YBL044W	YBL044W	YBL044W			YBL044W			protein_coding
SPT5_T15_R2_peak_490	XII	489395	489748	+	121	NA	promoter-TSS (YLR162W)	protein_coding-promoter-TSS (YLR162W)	-2	YLR162W	YLR162W	YLR162W			YLR162W			protein_coding
SPT5_T15_R2_peak_281	VII	23303	23733	+	121	NA	promoter-TSS (YGL253W)	protein_coding-promoter-TSS (YGL253W)	-417	YGL253W	YGL253W	YGL253W			HXK2			protein_coding
SPT5_T15_R2_peak_58	II	624769	625548	+	121	NA	promoter-TSS (YBR201C-A)	protein_coding-promoter-TSS (YBR201C-A)	-462	YBR201C-A	YBR201C-A	YBR201C-A			YBR201C-A			protein_coding
SPT5_T15_R2_peak_142	IV	955004	955521	+	121	NA	promoter-TSS (YDR247W)	protein_coding-promoter-TSS (YDR247W)	129	YDR246W-A	YDR246W-A	YDR246W-A			YDR246W-A			protein_coding
SPT5_T15_R2_peak_549	XIII	346989	347507	+	121	NA	promoter-TSS (YMR037C)	protein_coding-promoter-TSS (YMR037C)	-731	YMR037C	YMR037C	YMR037C			MSN2			protein_coding
SPT5_T15_R2_peak_192	IX	169737	169922	+	121	NA	promoter-TSS (YIL105C)	protein_coding-promoter-TSS (YIL105C)	-188	YIL105C	YIL105C	YIL105C			SLM1			protein_coding
SPT5_T15_R2_peak_697	XV	882082	882456	+	121	NA	promoter-TSS (YOR302W)	protein_coding-promoter-TSS (YOR302W)	-496	YOR302W	YOR302W	YOR302W			YOR302W			protein_coding
SPT5_T15_R2_peak_249	V	354918	355239	+	117	NA	promoter-TSS (YER097W)	protein_coding-promoter-TSS (YER097W)	-62	YER097W	YER097W	YER097W			YER097W			protein_coding
SPT5_T15_R2_peak_40	II	426857	427098	+	116	NA	promoter-TSS (YBR089C-A)	protein_coding-promoter-TSS (YBR089C-A)	81	YBR090C	YBR090C	YBR090C			YBR090C			protein_coding
SPT5_T15_R2_peak_452	XI	369138	369614	+	114	NA	promoter-TSS (YKL035W)	protein_coding-promoter-TSS (YKL035W)	11	YKL037W	YKL037W	YKL037W			AIM26			protein_coding
SPT5_T15_R2_peak_224	V	174578	174968	+	111	NA	promoter-TSS (YER011W)	protein_coding-promoter-TSS (YER011W)	-475	YER011W	YER011W	YER011W			TIR1			protein_coding
SPT5_T15_R2_peak_462	XI	589467	590150	+	110	NA	promoter-TSS (YKR079C)	protein_coding-promoter-TSS (YKR079C)	-503	YKR079C	YKR079C	YKR079C			TRZ1			protein_coding
SPT5_T15_R2_peak_59	II	628534	628811	+	110	NA	promoter-TSS (YBR203W)	protein_coding-promoter-TSS (YBR203W)	-496	YBR203W	YBR203W	YBR203W			COS111			protein_coding
SPT5_T15_R2_peak_741	XVI	453295	453752	+	110	NA	promoter-TSS (YPL057C)	protein_coding-promoter-TSS (YPL057C)	212	YPL056C	YPL056C	YPL056C			LCL1			protein_coding
SPT5_T15_R2_peak_622	XIV	503071	503500	+	110	NA	promoter-TSS (YNL065W)	protein_coding-promoter-TSS (YNL065W)	-439	YNL065W	YNL065W	YNL065W			AQR1			protein_coding
SPT5_T15_R2_peak_754	XVI	645043	646176	+	110	NA	promoter-TSS (YPR036W-A)	protein_coding-promoter-TSS (YPR036W-A)	-341	YPR036W-A	YPR036W-A	YPR036W-A			SPO24			protein_coding
SPT5_T15_R2_peak_358	VIII	121916	122373	+	110	NA	promoter-TSS (YHR007C)	protein_coding-promoter-TSS (YHR007C)	-461	YHR007C	YHR007C	YHR007C			ERG11			protein_coding
SPT5_T15_R2_peak_593	XIV	6594	7150	+	110	NA	promoter-TSS (YNL337W)	protein_coding-promoter-TSS (YNL337W)	-293	YNL337W	YNL337W	YNL337W			YNL337W			protein_coding
SPT5_T15_R2_peak_54	II	595600	596000	+	110	NA	promoter-TSS (YBR182C)	protein_coding-promoter-TSS (YBR182C)	-245	YBR182C-A	YBR182C-A	YBR182C-A			YBR182C-A			protein_coding
SPT5_T15_R2_peak_269	VI	106260	107738	+	108	NA	promoter-TSS (YFL013W-A)	protein_coding-promoter-TSS (YFL013W-A)	-36	YFL015C	YFL015C	YFL015C			YFL015C			protein_coding
SPT5_T15_R2_peak_738	XVI	425262	426010	+	108	NA	promoter-TSS (YPL066W)	protein_coding-promoter-TSS (YPL066W)	211	YPL067C	YPL067C	YPL067C			YPL067C			protein_coding
SPT5_T15_R2_peak_398	X	220287	220797	+	107	NA	promoter-TSS (YJL106W)	protein_coding-promoter-TSS (YJL106W)	-526	YJL107C	YJL107C	YJL107C			YJL107C			protein_coding
SPT5_T15_R2_peak_152	IV	1164868	1165429	+	107	NA	promoter-TSS (YDR345C)	protein_coding-promoter-TSS (YDR345C)	-488	YDR345C	YDR345C	YDR345C			HXT3			protein_coding
SPT5_T15_R2_peak_124	IV	591712	592475	+	107	NA	promoter-TSS (YDR072C)	protein_coding-promoter-TSS (YDR072C)	-346	YDR073W	YDR073W	YDR073W			SNF11			protein_coding
SPT5_T15_R2_peak_340	VII	809467	810755	+	107	NA	promoter-TSS (YGR161C)	protein_coding-promoter-TSS (YGR161C)	-116	YGR161W-C	YGR161W-C	YGR161W-C			YGR161W-C			protein_coding
SPT5_T15_R2_peak_214	V	68992	69502	+	106	NA	promoter-TSS (YEL044W)	protein_coding-promoter-TSS (YEL044W)	18	YEL045C	YEL045C	YEL045C			YEL045C			protein_coding
SPT5_T15_R2_peak_73	III	137127	137587	+	106	NA	promoter-TSS (YCR011C)	protein_coding-promoter-TSS (YCR011C)	-389	YCR012W	YCR012W	YCR012W			PGK1			protein_coding
SPT5_T15_R2_peak_367	VIII	280215	281297	+	103	NA	promoter-TSS (YHR087W)	protein_coding-promoter-TSS (YHR087W)	-64	YHR087W	YHR087W	YHR087W			RTC3			protein_coding
SPT5_T15_R2_peak_251	V	396289	396614	+	103	NA	promoter-TSS (YER116C)	protein_coding-promoter-TSS (YER116C)	-279	YER116C	YER116C	YER116C			SLX8			protein_coding
SPT5_T15_R2_peak_482	XII	369957	371307	+	102	NA	promoter-TSS (YLR110C)	protein_coding-promoter-TSS (YLR110C)	-159	YLR112W	YLR112W	YLR112W			YLR112W			protein_coding
SPT5_T15_R2_peak_562	XIII	540149	540809	+	102	NA	promoter-TSS (YMR135C)	protein_coding-promoter-TSS (YMR135C)	-423	YMR135C	YMR135C	YMR135C			GID8			protein_coding
SPT5_T15_R2_peak_564	XIII	551325	551817	+	102	NA	promoter-TSS (YMR142C)	protein_coding-promoter-TSS (YMR142C)	-357	YMR143W	YMR143W	YMR143W			RPS16A			protein_coding
SPT5_T15_R2_peak_212	V	42085	42373	+	102	NA	promoter-TSS (YEL059W)	protein_coding-promoter-TSS (YEL059W)	-276	YEL060C	YEL060C	YEL060C			PRB1			protein_coding
SPT5_T15_R2_peak_407	X	391529	392146	+	102	NA	promoter-TSS (YJL026W)	protein_coding-promoter-TSS (YJL026W)	412	YJL027C	YJL027C	YJL027C			YJL027C			protein_coding
SPT5_T15_R2_peak_196	IX	249000	249815	+	101	NA	promoter-TSS (YIL056W)	protein_coding-promoter-TSS (YIL056W)	557	tS(UGA)I	tS(UGA)I	tS(UGA)I			SUP17			tRNA
SPT5_T15_R2_peak_759	XVI	731895	732163	+	101	NA	promoter-TSS (YPR102C)	protein_coding-promoter-TSS (YPR102C)	-281	YPR102C	YPR102C	YPR102C			RPL11A			protein_coding
SPT5_T15_R2_peak_494	XII	522191	522556	+	100	NA	promoter-TSS (YLR183C)	protein_coding-promoter-TSS (YLR183C)	267	YLR184W	YLR184W	YLR184W			YLR184W			protein_coding
SPT5_T15_R2_peak_552	XIII	352877	353469	+	100	NA	promoter-TSS (YMR043W)	protein_coding-promoter-TSS (YMR043W)	570	YMR042W	YMR042W	YMR042W			ARG80			protein_coding
SPT5_T15_R2_peak_674	XV	494344	494928	+	100	NA	promoter-TSS (YOR092W)	protein_coding-promoter-TSS (YOR092W)	-491	YOR092W	YOR092W	YOR092W			ECM3			protein_coding
SPT5_T15_R2_peak_89	IV	132642	133167	+	99	NA	promoter-TSS (YDL182W)	protein_coding-promoter-TSS (YDL182W)	-533	YDL182W	YDL182W	YDL182W			LYS20			protein_coding
SPT5_T15_R2_peak_634	XIV	663445	664098	+	99	NA	promoter-TSS (YNR018W)	protein_coding-promoter-TSS (YNR018W)	-499	YNR018W	YNR018W	YNR018W			RCF2			protein_coding
SPT5_T15_R2_peak_306	VII	428145	428355	+	99	NA	promoter-TSS (YGL036W)	protein_coding-promoter-TSS (YGL036W)	-303	YGL037C	YGL037C	YGL037C			PNC1			protein_coding
SPT5_T15_R2_peak_767	XVI	840696	840908	+	99	NA	promoter-TSS (YPR157W)	protein_coding-promoter-TSS (YPR157W)	-464	YPR157W	YPR157W	YPR157W			TDA6			protein_coding
SPT5_T15_R2_peak_254	V	442052	442483	+	99	NA	promoter-TSS (YER137C)	protein_coding-promoter-TSS (YER137C)	280	SCR1	SCR1	SCR1			SCR1			ncRNA
SPT5_T15_R2_peak_166	IV	1362350	1362648	+	99	NA	promoter-TSS (YDR451C)	protein_coding-promoter-TSS (YDR451C)	-318	YDR451C	YDR451C	YDR451C			YHP1			protein_coding
SPT5_T15_R2_peak_39	II	419319	420022	+	99	NA	promoter-TSS (YBR085C-A)	protein_coding-promoter-TSS (YBR085C-A)	-506	YBR085C-A	YBR085C-A	YBR085C-A			YBR085C-A			protein_coding
SPT5_T15_R2_peak_209	IX	439056	439802	+	99	NA	Intergenic	Intergenic	-1250	YIR044C	YIR044C	YIR044C			YIR044C			pseudogene
SPT5_T15_R2_peak_216	V	84801	85719	+	99	NA	promoter-TSS (YEL033W)	protein_coding-promoter-TSS (YEL033W)	285	YEL035C	YEL035C	YEL035C			UTR5			protein_coding
SPT5_T15_R2_peak_168	IV	1401345	1401622	+	99	NA	promoter-TSS (YDR470C)	protein_coding-promoter-TSS (YDR470C)	-269	YDR470C	YDR470C	YDR470C			UGO1			protein_coding
SPT5_T15_R2_peak_662	XV	391293	391975	+	99	NA	promoter-TSS (YOR032C)	protein_coding-promoter-TSS (YOR032C)	-542	YOR032W-A	YOR032W-A	YOR032W-A			YOR032W-A			protein_coding
SPT5_T15_R2_peak_554	XIII	388045	388597	+	99	NA	promoter-TSS (YMR056C)	protein_coding-promoter-TSS (YMR056C)	-77	YMR056C	YMR056C	YMR056C			AAC1			protein_coding
SPT5_T15_R2_peak_170	IV	1429102	1429453	+	99	NA	promoter-TSS (YDR487C)	protein_coding-promoter-TSS (YDR487C)	-297	YDR487C	YDR487C	YDR487C			RIB3			protein_coding
SPT5_T15_R2_peak_651	XV	231994	232719	+	99	NA	promoter-TSS (YOL052C-A)	protein_coding-promoter-TSS (YOL052C-A)	-601	YOL052C-A	YOL052C-A	YOL052C-A			DDR2			protein_coding
SPT5_T15_R2_peak_221	V	140508	141770	+	98	NA	promoter-TSS (YEL007W)	protein_coding-promoter-TSS (YEL007W)	-321	YEL008C-A	YEL008C-A	YEL008C-A			YEL008C-A			protein_coding
SPT5_T15_R2_peak_431	XI	99332	99996	+	97	NA	TTS (YKL183W)	protein_coding-TTS (YKL183W)	943	YKL183W	YKL183W	YKL183W			LOT5			protein_coding
SPT5_T15_R2_peak_163	IV	1345412	1345638	+	97	NA	promoter-TSS (YDR441C)	protein_coding-promoter-TSS (YDR441C)	-122	YDR442W	YDR442W	YDR442W			YDR442W			protein_coding
SPT5_T15_R2_peak_755	XVI	678456	679386	+	97	NA	promoter-TSS (YPR063C)	protein_coding-promoter-TSS (YPR063C)	-30	YPR064W	YPR064W	YPR064W			YPR064W			protein_coding
SPT5_T15_R2_peak_753	XVI	641193	641914	+	97	NA	promoter-TSS (YPR035W)	protein_coding-promoter-TSS (YPR035W)	-655	YPR035W	YPR035W	YPR035W			GLN1			protein_coding
SPT5_T15_R2_peak_505	XII	728295	728648	+	97	NA	promoter-TSS (YLR299C-A)	protein_coding-promoter-TSS (YLR299C-A)	-468	YLR299C-A	YLR299C-A	YLR299C-A			YLR299C-A			protein_coding
SPT5_T15_R2_peak_522	XII	954144	955220	+	97	NA	promoter-TSS (YLR414C)	protein_coding-promoter-TSS (YLR414C)	-85	YLR415C	YLR415C	YLR415C			YLR415C			protein_coding
SPT5_T15_R2_peak_729	XVI	281706	281923	+	97	NA	promoter-TSS (YPL143W)	protein_coding-promoter-TSS (YPL143W)	-297	snR17b	snR17b	snR17b			snR17b			snoRNA
SPT5_T15_R2_peak_309	VII	438539	438879	+	97	NA	promoter-TSS (YGL030W)	protein_coding-promoter-TSS (YGL030W)	-382	YGL030W	YGL030W	YGL030W			RPL30			protein_coding
SPT5_T15_R2_peak_229	V	222240	222764	+	96	NA	promoter-TSS (YER035W)	protein_coding-promoter-TSS (YER035W)	-137	YER035W	YER035W	YER035W			EDC2			protein_coding
SPT5_T15_R2_peak_608	XIV	335836	336163	+	96	NA	promoter-TSS (YNL160W)	protein_coding-promoter-TSS (YNL160W)	-546	YNL160W	YNL160W	YNL160W			YGP1			protein_coding
SPT5_T15_R2_peak_716	XVI	76365	76605	+	96	NA	promoter-TSS (YPL249C-A)	protein_coding-promoter-TSS (YPL249C-A)	-246	YPL249C-A	YPL249C-A	YPL249C-A			RPL36B			protein_coding
SPT5_T15_R2_peak_183	IX	68243	68599	+	93	NA	promoter-TSS (YIL148W)	protein_coding-promoter-TSS (YIL148W)	-287	YIL148W	YIL148W	YIL148W			RPL40A			protein_coding
SPT5_T15_R2_peak_745	XVI	497770	497951	+	92	NA	promoter-TSS (YPL028W)	protein_coding-promoter-TSS (YPL028W)	-236	YPL028W	YPL028W	YPL028W			ERG10			protein_coding
SPT5_T15_R2_peak_517	XII	877498	878154	+	92	NA	promoter-TSS (YLR378C)	protein_coding-promoter-TSS (YLR378C)	-456	YLR380W	YLR380W	YLR380W			CSR1			protein_coding
SPT5_T15_R2_peak_642	XV	82987	83616	+	92	NA	promoter-TSS (YOL125W)	protein_coding-promoter-TSS (YOL125W)	-381	YOL126C	YOL126C	YOL126C			MDH2			protein_coding
SPT5_T15_R2_peak_525	XII	1028371	1028683	+	92	NA	promoter-TSS (YLR447C)	protein_coding-promoter-TSS (YLR447C)	-327	YLR448W	YLR448W	YLR448W			RPL6B			protein_coding
SPT5_T15_R2_peak_614	XIV	427066	427485	+	92	NA	promoter-TSS (YNL103W)	protein_coding-promoter-TSS (YNL103W)	-460	YNL103W	YNL103W	YNL103W			MET4			protein_coding
SPT5_T15_R2_peak_420	X	662916	663631	+	92	NA	promoter-TSS (YJR127C)	protein_coding-promoter-TSS (YJR127C)	-214	YJR127C	YJR127C	YJR127C			RSF2			protein_coding
SPT5_T15_R2_peak_320	VII	591881	593162	+	92	NA	promoter-TSS (YGR050C)	protein_coding-promoter-TSS (YGR050C)	-79	YGR050C	YGR050C	YGR050C			YGR050C			protein_coding
SPT5_T15_R2_peak_416	X	609052	609276	+	92	NA	promoter-TSS (YJR095W)	protein_coding-promoter-TSS (YJR095W)	-609	YJR095W	YJR095W	YJR095W			SFC1			protein_coding
SPT5_T15_R2_peak_97	IV	239599	240131	+	90	NA	promoter-TSS (YDL124W)	protein_coding-promoter-TSS (YDL124W)	-259	YDL125C	YDL125C	YDL125C			HNT1			protein_coding
SPT5_T15_R2_peak_70	III	78276	78936	+	90	NA	promoter-TSS (YCL024W)	protein_coding-promoter-TSS (YCL024W)	-556	YCL024W	YCL024W	YCL024W			KCC4			protein_coding
SPT5_T15_R2_peak_64	II	770745	771163	+	89	NA	promoter-TSS (YBR283C)	protein_coding-promoter-TSS (YBR283C)	-285	YBR284W	YBR284W	YBR284W			YBR284W			protein_coding
SPT5_T15_R2_peak_756	XVI	695116	695537	+	89	NA	promoter-TSS (YPR074C)	protein_coding-promoter-TSS (YPR074C)	308	YPR074W-A	YPR074W-A	YPR074W-A			YPR074W-A			protein_coding
SPT5_T15_R2_peak_331	VII	739039	739802	+	89	NA	promoter-TSS (YGR124W)	protein_coding-promoter-TSS (YGR124W)	298	tI(AAU)G	tI(AAU)G	tI(AAU)G			tI(AAU)G			tRNA
SPT5_T15_R2_peak_503	XII	704054	705048	+	89	NA	promoter-TSS (YLR278C)	protein_coding-promoter-TSS (YLR278C)	242	YLR279W	YLR279W	YLR279W			YLR279W			protein_coding
SPT5_T15_R2_peak_772	XVI	927678	928213	+	89	NA	TTS (YPR195C)	protein_coding-TTS (YPR195C)	349	YPR195C	YPR195C	YPR195C			YPR195C			protein_coding
SPT5_T15_R2_peak_86	IV	76890	77212	+	89	NA	promoter-TSS (YDL214C)	protein_coding-promoter-TSS (YDL214C)	-506	YDL214C	YDL214C	YDL214C			PRR2			protein_coding
SPT5_T15_R2_peak_414	X	578238	578947	+	89	NA	promoter-TSS (YJR077C)	protein_coding-promoter-TSS (YJR077C)	-268	YJR078W	YJR078W	YJR078W			BNA2			protein_coding
SPT5_T15_R2_peak_128	IV	635978	636545	+	89	NA	promoter-TSS (YDR096W)	protein_coding-promoter-TSS (YDR096W)	266	YDR095C	YDR095C	YDR095C			YDR095C			protein_coding
SPT5_T15_R2_peak_600	XIV	198099	198870	+	89	NA	promoter-TSS (YNL241C)	protein_coding-promoter-TSS (YNL241C)	-541	YNL241C	YNL241C	YNL241C			ZWF1			protein_coding
SPT5_T15_R2_peak_237	V	284439	285072	+	89	NA	promoter-TSS (YER064C)	protein_coding-promoter-TSS (YER064C)	-533	YER064C	YER064C	YER064C			VHR2			protein_coding
SPT5_T15_R2_peak_637	XV	126	895	+	89	NA	promoter-TSS (YOL166W-A)	protein_coding-promoter-TSS (YOL166W-A)	-75	YOL166W-A	YOL166W-A	YOL166W-A			YOL166W-A			protein_coding
