PeakID (cmd=annotatePeaks.pl SPT5_T15_R1_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 2)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
SPT5_T15_R1_peak_36	II	378655	379017	+	141	NA	promoter-TSS (YBR069C)	protein_coding-promoter-TSS (YBR069C)	-403	YBR069C	YBR069C	YBR069C			TAT1			protein_coding
SPT5_T15_R1_peak_265	VII	428147	428387	+	141	NA	promoter-TSS (YGL036W)	protein_coding-promoter-TSS (YGL036W)	-320	YGL037C	YGL037C	YGL037C			PNC1			protein_coding
SPT5_T15_R1_peak_43	II	466151	467131	+	141	NA	promoter-TSS (YBR112C)	protein_coding-promoter-TSS (YBR112C)	-607	YBR114W	YBR114W	YBR114W			RAD16			protein_coding
SPT5_T15_R1_peak_299	VII	856478	857475	+	140	NA	promoter-TSS (YGR180C)	protein_coding-promoter-TSS (YGR180C)	515	tL(CAA)G3	tL(CAA)G3	tL(CAA)G3			tL(CAA)G3			tRNA
SPT5_T15_R1_peak_652	XV	987290	989630	+	140	NA	exon (YOR348C, exon 1 of 1)	protein_coding-exon (YOR348C, exon 1 of 1)	322	YOR348C	YOR348C	YOR348C			PUT4			protein_coding
SPT5_T15_R1_peak_328	VIII	236147	236549	+	138	NA	promoter-TSS (YHR071W)	protein_coding-promoter-TSS (YHR071W)	164	YHR070C-A	YHR070C-A	YHR070C-A			YHR070C-A			protein_coding
SPT5_T15_R1_peak_535	XIII	773677	774709	+	138	NA	promoter-TSS (YMR251W-A)	protein_coding-promoter-TSS (YMR251W-A)	-559	YMR251W-A	YMR251W-A	YMR251W-A			HOR7			protein_coding
SPT5_T15_R1_peak_486	XII	1028482	1028710	+	136	NA	promoter-TSS (YLR447C)	protein_coding-promoter-TSS (YLR447C)	-258	YLR448W	YLR448W	YLR448W			RPL6B			protein_coding
SPT5_T15_R1_peak_68	III	137131	137473	+	134	NA	promoter-TSS (YCR011C)	protein_coding-promoter-TSS (YCR011C)	-429	YCR011C	YCR011C	YCR011C			ADP1			protein_coding
SPT5_T15_R1_peak_438	XII	253171	253654	+	134	NA	promoter-TSS (YLR055C)	protein_coding-promoter-TSS (YLR055C)	-332	YLR055C	YLR055C	YLR055C			SPT8			protein_coding
SPT5_T15_R1_peak_409	XI	321768	322979	+	133	NA	promoter-TSS (YKL062W)	protein_coding-promoter-TSS (YKL062W)	-855	YKL063C	YKL063C	YKL063C			YKL063C			protein_coding
SPT5_T15_R1_peak_627	XV	670879	671422	+	133	NA	promoter-TSS (YOR178C)	protein_coding-promoter-TSS (YOR178C)	-909	YOR178C	YOR178C	YOR178C			GAC1			protein_coding
SPT5_T15_R1_peak_115	IV	721747	722053	+	132	NA	promoter-TSS (YDR133C)	protein_coding-promoter-TSS (YDR133C)	-419	YDR134C	YDR134C	YDR134C			YDR134C			pseudogene
SPT5_T15_R1_peak_236	VI	183072	183359	+	131	NA	promoter-TSS (YFR017C)	protein_coding-promoter-TSS (YFR017C)	-354	YFR017C	YFR017C	YFR017C			IGD1			protein_coding
SPT5_T15_R1_peak_350	X	90163	90638	+	130	NA	promoter-TSS (YJL177W)	protein_coding-promoter-TSS (YJL177W)	-303	YJL178C	YJL178C	YJL178C			ATG27			protein_coding
SPT5_T15_R1_peak_603	XV	253805	254127	+	130	NA	promoter-TSS (YOL039W)	protein_coding-promoter-TSS (YOL039W)	-331	YOL039W	YOL039W	YOL039W			RPP2A			protein_coding
SPT5_T15_R1_peak_24	II	193561	193902	+	130	NA	promoter-TSS (YBL015W)	protein_coding-promoter-TSS (YBL015W)	-391	YBL015W	YBL015W	YBL015W			ACH1			protein_coding
SPT5_T15_R1_peak_307	VII	974221	974824	+	130	NA	promoter-TSS (YGR240C)	protein_coding-promoter-TSS (YGR240C)	255	YGR240C-A	YGR240C-A	YGR240C-A			YGR240C-A			protein_coding
SPT5_T15_R1_peak_585	XIV	739091	739758	+	130	NA	promoter-TSS (YNR060W)	protein_coding-promoter-TSS (YNR060W)	-527	YNR060W	YNR060W	YNR060W			FRE4			protein_coding
SPT5_T15_R1_peak_169	IX	232472	232893	+	130	NA	promoter-TSS (YIL068W-A)	protein_coding-promoter-TSS (YIL068W-A)	-313	YIL069C	YIL069C	YIL069C			RPS24B			protein_coding
SPT5_T15_R1_peak_634	XV	779563	780072	+	130	NA	promoter-TSS (YOR234C)	protein_coding-promoter-TSS (YOR234C)	-53	YOR235W	YOR235W	YOR235W			IRC13			protein_coding
SPT5_T15_R1_peak_5	I	68087	68913	+	130	NA	promoter-TSS (YAL040C)	protein_coding-promoter-TSS (YAL040C)	-980	YAL040C	YAL040C	YAL040C			CLN3			protein_coding
SPT5_T15_R1_peak_613	XV	443309	444184	+	130	NA	promoter-TSS (YOR062C)	protein_coding-promoter-TSS (YOR062C)	-215	YOR062C	YOR062C	YOR062C			YOR062C			protein_coding
SPT5_T15_R1_peak_688	XVI	455028	455340	+	130	NA	promoter-TSS (YPL054W)	protein_coding-promoter-TSS (YPL054W)	-194	YPL055C	YPL055C	YPL055C			LGE1			protein_coding
SPT5_T15_R1_peak_303	VII	905019	905790	+	127	NA	promoter-TSS (YGR202C)	protein_coding-promoter-TSS (YGR202C)	167	YGR203W	YGR203W	YGR203W			YCH1			protein_coding
SPT5_T15_R1_peak_279	VII	609227	610314	+	127	NA	promoter-TSS (YGR060W)	protein_coding-promoter-TSS (YGR060W)	186	snR48	snR48	snR48			snR48			snoRNA
SPT5_T15_R1_peak_582	XIV	651912	652325	+	125	NA	promoter-TSS (YNR013C)	protein_coding-promoter-TSS (YNR013C)	-347	YNR014W	YNR014W	YNR014W			YNR014W			protein_coding
SPT5_T15_R1_peak_171	IX	254142	254862	+	124	NA	promoter-TSS (YIL053W)	protein_coding-promoter-TSS (YIL053W)	-41	YIL054W	YIL054W	YIL054W			YIL054W			protein_coding
SPT5_T15_R1_peak_394	XI	99464	100094	+	123	NA	promoter-TSS (YKL182W)	protein_coding-promoter-TSS (YKL182W)	-892	YKL182W	YKL182W	YKL182W			FAS1			protein_coding
SPT5_T15_R1_peak_569	XIV	426985	427478	+	123	NA	promoter-TSS (YNL103W)	protein_coding-promoter-TSS (YNL103W)	-477	YNL104C	YNL104C	YNL104C			LEU4			protein_coding
SPT5_T15_R1_peak_676	XVI	339444	339996	+	123	NA	promoter-TSS (YPL111W)	protein_coding-promoter-TSS (YPL111W)	-224	YPL111W	YPL111W	YPL111W			CAR1			protein_coding
SPT5_T15_R1_peak_257	VII	271018	272242	+	122	NA	promoter-TSS (YGL125W)	protein_coding-promoter-TSS (YGL125W)	633	YGL126W	YGL126W	YGL126W			SCS3			protein_coding
SPT5_T15_R1_peak_309	VII	986838	987747	+	122	NA	promoter-TSS (YGR249W)	protein_coding-promoter-TSS (YGR249W)	-757	YGR249W	YGR249W	YGR249W			MGA1			protein_coding
SPT5_T15_R1_peak_683	XVI	425263	425680	+	122	NA	promoter-TSS (YPL066W)	protein_coding-promoter-TSS (YPL066W)	-375	YPL068C	YPL068C	YPL068C			YPL068C			protein_coding
SPT5_T15_R1_peak_75	IV	61620	62630	+	120	NA	promoter-TSS (YDL222C)	protein_coding-promoter-TSS (YDL222C)	114	YDL221W	YDL221W	YDL221W			YDL221W			protein_coding
SPT5_T15_R1_peak_516	XIII	408077	408870	+	120	NA	promoter-TSS (YMR070W)	protein_coding-promoter-TSS (YMR070W)	-681	YMR070W	YMR070W	YMR070W			MOT3			protein_coding
SPT5_T15_R1_peak_204	V	284452	284996	+	120	NA	promoter-TSS (YER064C)	protein_coding-promoter-TSS (YER064C)	-502	YER064C	YER064C	YER064C			VHR2			protein_coding
SPT5_T15_R1_peak_235	VI	176625	177059	+	120	NA	promoter-TSS (YFR015C)	protein_coding-promoter-TSS (YFR015C)	-451	YFR015C	YFR015C	YFR015C			GSY1			protein_coding
SPT5_T15_R1_peak_637	XV	825169	826198	+	119	NA	promoter-TSS (YOR267C)	protein_coding-promoter-TSS (YOR267C)	249	YOR268C	YOR268C	YOR268C			YOR268C			protein_coding
SPT5_T15_R1_peak_639	XV	866666	866929	+	119	NA	promoter-TSS (YOR292C)	protein_coding-promoter-TSS (YOR292C)	-215	YOR292C	YOR292C	YOR292C			YOR292C			protein_coding
SPT5_T15_R1_peak_294	VII	774276	774760	+	119	NA	promoter-TSS (YGR143W)	protein_coding-promoter-TSS (YGR143W)	169	tA(AGC)G	tA(AGC)G	tA(AGC)G			tA(AGC)G			tRNA
SPT5_T15_R1_peak_450	XII	489428	489968	+	119	NA	promoter-TSS (YLR162W-A)	protein_coding-promoter-TSS (YLR162W-A)	125	YLR162W	YLR162W	YLR162W			YLR162W			protein_coding
SPT5_T15_R1_peak_674	XVI	281701	282090	+	119	NA	promoter-TSS (YPL143W)	protein_coding-promoter-TSS (YPL143W)	-227	YPL143W	YPL143W	YPL143W			RPL33A			protein_coding
SPT5_T15_R1_peak_162	IX	138231	138943	+	119	NA	promoter-TSS (YIL119C)	protein_coding-promoter-TSS (YIL119C)	-710	YIL119C	YIL119C	YIL119C			RPI1			protein_coding
SPT5_T15_R1_peak_110	IV	591626	592278	+	119	NA	promoter-TSS (YDR072C)	protein_coding-promoter-TSS (YDR072C)	-487	YDR073W	YDR073W	YDR073W			SNF11			protein_coding
SPT5_T15_R1_peak_240	VI	224701	225510	+	119	NA	promoter-TSS (YFR033C)	protein_coding-promoter-TSS (YFR033C)	-336	YFR033C	YFR033C	YFR033C			QCR6			protein_coding
SPT5_T15_R1_peak_108	IV	550773	551608	+	118	NA	promoter-TSS (YDR046C)	protein_coding-promoter-TSS (YDR046C)	-614	YDR046C	YDR046C	YDR046C			BAP3			protein_coding
SPT5_T15_R1_peak_416	XI	385157	385620	+	116	NA	promoter-TSS (YKL028W)	protein_coding-promoter-TSS (YKL028W)	-370	YKL028W	YKL028W	YKL028W			TFA1			protein_coding
SPT5_T15_R1_peak_221	V	467631	468213	+	115	NA	promoter-TSS (YER149C)	protein_coding-promoter-TSS (YER149C)	-448	YER150W	YER150W	YER150W			SPI1			protein_coding
SPT5_T15_R1_peak_282	VII	653976	654729	+	114	NA	promoter-TSS (YGR088W)	protein_coding-promoter-TSS (YGR088W)	-282	YGR088W	YGR088W	YGR088W			CTT1			protein_coding
SPT5_T15_R1_peak_507	XIII	282842	283470	+	114	NA	promoter-TSS (YMR008C)	protein_coding-promoter-TSS (YMR008C)	-572	YMR008C	YMR008C	YMR008C			PLB1			protein_coding
SPT5_T15_R1_peak_593	XV	83022	83405	+	114	NA	promoter-TSS (YOL125W)	protein_coding-promoter-TSS (YOL125W)	-293	YOL126C	YOL126C	YOL126C			MDH2			protein_coding
SPT5_T15_R1_peak_517	XIII	431575	431946	+	114	NA	promoter-TSS (YMR081C)	protein_coding-promoter-TSS (YMR081C)	365	YMR082C	YMR082C	YMR082C			YMR082C			protein_coding
SPT5_T15_R1_peak_185	V	68904	69678	+	113	NA	promoter-TSS (YEL044W)	protein_coding-promoter-TSS (YEL044W)	-26	YEL045C	YEL045C	YEL045C			YEL045C			protein_coding
SPT5_T15_R1_peak_510	XIII	306095	306918	+	113	NA	promoter-TSS (YMR016C)	protein_coding-promoter-TSS (YMR016C)	-913	YMR016C	YMR016C	YMR016C			SOK2			protein_coding
SPT5_T15_R1_peak_388	XI	67866	69120	+	113	NA	exon (YKL198C, exon 1 of 1)	protein_coding-exon (YKL198C, exon 1 of 1)	-1027	YKL201C	YKL201C	YKL201C			MNN4			protein_coding
SPT5_T15_R1_peak_39	II	415316	415732	+	113	NA	promoter-TSS (YBR084C-A)	protein_coding-promoter-TSS (YBR084C-A)	-263	YBR084C-A	YBR084C-A	YBR084C-A			RPL19A			protein_coding
SPT5_T15_R1_peak_563	XIV	335786	336174	+	112	NA	promoter-TSS (YNL160W)	protein_coding-promoter-TSS (YNL160W)	-565	YNL160W	YNL160W	YNL160W			YGP1			protein_coding
SPT5_T15_R1_peak_207	V	303356	303814	+	112	NA	promoter-TSS (YER073W)	protein_coding-promoter-TSS (YER073W)	-445	YER073W	YER073W	YER073W			ALD5			protein_coding
SPT5_T15_R1_peak_706	XVI	822091	822508	+	112	NA	promoter-TSS (YPR144C)	protein_coding-promoter-TSS (YPR144C)	-321	YPR145W	YPR145W	YPR145W			ASN1			protein_coding
SPT5_T15_R1_peak_707	XVI	828726	829601	+	112	NA	promoter-TSS (YPR149W)	protein_coding-promoter-TSS (YPR149W)	-755	YPR149W	YPR149W	YPR149W			NCE102			protein_coding
SPT5_T15_R1_peak_266	VII	433295	433573	+	112	NA	promoter-TSS (YGL035C)	protein_coding-promoter-TSS (YGL035C)	145	YGL034C	YGL034C	YGL034C			YGL034C			protein_coding
SPT5_T15_R1_peak_686	XVI	450824	451396	+	111	NA	promoter-TSS (YPL058C)	protein_coding-promoter-TSS (YPL058C)	-733	YPL058C	YPL058C	YPL058C			PDR12			protein_coding
SPT5_T15_R1_peak_297	VII	809674	810122	+	110	NA	promoter-TSS (YGR161C)	protein_coding-promoter-TSS (YGR161C)	-329	YGR161W-C	YGR161W-C	YGR161W-C			YGR161W-C			protein_coding
SPT5_T15_R1_peak_28	II	269707	270138	+	110	NA	promoter-TSS (YBR015C)	protein_coding-promoter-TSS (YBR015C)	-325	YBR016W	YBR016W	YBR016W			YBR016W			protein_coding
SPT5_T15_R1_peak_382	X	703210	704219	+	109	NA	promoter-TSS (YJR145C)	protein_coding-promoter-TSS (YJR145C)	-171	YJR146W	YJR146W	YJR146W			YJR146W			protein_coding
SPT5_T15_R1_peak_129	IV	976258	976938	+	108	NA	promoter-TSS (YDR259C)	protein_coding-promoter-TSS (YDR259C)	631	YDR260C	YDR260C	YDR260C			SWM1			protein_coding
SPT5_T15_R1_peak_138	IV	1164847	1165420	+	108	NA	promoter-TSS (YDR345C)	protein_coding-promoter-TSS (YDR345C)	-473	YDR345C	YDR345C	YDR345C			HXT3			protein_coding
SPT5_T15_R1_peak_478	XII	921518	922406	+	108	NA	promoter-TSS (YLR399C)	protein_coding-promoter-TSS (YLR399C)	-101	YLR400W	YLR400W	YLR400W			YLR400W			protein_coding
SPT5_T15_R1_peak_558	XIV	281469	281964	+	108	NA	promoter-TSS (YNL190W)	protein_coding-promoter-TSS (YNL190W)	-679	YNL190W	YNL190W	YNL190W			YNL190W			protein_coding
SPT5_T15_R1_peak_537	XIII	798012	798221	+	108	NA	promoter-TSS (YMR265C)	protein_coding-promoter-TSS (YMR265C)	-191	YMR265C	YMR265C	YMR265C			YMR265C			protein_coding
SPT5_T15_R1_peak_111	IV	593317	593828	+	108	NA	promoter-TSS (YDR074W)	protein_coding-promoter-TSS (YDR074W)	-321	YDR074W	YDR074W	YDR074W			TPS2			protein_coding
SPT5_T15_R1_peak_622	XV	520443	520879	+	108	NA	promoter-TSS (YOR107W)	protein_coding-promoter-TSS (YOR107W)	-692	YOR107W	YOR107W	YOR107W			RGS2			protein_coding
SPT5_T15_R1_peak_692	XVI	526856	527325	+	108	NA	promoter-TSS (YPL014W)	protein_coding-promoter-TSS (YPL014W)	-207	YPL015C	YPL015C	YPL015C			HST2			protein_coding
SPT5_T15_R1_peak_101	IV	465112	465664	+	108	NA	promoter-TSS (YDR010C)	protein_coding-promoter-TSS (YDR010C)	-5	YDR010C	YDR010C	YDR010C			YDR010C			protein_coding
SPT5_T15_R1_peak_619	XV	505175	505648	+	108	NA	promoter-TSS (YOR096W)	protein_coding-promoter-TSS (YOR096W)	-383	YOR096W	YOR096W	YOR096W			RPS7A			protein_coding
SPT5_T15_R1_peak_187	V	84906	85600	+	108	NA	promoter-TSS (YEL033W)	protein_coding-promoter-TSS (YEL033W)	292	YEL035C	YEL035C	YEL035C			UTR5			protein_coding
SPT5_T15_R1_peak_47	II	554789	556026	+	108	NA	Intergenic	Intergenic	-1097	YBR157C	YBR157C	YBR157C			ICS2			protein_coding
SPT5_T15_R1_peak_413	XI	369046	369722	+	108	NA	promoter-TSS (YKL035W)	protein_coding-promoter-TSS (YKL035W)	19	YKL037W	YKL037W	YKL037W			AIM26			protein_coding
SPT5_T15_R1_peak_370	X	360496	361052	+	107	NA	promoter-TSS (YJL042W)	protein_coding-promoter-TSS (YJL042W)	-475	YJL042W	YJL042W	YJL042W			MHP1			protein_coding
SPT5_T15_R1_peak_211	V	335134	335990	+	107	NA	promoter-TSS (YER088C)	protein_coding-promoter-TSS (YER088C)	-365	YER088W-B	YER088W-B	YER088W-B			YER088W-B			protein_coding
SPT5_T15_R1_peak_530	XIII	661709	662270	+	107	NA	promoter-TSS (YMR199W)	protein_coding-promoter-TSS (YMR199W)	-655	YMR199W	YMR199W	YMR199W			CLN1			protein_coding
SPT5_T15_R1_peak_359	X	220306	220793	+	106	NA	promoter-TSS (YJL106W)	protein_coding-promoter-TSS (YJL106W)	-533	YJL107C	YJL107C	YJL107C			YJL107C			protein_coding
