PeakID (cmd=annotatePeaks.pl SPT5_T0_R2_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 2)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
SPT5_T0_R2_peak_275	VIII	236163	236538	+	113	NA	promoter-TSS (YHR071W)	protein_coding-promoter-TSS (YHR071W)	162	YHR070C-A	YHR070C-A	YHR070C-A			YHR070C-A			protein_coding
SPT5_T0_R2_peak_148	IX	383813	384517	+	112	NA	promoter-TSS (YIR017C)	protein_coding-promoter-TSS (YIR017C)	-46	YIR017C	YIR017C	YIR017C			MET28			protein_coding
SPT5_T0_R2_peak_281	VIII	450763	451378	+	110	NA	promoter-TSS (YHR173C)	protein_coding-promoter-TSS (YHR173C)	83	YHR173C	YHR173C	YHR173C			YHR173C			protein_coding
SPT5_T0_R2_peak_401	XII	1028328	1028888	+	109	NA	promoter-TSS (YLR447C)	protein_coding-promoter-TSS (YLR447C)	-246	YLR448W	YLR448W	YLR448W			RPL6B			protein_coding
SPT5_T0_R2_peak_182	V	354938	355329	+	108	NA	promoter-TSS (YER097W)	protein_coding-promoter-TSS (YER097W)	-7	YER097W	YER097W	YER097W			YER097W			protein_coding
SPT5_T0_R2_peak_140	IX	248781	249868	+	108	NA	promoter-TSS (YIL056W)	protein_coding-promoter-TSS (YIL056W)	474	tS(UGA)I	tS(UGA)I	tS(UGA)I			SUP17			tRNA
SPT5_T0_R2_peak_412	XIII	146092	146362	+	108	NA	promoter-TSS (YML063W)	protein_coding-promoter-TSS (YML063W)	-255	YML063W	YML063W	YML063W			RPS1B			protein_coding
SPT5_T0_R2_peak_540	XVI	74932	75548	+	106	NA	promoter-TSS (YPL250C)	protein_coding-promoter-TSS (YPL250C)	-462	YPL250W-A	YPL250W-A	YPL250W-A			YPL250W-A			protein_coding
SPT5_T0_R2_peak_135	IX	138342	139497	+	105	NA	promoter-TSS (YIL118W)	protein_coding-promoter-TSS (YIL118W)	-833	YIL118W	YIL118W	YIL118W			RHO3			protein_coding
SPT5_T0_R2_peak_273	VIII	148791	149120	+	105	NA	promoter-TSS (YHR021C)	protein_coding-promoter-TSS (YHR021C)	-270	YHR021W-A	YHR021W-A	YHR021W-A			ECM12			protein_coding
SPT5_T0_R2_peak_447	XIII	914892	915697	+	105	NA	promoter-TSS (YMR319C)	protein_coding-promoter-TSS (YMR319C)	-756	YMR319C	YMR319C	YMR319C			FET4			protein_coding
SPT5_T0_R2_peak_558	XVI	699984	700462	+	105	NA	promoter-TSS (YPR080W)	protein_coding-promoter-TSS (YPR080W)	-371	YPR080W	YPR080W	YPR080W			TEF1			protein_coding
SPT5_T0_R2_peak_104	IV	599859	600951	+	105	NA	promoter-TSS (YDR077W)	protein_coding-promoter-TSS (YDR077W)	-388	YDR077W	YDR077W	YDR077W			SED1			protein_coding
SPT5_T0_R2_peak_368	XII	490594	491014	+	105	NA	TTS (YLR162W)	protein_coding-TTS (YLR162W)	398	YLR162W-A	YLR162W-A	YLR162W-A			RRT15			protein_coding
SPT5_T0_R2_peak_64	III	137123	137867	+	103	NA	promoter-TSS (YCR011C)	protein_coding-promoter-TSS (YCR011C)	-251	YCR012W	YCR012W	YCR012W			PGK1			protein_coding
SPT5_T0_R2_peak_2	I	45352	45821	+	103	NA	promoter-TSS (YAL053W)	protein_coding-promoter-TSS (YAL053W)	-313	YAL053W	YAL053W	YAL053W			FLC2			protein_coding
SPT5_T0_R2_peak_223	VII	384668	384993	+	103	NA	promoter-TSS (YGL062W)	protein_coding-promoter-TSS (YGL062W)	-179	YGL063C-A	YGL063C-A	YGL063C-A			YGL063C-A			protein_coding
SPT5_T0_R2_peak_541	XVI	76361	76600	+	103	NA	promoter-TSS (YPL249C-A)	protein_coding-promoter-TSS (YPL249C-A)	-241	YPL249C-A	YPL249C-A	YPL249C-A			RPL36B			protein_coding
SPT5_T0_R2_peak_118	IV	1164876	1165409	+	102	NA	promoter-TSS (YDR345C)	protein_coding-promoter-TSS (YDR345C)	-482	YDR345C	YDR345C	YDR345C			HXT3			protein_coding
SPT5_T0_R2_peak_102	IV	556620	556930	+	101	NA	promoter-TSS (YDR050C)	protein_coding-promoter-TSS (YDR050C)	-303	YDR050C	YDR050C	YDR050C			TPI1			protein_coding
SPT5_T0_R2_peak_10	I	190007	190753	+	101	NA	exon (YAR035W, exon 1 of 1)	protein_coding-exon (YAR035W, exon 1 of 1)	187	YAR035W	YAR035W	YAR035W			YAT1			protein_coding
SPT5_T0_R2_peak_527	XV	911930	912577	+	101	NA	promoter-TSS (YOR319W)	protein_coding-promoter-TSS (YOR319W)	183	YOR318C	YOR318C	YOR318C			YOR318C			protein_coding
SPT5_T0_R2_peak_520	XV	836797	837244	+	100	NA	promoter-TSS (YOR273C)	protein_coding-promoter-TSS (YOR273C)	-589	YOR273C	YOR273C	YOR273C			TPO4			protein_coding
SPT5_T0_R2_peak_470	XIV	559260	559583	+	99	NA	promoter-TSS (YNL036W)	protein_coding-promoter-TSS (YNL036W)	-393	YNL036W	YNL036W	YNL036W			NCE103			protein_coding
SPT5_T0_R2_peak_289	X	74901	75804	+	99	NA	promoter-TSS (YJL189W)	protein_coding-promoter-TSS (YJL189W)	-50	YJL190C	YJL190C	YJL190C			RPS22A			protein_coding
SPT5_T0_R2_peak_303	X	294374	295071	+	99	NA	promoter-TSS (YJL076W)	protein_coding-promoter-TSS (YJL076W)	-77	YJL077W-A	YJL077W-A	YJL077W-A			YJL077W-A			protein_coding
SPT5_T0_R2_peak_21	II	135799	136265	+	97	NA	promoter-TSS (YBL043W)	protein_coding-promoter-TSS (YBL043W)	34	YBL044W	YBL044W	YBL044W			YBL044W			protein_coding
SPT5_T0_R2_peak_435	XIII	556831	557425	+	97	NA	promoter-TSS (YMR145C)	protein_coding-promoter-TSS (YMR145C)	-653	YMR145C	YMR145C	YMR145C			NDE1			protein_coding
SPT5_T0_R2_peak_314	X	638559	639611	+	97	NA	promoter-TSS (YJR113C)	protein_coding-promoter-TSS (YJR113C)	-110	YJR113C	YJR113C	YJR113C			RSM7			protein_coding
SPT5_T0_R2_peak_139	IX	232450	232907	+	97	NA	promoter-TSS (YIL068W-A)	protein_coding-promoter-TSS (YIL068W-A)	-309	YIL069C	YIL069C	YIL069C			RPS24B			protein_coding
SPT5_T0_R2_peak_136	IX	166007	166294	+	97	NA	promoter-TSS (YIL106W)	protein_coding-promoter-TSS (YIL106W)	-265	YIL106W	YIL106W	YIL106W			MOB1			protein_coding
SPT5_T0_R2_peak_335	XI	258423	258847	+	96	NA	promoter-TSS (YKL096W-A)	protein_coding-promoter-TSS (YKL096W-A)	278	YKL097C	YKL097C	YKL097C			YKL097C			protein_coding
SPT5_T0_R2_peak_175	V	270269	270568	+	95	NA	promoter-TSS (YER056C-A)	protein_coding-promoter-TSS (YER056C-A)	-233	YER056C-A	YER056C-A	YER056C-A			RPL34A			protein_coding
SPT5_T0_R2_peak_265	VIII	4973	5271	+	95	NA	promoter-TSS (YHL049C)	protein_coding-promoter-TSS (YHL049C)	-581	YHL049C	YHL049C	YHL049C			YHL049C			protein_coding
SPT5_T0_R2_peak_549	XVI	425280	425999	+	95	NA	promoter-TSS (YPL066W)	protein_coding-promoter-TSS (YPL066W)	208	YPL067C	YPL067C	YPL067C			YPL067C			protein_coding
SPT5_T0_R2_peak_58	III	68541	68770	+	95	NA	promoter-TSS (YCL030C)	protein_coding-promoter-TSS (YCL030C)	-322	YCL030C	YCL030C	YCL030C			HIS4			protein_coding
SPT5_T0_R2_peak_178	V	303281	303808	+	94	NA	promoter-TSS (YER073W)	protein_coding-promoter-TSS (YER073W)	-486	YER073W	YER073W	YER073W			ALD5			protein_coding
SPT5_T0_R2_peak_534	XV	1084226	1084483	+	93	NA	promoter-TSS (YOR394C-A)	protein_coding-promoter-TSS (YOR394C-A)	15	YOR394C-A	YOR394C-A	YOR394C-A			YOR394C-A			protein_coding
SPT5_T0_R2_peak_538	XVI	55978	56517	+	93	NA	promoter-TSS (YPL257W-A)	protein_coding-promoter-TSS (YPL257W-A)	27	tW(CCA)P	tW(CCA)P	tW(CCA)P			tW(CCA)P			tRNA
SPT5_T0_R2_peak_125	IV	1401337	1401670	+	93	NA	promoter-TSS (YDR470C)	protein_coding-promoter-TSS (YDR470C)	-267	YDR471W	YDR471W	YDR471W			RPL27B			protein_coding
SPT5_T0_R2_peak_322	XI	67562	68537	+	93	NA	promoter-TSS (YKL201C)	protein_coding-promoter-TSS (YKL201C)	-583	YKL201C	YKL201C	YKL201C			MNN4			protein_coding
SPT5_T0_R2_peak_293	X	119928	121667	+	92	NA	exon (YJL159W, exon 1 of 1)	protein_coding-exon (YJL159W, exon 1 of 1)	348	YJL159W	YJL159W	YJL159W			HSP150			protein_coding
SPT5_T0_R2_peak_146	IX	338272	339297	+	90	NA	promoter-TSS (YIL009W)	protein_coding-promoter-TSS (YIL009W)	-560	YIL009W	YIL009W	YIL009W			FAA3			protein_coding
SPT5_T0_R2_peak_349	XI	614121	615158	+	90	NA	promoter-TSS (YKR092C)	protein_coding-promoter-TSS (YKR092C)	-754	YKR092C	YKR092C	YKR092C			SRP40			protein_coding
SPT5_T0_R2_peak_36	II	392380	392727	+	90	NA	promoter-TSS (YBR076C-A)	protein_coding-promoter-TSS (YBR076C-A)	-260	YBR077C	YBR077C	YBR077C			SLM4			protein_coding
