# HOMER Peaks
# Peak finding parameters:
# tag directory = SPT5_T0_R2_Tagdir
#
# total peaks = 422
# peak size = 79
# peaks found using tags on both strands
# minimum distance between peaks = 158
# fragment length = 78
# genome size = 12131786
# Total tags = 42414.5
# Total tags in peaks = 4384.5
# Approximate IP efficiency = 10.34%
# tags per bp = 0.003419
# expected tags per peak = 0.270
# maximum tags considered per bp = 1.0
# effective number of tags used for normalization = 10000000.0
# Peaks have been centered at maximum tag pile-up
# FDR rate threshold = 0.001000000
# FDR effective poisson threshold = 4.281945e-07
# FDR tag threshold = 6.0
# number of putative peaks = 501
#
# input tag directory = SPT5_T0_R2_controlTagdir
# Fold over input required = 4.00
# Poisson p-value over input required = 1.00e-04
# Putative peaks filtered by input = 47
#
# size of region used for local filtering = 10000
# Fold over local region required = 4.00
# Poisson p-value over local region required = 1.00e-04
# Putative peaks filtered by local signal = 32
#
# Maximum fold under expected unique positions for tags = 2.00
# Putative peaks filtered for being too clonal = 0
#
# cmd = findPeaks SPT5_T0_R2_Tagdir -style factor -i SPT5_T0_R2_controlTagdir -o SPT5_T0_R2_homer_narrowPeak.txt
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	focus ratio	findPeaks Score	Total Tags	Control Tags (normalized to IP Experiment)	Fold Change vs Control	p-value vs Control	Fold Change vs Local	p-value vs Local	Clonal Fold Change
XIII-2	XIII	923807	923885	+	3182.9	0.667	13.500000	13.5	0.2	54.51	1.65e-18	28.49	6.06e-15	0.89
XVI-1	XVI	76391	76469	+	3182.9	0.762	13.500000	13.5	0.2	54.51	1.65e-18	24.75	3.52e-14	0.89
XII-12	XII	1028643	1028721	+	3065.0	0.640	14.000000	13.0	0.2	52.49	1.65e-18	33.66	4.64e-16	0.93
XIII-1	XIII	924152	924230	+	3065.0	0.559	14.000000	13.0	0.2	52.49	1.65e-18	27.21	6.73e-15	0.93
III-1	III	405	483	+	2947.1	0.600	15.000000	12.5	0.5	25.24	2.77e-13	22.59	9.91e-13	0.93
IX-4	IX	439324	439402	+	2947.1	0.850	12.500000	12.5	0.2	50.47	8.68e-17	20.26	3.44e-12	0.90
V-7	V	442102	442180	+	2947.1	0.622	12.500000	12.5	0.5	25.24	2.77e-13	20.52	2.96e-12	0.90
VI-5	VI	183171	183249	+	2947.1	0.750	12.500000	12.5	0.2	50.47	8.68e-17	26.83	1.37e-13	0.90
VII-4	VII	271435	271513	+	2947.1	0.737	12.500000	12.5	0.2	50.47	8.68e-17	20.65	2.75e-12	0.90
VII-3	VII	272027	272105	+	2947.1	0.549	14.000000	12.5	0.5	25.24	2.77e-13	20.00	3.98e-12	0.90
XI-3	XI	194	272	+	2947.1	0.580	13.500000	12.5	0.5	25.24	2.77e-13	27.40	6.71e-14	0.93
XII-11	XII	11361	11439	+	2947.1	0.653	14.000000	12.5	0.2	50.47	8.68e-17	27.07	1.24e-13	0.90
I-4	I	408	486	+	2829.2	0.642	14.000000	13.0	0.2	52.49	1.65e-18	23.18	4.60e-13	0.93
II-1	II	168149	168227	+	2829.2	0.694	12.500000	12.0	0.2	48.45	8.68e-17	16.29	2.55e-11	0.93
IV-2	IV	1490313	1490391	+	2829.2	0.683	12.000000	12.0	0.2	48.45	8.68e-17	12.88	3.52e-10	0.93
V-6	V	85275	85353	+	2829.2	0.659	12.500000	12.5	0.2	50.47	8.68e-17	21.23	1.26e-12	0.93
X-3	X	703275	703353	+	2829.2	0.612	11.500000	12.0	0.2	48.45	8.68e-17	17.12	1.45e-11	0.97
XII-13	XII	1071609	1071687	+	2829.2	0.781	12.000000	12.0	0.5	24.23	2.77e-13	107.64	6.88e-21	0.93
XV-2	XV	866823	866901	+	2829.2	0.620	13.000000	12.0	0.2	48.45	8.68e-17	40.68	1.74e-14	0.90
IX-6	IX	257297	257375	+	2711.3	0.800	11.500000	11.5	0.2	46.44	4.20e-15	13.43	1.92e-09	0.90
V-10	V	355030	355108	+	2711.3	0.692	11.000000	11.5	0.2	46.44	4.20e-15	33.98	1.19e-13	0.94
V-9	V	569914	569992	+	2711.3	0.750	11.500000	11.5	0.2	46.44	4.20e-15	21.25	1.07e-11	0.94
X-1	X	703718	703796	+	2711.3	0.600	12.500000	11.5	0.5	23.22	6.72e-12	15.70	2.49e-10	0.94
X-2	X	745439	745517	+	2711.3	0.714	12.000000	11.5	0.7	15.48	4.54e-10	47.35	3.41e-15	0.90
XI-5	XI	666169	666247	+	2711.3	0.771	12.000000	11.5	0.2	46.44	4.20e-15	16.14	2.96e-10	0.94
XIV-1	XIV	6775	6853	+	2711.3	0.625	12.500000	11.5	0.2	46.44	4.20e-15	25.12	1.84e-12	0.94
XV-4	XV	109530	109608	+	2711.3	0.556	11.500000	11.5	0.7	15.48	4.54e-10	16.18	1.91e-09	0.90
III-3	III	749	827	+	2593.5	0.750	10.000000	11.0	0.2	44.42	4.20e-15	19.46	2.68e-11	1.03
IX-5	IX	99654	99732	+	2593.5	0.619	12.000000	11.0	1.2	8.88	8.49e-08	29.71	3.10e-13	0.94
V-5	V	140675	140753	+	2593.5	0.667	13.000000	11.5	1.2	9.29	8.49e-08	13.54	1.13e-09	0.94
XII-16	XII	490674	490752	+	2593.5	0.676	11.000000	11.0	0.2	44.42	4.20e-15	20.13	2.44e-10	0.90
XII-14	XII	1064550	1064628	+	2593.5	0.651	11.500000	11.0	0.2	44.42	4.20e-15	13.54	1.13e-09	0.94
XIV-2	XIV	7100	7178	+	2593.5	0.667	11.000000	11.0	0.2	44.42	4.20e-15	25.12	1.84e-12	0.94
XV-3	XV	978949	979027	+	2593.5	0.780	12.500000	11.0	0.2	44.42	4.20e-15	14.43	3.51e-09	0.99
XVI-2	XVI	942608	942686	+	2593.5	0.771	11.000000	11.0	0.2	44.42	4.20e-15	51.16	9.17e-16	0.94
IV-6	IV	411395	411473	+	2475.6	0.634	10.500000	10.5	0.2	42.40	1.87e-13	20.60	1.96e-10	0.90
IV-4	IV	1524884	1524962	+	2475.6	0.758	11.000000	10.5	0.7	14.13	6.72e-09	17.01	1.19e-09	0.90
V-8	V	53390	53468	+	2475.6	0.692	12.000000	11.0	0.2	44.42	4.20e-15	22.54	8.32e-11	0.90
V-12	V	303473	303551	+	2475.6	0.537	10.500000	10.5	0.5	21.20	1.49e-10	18.88	2.81e-10	0.94
VI-7	VI	224971	225049	+	2475.6	0.591	10.500000	10.5	0.2	42.40	1.87e-13	6.53	7.47e-06	0.90
VII-8	VII	1083910	1083988	+	2475.6	0.636	10.500000	10.5	0.5	21.20	1.49e-10	19.78	1.82e-10	0.94
VIII-6	VIII	122432	122510	+	2475.6	0.639	10.500000	10.5	0.2	42.40	1.87e-13	15.51	2.83e-09	0.90
XII-17	XII	424358	424436	+	2475.6	0.535	10.500000	10.5	0.2	42.40	1.87e-13	15.31	2.02e-09	0.94
XIV-3	XIV	783841	783919	+	2475.6	0.628	10.500000	10.5	0.2	42.40	1.87e-13	27.47	1.25e-11	0.90
XV-5	XV	988148	988226	+	2475.6	0.643	11.000000	10.5	0.2	42.40	1.87e-13	12.69	1.16e-08	0.94
III-4	III	68572	68650	+	2357.7	0.656	10.000000	10.0	0.2	40.38	1.87e-13	46.51	4.69e-14	0.94
III-5	III	123517	123595	+	2357.7	0.667	10.000000	11.0	0.2	44.42	4.20e-15	12.75	1.11e-08	1.05
IV-5	IV	123	201	+	2357.7	0.545	10.500000	10.0	0.2	40.38	1.87e-13	49.25	2.68e-14	0.94
IV-3	IV	307974	308052	+	2357.7	0.614	11.000000	10.0	0.2	40.38	1.87e-13	25.12	2.99e-10	0.90
VI-6	VI	4578	4656	+	2357.7	0.568	10.500000	10.0	0.2	40.38	1.87e-13	13.36	7.20e-09	0.94
VII-9	VII	23371	23449	+	2357.7	0.800	10.000000	10.0	0.2	40.38	1.87e-13	29.90	3.45e-12	0.94
VII-6	VII	1000137	1000215	+	2357.7	0.605	11.000000	10.0	1.0	10.09	9.31e-08	16.57	1.04e-08	0.90
VII-13	VII	1000444	1000522	+	2357.7	0.684	10.000000	10.0	0.2	40.38	1.87e-13	17.44	5.96e-10	0.99
VIII-5	VIII	556639	556717	+	2357.7	0.758	11.000000	10.0	0.5	20.19	1.49e-10	18.74	3.02e-10	0.94
XI-6	XI	518657	518735	+	2357.7	0.641	11.000000	10.0	0.2	40.38	1.87e-13	12.43	1.40e-08	0.94
XII-19	XII	424001	424079	+	2357.7	0.541	10.000000	10.0	0.2	40.38	1.87e-13	14.46	3.26e-08	0.90
XII-15	XII	489584	489662	+	2357.7	0.625	11.000000	10.0	0.5	20.19	1.49e-10	20.76	1.15e-10	0.94
XIII-3	XIII	5513	5591	+	2357.7	0.821	10.500000	10.0	0.2	40.38	1.87e-13	109.20	1.04e-17	0.94
XIII-6	XIII	408228	408306	+	2357.7	0.513	10.000000	10.0	0.7	13.46	6.72e-09	19.03	2.62e-10	0.94
XIII-4	XIII	408406	408484	+	2357.7	0.639	10.500000	10.0	0.7	13.46	6.72e-09	19.03	2.62e-10	0.94
XVI-3	XVI	214751	214829	+	2357.7	0.528	10.500000	10.0	0.2	40.38	1.87e-13	16.31	1.12e-09	0.94
I-5	I	190226	190304	+	2239.8	0.610	10.000000	9.5	0.5	19.18	3.01e-09	17.17	7.72e-09	0.90
II-2	II	89577	89655	+	2239.8	0.781	11.500000	9.5	0.2	38.36	7.54e-12	27.11	1.54e-10	0.90
IV-7	IV	215857	215935	+	2239.8	0.793	10.000000	10.0	0.2	40.38	1.87e-13	24.60	3.58e-10	0.90
MT-2	MT	59838	59916	+	2239.8	0.743	10.000000	9.5	1.5	6.39	2.58e-05	9.74	8.31e-07	0.90
V-11	V	222308	222386	+	2239.8	0.727	10.500000	9.5	0.2	38.36	7.54e-12	35.61	1.44e-11	0.90
VII-14	VII	456	534	+	2239.8	0.793	9.500000	9.5	0.2	38.36	7.54e-12	26.22	2.06e-10	0.95
VII-10	VII	413392	413470	+	2239.8	0.667	10.000000	9.5	0.2	38.36	7.54e-12	27.74	1.27e-10	0.90
VIII-4	VIII	5111	5189	+	2239.8	0.750	11.000000	9.5	0.5	19.18	3.01e-09	31.40	4.33e-11	0.90
VIII-9	VIII	122233	122311	+	2239.8	0.641	9.500000	9.5	0.2	38.36	7.54e-12	13.79	4.83e-08	0.90
VIII-7	VIII	122612	122690	+	2239.8	0.524	10.000000	10.0	0.2	40.38	1.87e-13	13.95	4.38e-08	0.90
X-5	X	647159	647237	+	2239.8	0.697	9.500000	9.5	1.0	9.59	9.40e-07	24.05	2.73e-10	0.95
XV-6	XV	527	605	+	2239.8	0.710	10.500000	9.5	0.7	12.79	9.04e-08	16.80	9.24e-09	0.90
XV-12	XV	978475	978553	+	2239.8	0.688	9.000000	9.5	0.2	38.36	7.54e-12	13.63	5.31e-08	0.95
XVI-4	XVI	75381	75459	+	2239.8	0.600	10.000000	9.5	0.5	19.18	3.01e-09	16.34	1.17e-08	0.90
I-7	I	71163	71241	+	2121.9	0.667	9.000000	9.0	0.5	18.17	3.01e-09	9.11	9.16e-07	0.95
II-3	II	5905	5983	+	2121.9	0.561	10.000000	9.0	0.2	36.34	7.54e-12	32.29	2.12e-11	0.95
III-6	III	316033	316111	+	2121.9	0.618	9.000000	9.0	0.2	36.34	7.54e-12	21.33	7.67e-10	0.95
IV-8	IV	1301357	1301435	+	2121.9	0.905	9.000000	9.0	0.5	18.17	3.01e-09	47.09	7.74e-13	0.95
IX-9	IX	232668	232746	+	2121.9	0.605	9.000000	9.0	0.5	18.17	3.01e-09	32.29	2.12e-11	0.95
MT-1	MT	14033	14111	+	2121.9	0.500	10.000000	9.0	1.7	5.19	8.30e-05	6.65	1.25e-05	0.95
MT-6	MT	31186	31264	+	2121.9	0.818	9.000000	9.0	0.7	12.11	9.04e-08	16.26	7.72e-09	0.95
MT-7	MT	61992	62070	+	2121.9	0.815	9.000000	9.0	1.5	6.06	2.58e-05	9.04	9.77e-07	0.95
V-13	V	491231	491309	+	2121.9	0.676	10.500000	9.0	0.2	36.34	7.54e-12	21.14	1.13e-08	0.90
VII-18	VII	482986	483064	+	2121.9	0.720	9.000000	9.0	0.2	36.34	7.54e-12	8.02	2.86e-06	0.95
VII-12	VII	650895	650973	+	2121.9	0.724	10.000000	9.0	0.5	18.17	3.01e-09	30.07	7.62e-10	0.90
VII-5	VII	920205	920283	+	2121.9	0.636	11.000000	10.0	0.7	13.46	6.72e-09	25.98	1.40e-10	0.95
VII-7	VII	987309	987387	+	2121.9	0.788	10.500000	9.0	0.2	36.34	7.54e-12	23.07	3.91e-10	0.95
X-8	X	663143	663221	+	2121.9	0.538	9.000000	9.0	0.7	12.11	9.04e-08	25.69	1.54e-10	0.95
XII-18	XII	370340	370418	+	2121.9	0.641	10.000000	9.0	0.2	36.34	7.54e-12	7.61	4.32e-06	0.95
XIII-9	XIII	271987	272065	+	2121.9	0.778	9.000000	9.0	0.5	18.17	3.01e-09	29.74	4.33e-11	0.95
XIII-10	XIII	408633	408711	+	2121.9	0.688	9.000000	9.0	0.2	36.34	7.54e-12	16.38	7.26e-09	0.95
XIII-5	XIII	551311	551389	+	2121.9	0.650	10.500000	9.0	0.2	36.34	7.54e-12	17.26	4.67e-09	0.95
XIII-7	XIII	557121	557199	+	2121.9	0.588	10.000000	9.0	0.2	36.34	7.54e-12	17.26	4.67e-09	0.95
IX-7	IX	68440	68518	+	2004.0	0.719	9.500000	8.5	0.2	34.32	2.74e-10	36.81	1.59e-10	0.90
IX-8	IX	232482	232560	+	2004.0	0.645	9.000000	8.5	0.2	34.32	2.74e-10	30.07	7.62e-10	0.90
MT-3	MT	14204	14282	+	2004.0	0.697	9.500000	9.5	0.7	12.79	9.04e-08	6.22	9.00e-05	0.90
MT-5	MT	20580	20658	+	2004.0	0.714	9.000000	8.5	1.2	6.86	4.60e-05	6.24	8.82e-05	0.90
MT-11	MT	79267	79345	+	2004.0	0.679	8.500000	8.5	0.7	11.44	1.10e-06	8.31	1.21e-05	0.90
V-14	V	53657	53735	+	2004.0	0.735	9.500000	8.5	0.2	34.32	2.74e-10	17.64	4.44e-08	0.90
VI-8	VI	95627	95705	+	2004.0	0.654	8.500000	8.5	0.2	34.32	2.74e-10	21.78	9.02e-09	0.90
VI-9	VI	106590	106668	+	2004.0	0.720	8.000000	8.5	0.5	17.16	5.48e-08	35.00	2.35e-10	0.96
VII-16	VII	152903	152981	+	2004.0	0.826	9.000000	9.0	0.2	36.34	7.54e-12	22.01	8.34e-09	0.90
VII-11	VII	483312	483390	+	2004.0	0.615	10.000000	8.5	0.2	34.32	2.74e-10	7.60	2.27e-05	0.90
VII-15	VII	905554	905632	+	2004.0	0.639	9.500000	8.5	0.2	34.32	2.74e-10	18.25	3.45e-08	0.96
X-6	X	160053	160131	+	2004.0	0.769	9.000000	8.5	0.5	17.16	5.48e-08	17.64	4.44e-08	0.90
X-9	X	391991	392069	+	2004.0	0.667	8.500000	8.5	1.0	8.58	8.54e-06	22.47	7.12e-09	0.90
XI-7	XI	258691	258769	+	2004.0	0.588	8.500000	8.5	0.2	34.32	2.74e-10	17.64	4.44e-08	0.90
XIII-8	XIII	306751	306829	+	2004.0	0.724	9.500000	8.5	0.7	11.44	1.10e-06	16.05	9.03e-08	0.90
XV-13	XV	109313	109391	+	2004.0	0.692	8.500000	8.5	0.2	34.32	2.74e-10	12.86	4.66e-07	0.90
XV-7	XV	253950	254028	+	2004.0	0.610	10.000000	8.5	0.7	11.44	1.10e-06	28.09	1.29e-09	0.90
XV-10	XV	779645	779723	+	2004.0	0.553	9.000000	8.5	1.0	8.58	8.54e-06	17.94	3.92e-08	0.90
XV-8	XV	882119	882197	+	2004.0	0.719	9.500000	8.5	0.2	34.32	2.74e-10	19.41	2.17e-08	0.90
XV-11	XV	909006	909084	+	2004.0	0.690	9.000000	8.5	0.2	34.32	2.74e-10	14.93	1.55e-07	0.90
XV-9	XV	978668	978746	+	2004.0	0.611	9.500000	8.5	0.2	34.32	2.74e-10	12.06	7.46e-07	0.90
I-9	I	45380	45458	+	1886.1	0.586	8.000000	8.0	0.2	32.30	2.74e-10	27.15	1.05e-09	0.96
I-6	I	68211	68289	+	1886.1	0.697	9.000000	8.0	0.2	32.30	2.74e-10	8.30	7.03e-06	0.96
II-5	II	415467	415545	+	1886.1	0.688	9.000000	8.0	0.2	32.30	2.74e-10	25.80	2.60e-08	0.90
II-8	II	697624	697702	+	1886.1	0.708	8.000000	8.0	0.2	32.30	2.74e-10	28.30	7.62e-10	0.96
III-7	III	137387	137465	+	1886.1	0.633	8.500000	8.0	0.5	16.15	5.48e-08	14.88	1.01e-07	0.96
IV-14	IV	600153	600231	+	1886.1	0.800	8.000000	8.0	0.2	32.30	2.74e-10	18.96	1.64e-08	0.96
IV-9	IV	1401528	1401606	+	1886.1	0.667	8.500000	8.0	0.2	32.30	2.74e-10	29.55	5.46e-10	0.96
IV-16	IV	1468936	1469014	+	1886.1	0.621	8.000000	8.0	0.5	16.15	5.48e-08	19.54	1.05e-07	0.96
IX-14	IX	139270	139348	+	1886.1	0.677	7.500000	8.0	0.2	32.30	2.74e-10	12.96	2.81e-07	1.02
IX-11	IX	249182	249260	+	1886.1	0.514	8.000000	8.0	0.2	32.30	2.74e-10	14.60	1.12e-06	0.90
MT-12	MT	79840	79918	+	1886.1	0.639	8.500000	8.0	1.2	6.46	4.60e-05	8.74	4.91e-06	0.96
MT-13	MT	84194	84272	+	1886.1	0.792	8.500000	8.0	0.2	32.30	2.74e-10	11.68	6.05e-07	0.96
V-15	V	85067	85145	+	1886.1	0.525	9.500000	8.0	0.2	32.30	2.74e-10	13.31	2.32e-07	0.96
V-16	V	270273	270351	+	1886.1	0.741	9.000000	8.0	0.2	32.30	2.74e-10	11.48	6.86e-07	0.96
VII-17	VII	384669	384747	+	1886.1	0.724	9.000000	8.0	0.2	32.30	2.74e-10	29.55	5.46e-10	0.96
VII-19	VII	555526	555604	+	1886.1	0.655	8.500000	8.0	0.5	16.15	5.48e-08	24.81	2.10e-09	0.96
VII-20	VII	884090	884168	+	1886.1	0.625	8.500000	8.0	0.7	10.77	1.10e-06	10.86	1.03e-06	0.96
VII-26	VII	987513	987591	+	1886.1	0.739	8.000000	8.0	0.2	32.30	2.74e-10	20.09	1.05e-08	0.96
VIII-8	VIII	98535	98613	+	1886.1	0.742	9.500000	8.0	0.2	32.30	2.74e-10	21.84	5.57e-09	0.96
VIII-12	VIII	236159	236237	+	1886.1	0.567	8.000000	8.0	0.2	32.30	2.74e-10	23.10	3.64e-09	0.96
VIII-15	VIII	453138	453216	+	1886.1	0.654	8.000000	8.0	0.2	32.30	2.74e-10	8.97	4.07e-06	0.96
X-11	X	120015	120093	+	1886.1	0.567	8.000000	8.0	0.2	32.30	2.74e-10	8.81	4.61e-06	0.96
X-10	X	454911	454989	+	1886.1	0.727	8.500000	8.0	0.5	16.15	5.48e-08	15.11	9.03e-08	0.96
XII-20	XII	369836	369914	+	1886.1	0.727	8.500000	8.0	0.2	32.30	2.74e-10	6.70	3.58e-05	1.02
XII-24	XII	522477	522555	+	1886.1	0.593	7.500000	8.0	0.2	32.30	2.74e-10	29.12	6.11e-10	1.02
XII-23	XII	1012241	1012319	+	1886.1	0.696	8.000000	8.0	0.5	16.15	5.48e-08	33.49	2.07e-10	0.96
XIII-11	XIII	26335	26413	+	1886.1	0.581	8.500000	8.0	0.2	32.30	2.74e-10	12.48	3.72e-07	0.96
XIII-13	XIII	146139	146217	+	1886.1	0.594	8.500000	8.0	0.2	32.30	2.74e-10	43.68	2.61e-11	0.96
XIV-5	XIV	331050	331128	+	1886.1	0.613	8.000000	8.0	0.5	16.15	5.48e-08	22.83	3.97e-09	0.96
XIV-4	XIV	405803	405881	+	1886.1	0.680	8.500000	8.0	0.5	16.15	5.48e-08	42.75	3.09e-11	0.96
XIV-6	XIV	427415	427493	+	1886.1	0.783	8.000000	8.0	0.2	32.30	2.74e-10	43.68	2.61e-11	0.96
XV-15	XV	170154	170232	+	1886.1	0.909	8.000000	8.0	1.0	8.08	8.54e-06	24.46	3.72e-08	0.90
XV-18	XV	882312	882390	+	1886.1	0.667	8.000000	8.0	0.2	32.30	2.74e-10	18.10	2.32e-08	0.96
XV-20	XV	987692	987770	+	1886.1	0.567	8.000000	8.0	0.2	32.30	2.74e-10	9.95	1.94e-06	0.96
XVI-9	XVI	74964	75042	+	1886.1	0.679	8.000000	8.0	0.7	10.77	1.10e-06	12.48	3.09e-06	0.90
XVI-7	XVI	425306	425384	+	1886.1	0.690	8.500000	8.0	0.2	32.30	2.74e-10	27.15	1.05e-09	0.96
I-11	I	71428	71506	+	1768.3	0.633	8.000000	7.5	0.2	30.28	8.85e-09	7.36	9.36e-05	0.90
I-8	I	141815	141893	+	1768.3	0.806	9.000000	7.5	0.5	15.14	8.84e-07	16.10	5.93e-07	0.96
II-10	II	135821	135899	+	1768.3	0.516	7.500000	7.5	0.5	15.14	8.84e-07	17.77	3.10e-07	0.90
II-6	II	136159	136237	+	1768.3	0.630	8.500000	7.5	0.2	30.28	8.85e-09	15.44	7.79e-07	0.90
II-4	II	165254	165332	+	1768.3	0.575	9.000000	7.5	0.2	30.28	8.85e-09	9.50	1.12e-05	0.96
II-7	II	555627	555705	+	1768.3	0.528	8.500000	7.5	1.0	7.57	6.90e-05	14.90	6.27e-07	0.96
II-12	II	770700	770778	+	1768.3	0.682	7.500000	7.5	0.7	10.09	1.18e-05	50.91	2.58e-10	0.90
III-8	III	123775	123853	+	1768.3	0.556	8.000000	7.5	0.2	30.28	8.85e-09	9.42	1.82e-05	0.90
IV-20	IV	556680	556758	+	1768.3	0.714	7.500000	7.5	0.5	15.14	8.84e-07	23.13	3.41e-08	0.96
IV-13	IV	591876	591954	+	1768.3	0.500	8.000000	7.5	0.2	30.28	8.85e-09	20.26	1.31e-07	0.90
IV-11	IV	1469094	1469172	+	1768.3	0.548	8.500000	8.0	0.2	32.30	2.74e-10	21.17	9.77e-08	0.90
