PeakID (cmd=annotatePeaks.pl SPT5_T0_R1_homer_narrowPeak.txt genome.fa -gtf genes.gtf -cpu 2)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
XIV-1	XIV	6701	6791	+	4512.6	0.628	promoter-TSS (YNL337W)	protein_coding-promoter-TSS (YNL337W)	185	YNL338W	YNL338W	YNL338W			YNL338W			protein_coding
I-1	I	86	176	+	4316.4	0.693	promoter-TSS (YAL068W-A)	protein_coding-promoter-TSS (YAL068W-A)	-204	YAL069W	YAL069W	YAL069W			YAL069W			protein_coding
V-3	V	85144	85234	+	4218.3	0.692	promoter-TSS (YEL033W)	protein_coding-promoter-TSS (YEL033W)	356	YEL035C	YEL035C	YEL035C			UTR5			protein_coding
XIII-2	XIII	923794	923884	+	4218.3	0.657	promoter-TSS (YMR326C)	protein_coding-promoter-TSS (YMR326C)	-37	YMR326C	YMR326C	YMR326C			YMR326C			protein_coding
V-2	V	442086	442176	+	4218.3	0.716	promoter-TSS (YER137C)	protein_coding-promoter-TSS (YER137C)	144	SCR1	SCR1	SCR1			SCR1			ncRNA
XII-5	XII	489567	489657	+	4218.3	0.743	promoter-TSS (YLR162W)	protein_coding-promoter-TSS (YLR162W)	39	YLR162W	YLR162W	YLR162W			YLR162W			protein_coding
XV-2	XV	142	232	+	3924.0	0.512	promoter-TSS (YOL166W-A)	protein_coding-promoter-TSS (YOL166W-A)	-398	YOL166W-A	YOL166W-A	YOL166W-A			YOL166W-A			protein_coding
XV-1	XV	109717	109807	+	3924.0	0.573	promoter-TSS (YOL109W)	protein_coding-promoter-TSS (YOL109W)	-535	YOL109W	YOL109W	YOL109W			ZEO1			protein_coding
II-1	II	5851	5941	+	3825.9	0.763	promoter-TSS (YBL111C)	protein_coding-promoter-TSS (YBL111C)	106	YBL109W	YBL109W	YBL109W			YBL109W			protein_coding
VII-2	VII	1084263	1084353	+	3531.6	0.642	promoter-TSS (YGR296W)	protein_coding-promoter-TSS (YGR296W)	-556	YGR296W	YGR296W	YGR296W			YRF1-3			protein_coding
V-4	V	396508	396598	+	3531.6	0.709	promoter-TSS (YER116C)	protein_coding-promoter-TSS (YER116C)	-216	YER117W	YER117W	YER117W			RPL23B			protein_coding
XV-5	XV	498	588	+	3433.5	0.826	promoter-TSS (YOL166W-A)	protein_coding-promoter-TSS (YOL166W-A)	-42	YOL166W-A	YOL166W-A	YOL166W-A			YOL166W-A			protein_coding
XV-4	XV	978882	978972	+	3433.5	0.621	promoter-TSS (YOR344C)	protein_coding-promoter-TSS (YOR344C)	-858	YOR344C	YOR344C	YOR344C			TYE7			protein_coding
IX-1	IX	439692	439782	+	3433.5	0.723	Intergenic	Intergenic	-1558	YIR044C	YIR044C	YIR044C			YIR044C			pseudogene
VI-2	VI	4901	4991	+	3433.5	0.629	promoter-TSS (YFL063W)	protein_coding-promoter-TSS (YFL063W)	-120	YFL063W	YFL063W	YFL063W			YFL063W			protein_coding
VI-3	VI	4514	4604	+	3433.5	0.712	promoter-TSS (YFL063W)	protein_coding-promoter-TSS (YFL063W)	-507	YFL063W	YFL063W	YFL063W			YFL063W			protein_coding
VII-1	VII	31	121	+	3433.5	0.731	Intergenic	Intergenic	-2714	YGL263W	YGL263W	YGL263W			COS12			protein_coding
II-2	II	165195	165285	+	3335.4	0.652	promoter-TSS (YBL029C-A)	protein_coding-promoter-TSS (YBL029C-A)	-468	YBL029C-A	YBL029C-A	YBL029C-A			YBL029C-A			protein_coding
XII-7	XII	424326	424416	+	3335.4	0.615	promoter-TSS (YLR139C)	protein_coding-promoter-TSS (YLR139C)	688	YLR141W	YLR141W	YLR141W			RRN5			protein_coding
XIV-2	XIV	350017	350107	+	3237.3	0.557	promoter-TSS (YNL147W)	protein_coding-promoter-TSS (YNL147W)	-306	YNL149C	YNL149C	YNL149C			PGA2			protein_coding
V-6	V	69232	69322	+	3237.3	0.648	promoter-TSS (YEL044W)	protein_coding-promoter-TSS (YEL044W)	-12	YEL045C	YEL045C	YEL045C			YEL045C			protein_coding
V-5	V	570217	570307	+	3237.3	0.702	promoter-TSS (YER188C-A)	protein_coding-promoter-TSS (YER188C-A)	-355	YER188C-A	YER188C-A	YER188C-A			YER188C-A			protein_coding
XIII-4	XIII	653414	653504	+	3139.2	0.745	promoter-TSS (YMR194C-A)	protein_coding-promoter-TSS (YMR194C-A)	-323	YMR194C-A	YMR194C-A	YMR194C-A			YMR194C-A			protein_coding
XIII-3	XIII	551336	551426	+	3139.2	0.581	promoter-TSS (YMR142C)	protein_coding-promoter-TSS (YMR142C)	-174	YMR142C	YMR142C	YMR142C			RPL13B			protein_coding
XII-6	XII	1028475	1028565	+	3139.2	0.716	promoter-TSS (YLR447C)	protein_coding-promoter-TSS (YLR447C)	-334	YLR448W	YLR448W	YLR448W			RPL6B			protein_coding
III-1	III	385	475	+	3041.1	0.689	promoter-TSS (YCL076W)	protein_coding-promoter-TSS (YCL076W)	-962	YCL076W	YCL076W	YCL076W			YCL076W			protein_coding
XII-9	XII	1065337	1065427	+	3041.1	0.850	promoter-TSS (YLR462W)	protein_coding-promoter-TSS (YLR462W)	-574	YLR462W	YLR462W	YLR462W			YLR462W			protein_coding
X-2	X	745489	745579	+	3041.1	0.750	promoter-TSS (YJR162C)	protein_coding-promoter-TSS (YJR162C)	-273	YJR162C	YJR162C	YJR162C			YJR162C			protein_coding
VI-4	VI	224884	224974	+	3041.1	0.714	promoter-TSS (YFR032C-B)	protein_coding-promoter-TSS (YFR032C-B)	-160	YFR033C	YFR033C	YFR033C			QCR6			protein_coding
XIV-3	XIV	783844	783934	+	3041.1	0.680	promoter-TSS (YNR077C)	protein_coding-promoter-TSS (YNR077C)	-348	YNR077C	YNR077C	YNR077C			YNR077C			protein_coding
IX-2	IX	68396	68486	+	3041.1	0.585	promoter-TSS (YIL148W)	protein_coding-promoter-TSS (YIL148W)	-267	YIL148W	YIL148W	YIL148W			RPL40A			protein_coding
XV-3	XV	988128	988218	+	3041.1	0.727	exon (YOR348C, exon 1 of 1)	protein_coding-exon (YOR348C, exon 1 of 1)	609	YOR348C	YOR348C	YOR348C			PUT4			protein_coding
VII-3	VII	905586	905676	+	3041.1	0.590	promoter-TSS (YGR202C)	protein_coding-promoter-TSS (YGR202C)	-303	YGR204W	YGR204W	YGR204W			ADE3			protein_coding
XII-8	XII	490607	490697	+	3041.1	0.667	TTS (YLR162W)	protein_coding-TTS (YLR162W)	246	YLR162W-A	YLR162W-A	YLR162W-A			RRT15			protein_coding
V-7	V	85389	85479	+	3041.1	0.557	promoter-TSS (YEL033W)	protein_coding-promoter-TSS (YEL033W)	111	YEL035C	YEL035C	YEL035C			UTR5			protein_coding
IV-2	IV	1524887	1524977	+	3041.1	0.795	promoter-TSS (YDR543C)	protein_coding-promoter-TSS (YDR543C)	1	YDR543C	YDR543C	YDR543C			YDR543C			protein_coding
IX-3	IX	439310	439400	+	2943.0	0.696	Intergenic	Intergenic	-1176	YIR044C	YIR044C	YIR044C			YIR044C			pseudogene
XI-2	XI	666534	666624	+	2943.0	0.600	Intergenic	Intergenic	5137	YKR106W	YKR106W	YKR106W			GEX2			protein_coding
XV-6	XV	619371	619461	+	2943.0	0.561	promoter-TSS (YOR153W)	protein_coding-promoter-TSS (YOR153W)	-424	YOR153W	YOR153W	YOR153W			PDR5			protein_coding
X-1	X	663139	663229	+	2943.0	0.694	promoter-TSS (YJR127C)	protein_coding-promoter-TSS (YJR127C)	-125	YJR127C	YJR127C	YJR127C			RSF2			protein_coding
VII-6	VII	384718	384808	+	2943.0	0.766	promoter-TSS (YGL062W)	protein_coding-promoter-TSS (YGL062W)	-112	YGL063C-A	YGL063C-A	YGL063C-A			YGL063C-A			protein_coding
IX-4	IX	248980	249070	+	2844.9	0.696	promoter-TSS (YIL056W)	protein_coding-promoter-TSS (YIL056W)	175	tS(UGA)I	tS(UGA)I	tS(UGA)I			SUP17			tRNA
XIII-5	XIII	408298	408388	+	2844.9	0.646	promoter-TSS (YMR070W)	protein_coding-promoter-TSS (YMR070W)	634	YMR069W	YMR069W	YMR069W			NAT4			protein_coding
VII-5	VII	271930	272020	+	2844.9	0.550	promoter-TSS (YGL125W)	protein_coding-promoter-TSS (YGL125W)	-545	YGL125W	YGL125W	YGL125W			MET13			protein_coding
V-10	V	491220	491310	+	2844.9	0.659	promoter-TSS (YER158C)	protein_coding-promoter-TSS (YER158C)	-222	YER158W-A	YER158W-A	YER158W-A			YER158W-A			protein_coding
XII-10	XII	370838	370928	+	2844.9	0.729	promoter-TSS (YLR110C)	protein_coding-promoter-TSS (YLR110C)	92	YLR112W	YLR112W	YLR112W			YLR112W			protein_coding
IX-5	IX	254528	254618	+	2746.8	0.516	promoter-TSS (YIL053W)	protein_coding-promoter-TSS (YIL053W)	30	YIL054W	YIL054W	YIL054W			YIL054W			protein_coding
VIII-3	VIII	556668	556758	+	2746.8	0.559	TTS (YHR216W)	protein_coding-TTS (YHR216W)	329	YHR217C	YHR217C	YHR217C			YHR217C			protein_coding
XII-12	XII	5699	5789	+	2746.8	0.667	promoter-TSS (YLL066W-A)	protein_coding-promoter-TSS (YLL066W-A)	139	YLL066W-B	YLL066W-B	YLL066W-B			YLL066W-B			protein_coding
XI-3	XI	666162	666252	+	2746.8	0.806	Intergenic	Intergenic	4765	YKR106W	YKR106W	YKR106W			GEX2			protein_coding
XV-8	XV	978501	978591	+	2746.8	0.727	promoter-TSS (YOR344C)	protein_coding-promoter-TSS (YOR344C)	-477	YOR344C	YOR344C	YOR344C			TYE7			protein_coding
V-8	V	442375	442465	+	2746.8	0.603	promoter-TSS (YER137C)	protein_coding-promoter-TSS (YER137C)	433	SCR1	SCR1	SCR1			SCR1			ncRNA
VII-9	VII	625321	625411	+	2648.7	0.727	promoter-TSS (YGR067C)	protein_coding-promoter-TSS (YGR067C)	-580	YGR067C	YGR067C	YGR067C			YGR067C			protein_coding
II-3	II	89580	89670	+	2648.7	0.721	promoter-TSS (YBL071C-B)	protein_coding-promoter-TSS (YBL071C-B)	-69	YBL071C-B	YBL071C-B	YBL071C-B			YBL071C-B			protein_coding
XV-12	XV	987752	987842	+	2648.7	0.680	exon (YOR348C, exon 1 of 1)	protein_coding-exon (YOR348C, exon 1 of 1)	985	YOR348C	YOR348C	YOR348C			PUT4			protein_coding
X-3	X	160114	160204	+	2648.7	0.667	promoter-TSS (YJL133C-A)	protein_coding-promoter-TSS (YJL133C-A)	-312	YJL133C-A	YJL133C-A	YJL133C-A			YJL133C-A			protein_coding
VIII-2	VIII	126209	126299	+	2648.7	0.737	promoter-TSS (YHR009C)	protein_coding-promoter-TSS (YHR009C)	-267	YHR010W	YHR010W	YHR010W			RPL27A			protein_coding
XII-13	XII	1071613	1071703	+	2648.7	0.738	promoter-TSS (YLR466C-A)	protein_coding-promoter-TSS (YLR466C-A)	52	YLR466C-B	YLR466C-B	YLR466C-B			YLR466C-B			protein_coding
XIV-4	XIV	559394	559484	+	2648.7	0.635	promoter-TSS (YNL036W)	protein_coding-promoter-TSS (YNL036W)	-375	YNL036W	YNL036W	YNL036W			NCE103			protein_coding
V-9	V	140667	140757	+	2648.7	0.729	promoter-TSS (YEL009C)	protein_coding-promoter-TSS (YEL009C)	106	YEL008C-A	YEL008C-A	YEL008C-A			YEL008C-A			protein_coding
XVI-3	XVI	75386	75476	+	2648.7	0.660	promoter-TSS (YPL250C)	protein_coding-promoter-TSS (YPL250C)	-271	YPL250W-A	YPL250W-A	YPL250W-A			YPL250W-A			protein_coding
VII-4	VII	271361	271451	+	2648.7	0.727	promoter-TSS (YGL127C)	protein_coding-promoter-TSS (YGL127C)	409	YGL126W	YGL126W	YGL126W			SCS3			protein_coding
XII-11	XII	1064499	1064589	+	2648.7	0.744	Intergenic	Intergenic	-1412	YLR462W	YLR462W	YLR462W			YLR462W			protein_coding
IV-7	IV	1359696	1359786	+	2648.7	0.730	promoter-TSS (YDR449C)	protein_coding-promoter-TSS (YDR449C)	-182	YDR450W	YDR450W	YDR450W			RPS18A			protein_coding
IV-3	IV	1490341	1490431	+	2648.7	0.633	promoter-TSS (YDR524C-A)	protein_coding-promoter-TSS (YDR524C-A)	-210	YDR525W-A	YDR525W-A	YDR525W-A			SNA2			protein_coding
XVI-6	XVI	502482	502572	+	2550.6	0.659	promoter-TSS (YPL024W)	protein_coding-promoter-TSS (YPL024W)	-344	YPL026C	YPL026C	YPL026C			SKS1			protein_coding
VIII-4	VIII	382933	383023	+	2550.6	0.698	promoter-TSS (YHR141C)	protein_coding-promoter-TSS (YHR141C)	-227	YHR141C	YHR141C	YHR141C			RPL42B			protein_coding
IX-6	IX	99623	99713	+	2550.6	0.571	promoter-TSS (YIL133C)	protein_coding-promoter-TSS (YIL133C)	-252	YIL133C	YIL133C	YIL133C			RPL16A			protein_coding
XIV-5	XIV	7077	7167	+	2550.6	0.600	promoter-TSS (YNL337W)	protein_coding-promoter-TSS (YNL337W)	-43	YNL337W	YNL337W	YNL337W			YNL337W			protein_coding
I-2	I	230026	230116	+	2550.6	0.767	TTS (YAR075W)	protein_coding-TTS (YAR075W)	1227	YAR075W	YAR075W	YAR075W			YAR075W			protein_coding
II-4	II	168198	168288	+	2550.6	0.667	promoter-TSS (YBL027W)	protein_coding-promoter-TSS (YBL027W)	-180	YBL027W	YBL027W	YBL027W			RPL19B			protein_coding
V-13	V	335515	335605	+	2452.5	0.725	promoter-TSS (YER088C)	protein_coding-promoter-TSS (YER088C)	-367	YER088W-B	YER088W-B	YER088W-B			YER088W-B			protein_coding
XVI-7	XVI	822275	822365	+	2452.5	0.737	promoter-TSS (YPR144C)	protein_coding-promoter-TSS (YPR144C)	-300	YPR145W	YPR145W	YPR145W			ASN1			protein_coding
XV-7	XV	109352	109442	+	2452.5	0.542	promoter-TSS (YOL109W)	protein_coding-promoter-TSS (YOL109W)	221	YOL110W	YOL110W	YOL110W			SHR5			protein_coding
XV-9	XV	161185	161275	+	2452.5	0.510	promoter-TSS (YOL085W-A)	protein_coding-promoter-TSS (YOL085W-A)	-349	YOL085W-A	YOL085W-A	YOL085W-A			YOL085W-A			protein_coding
X-4	X	391982	392072	+	2452.5	0.767	promoter-TSS (YJL026W)	protein_coding-promoter-TSS (YJL026W)	222	YJL027C	YJL027C	YJL027C			YJL027C			protein_coding
XVI-1	XVI	829222	829312	+	2452.5	0.628	promoter-TSS (YPR149W)	protein_coding-promoter-TSS (YPR149W)	-651	YPR149W	YPR149W	YPR149W			NCE102			protein_coding
V-15	V	435680	435770	+	2452.5	0.780	promoter-TSS (tK(CUU)E2)	tRNA-promoter-TSS (tK(CUU)E2)	99	tK(CUU)E2	tK(CUU)E2	tK(CUU)E2			tK(CUU)E2			tRNA
XII-15	XII	11321	11411	+	2452.5	0.625	promoter-TSS (YLL065W)	protein_coding-promoter-TSS (YLL065W)	-360	YLL065W	YLL065W	YLL065W			YLL065W			protein_coding
VII-8	VII	430	520	+	2452.5	0.857	Intergenic	Intergenic	-2315	YGL263W	YGL263W	YGL263W			COS12			protein_coding
VII-12	VII	1083894	1083984	+	2452.5	0.696	promoter-TSS (YGR296W)	protein_coding-promoter-TSS (YGR296W)	-925	YGR296W	YGR296W	YGR296W			YRF1-3			protein_coding
XII-14	XII	924580	924670	+	2452.5	0.684	promoter-TSS (YLR401C)	protein_coding-promoter-TSS (YLR401C)	-177	YLR401C	YLR401C	YLR401C			DUS3			protein_coding
XVI-2	XVI	76380	76470	+	2452.5	0.651	promoter-TSS (YPL249C-A)	protein_coding-promoter-TSS (YPL249C-A)	-186	YPL249C-A	YPL249C-A	YPL249C-A			RPL36B			protein_coding
XIII-6	XIII	170091	170181	+	2452.5	0.587	promoter-TSS (YML052W)	protein_coding-promoter-TSS (YML052W)	-266	YML052W	YML052W	YML052W			SUR7			protein_coding
VIII-5	VIII	236180	236270	+	2452.5	0.737	promoter-TSS (YHR069C-A)	protein_coding-promoter-TSS (YHR069C-A)	287	YHR070C-A	YHR070C-A	YHR070C-A			YHR070C-A			protein_coding
X-9	X	455833	455923	+	2452.5	0.833	promoter-TSS (YJR010W)	protein_coding-promoter-TSS (YJR010W)	-361	YJR010W	YJR010W	YJR010W			MET3			protein_coding
VII-11	VII	774404	774494	+	2452.5	0.690	promoter-TSS (YGR143W)	protein_coding-promoter-TSS (YGR143W)	100	tA(AGC)G	tA(AGC)G	tA(AGC)G			tA(AGC)G			tRNA
XIV-6	XIV	331049	331139	+	2452.5	0.605	promoter-TSS (YNL162W)	protein_coding-promoter-TSS (YNL162W)	-228	YNL162W	YNL162W	YNL162W			RPL42A			protein_coding
X-8	X	294685	294775	+	2452.5	0.676	promoter-TSS (YJL076W)	protein_coding-promoter-TSS (YJL076W)	-69	YJL077W-A	YJL077W-A	YJL077W-A			YJL077W-A			protein_coding
V-11	V	117930	118020	+	2452.5	0.682	promoter-TSS (RPR1)	ncRNA-promoter-TSS (RPR1)	60	RPR1	RPR1	RPR1			RPR1			ncRNA
XV-11	XV	494542	494632	+	2452.5	0.622	promoter-TSS (YOR092W)	protein_coding-promoter-TSS (YOR092W)	-540	YOR092W	YOR092W	YOR092W			ECM3			protein_coding
VII-7	VII	398204	398294	+	2452.5	0.582	promoter-TSS (YGL055W)	protein_coding-promoter-TSS (YGL055W)	-379	YGL055W	YGL055W	YGL055W			OLE1			protein_coding
V-14	V	281148	281238	+	2452.5	0.744	promoter-TSS (YER062C)	protein_coding-promoter-TSS (YER062C)	-511	YER062C	YER062C	YER062C			GPP2			protein_coding
VII-10	VII	739252	739342	+	2452.5	0.600	promoter-TSS (YGR124W)	protein_coding-promoter-TSS (YGR124W)	175	tI(AAU)G	tI(AAU)G	tI(AAU)G			tI(AAU)G			tRNA
III-4	III	68599	68689	+	2354.4	0.757	promoter-TSS (YCL030C)	protein_coding-promoter-TSS (YCL030C)	-311	YCL030C	YCL030C	YCL030C			HIS4			protein_coding
II-7	II	614247	614337	+	2354.4	0.707	promoter-TSS (YBR196C)	protein_coding-promoter-TSS (YBR196C)	-119	YBR196C-A	YBR196C-A	YBR196C-A			YBR196C-A			protein_coding
XIV-9	XIV	663945	664035	+	2354.4	0.737	promoter-TSS (YNR018W)	protein_coding-promoter-TSS (YNR018W)	-280	YNR018W	YNR018W	YNR018W			RCF2			protein_coding
IV-4	IV	1165072	1165162	+	2354.4	0.711	promoter-TSS (YDR345C)	protein_coding-promoter-TSS (YDR345C)	-457	YDR345C	YDR345C	YDR345C			HXT3			protein_coding
XV-10	XV	877848	877938	+	2354.4	0.725	promoter-TSS (YOR298C-A)	protein_coding-promoter-TSS (YOR298C-A)	-208	YOR298C-A	YOR298C-A	YOR298C-A			MBF1			protein_coding
XIV-8	XIV	661996	662086	+	2354.4	0.571	promoter-TSS (YNR016C)	protein_coding-promoter-TSS (YNR016C)	-667	YNR016C	YNR016C	YNR016C			ACC1			protein_coding
II-5	II	426963	427053	+	2354.4	0.750	promoter-TSS (YBR089C-A)	protein_coding-promoter-TSS (YBR089C-A)	50	YBR090C	YBR090C	YBR090C			YBR090C			protein_coding
VII-13	VII	149123	149213	+	2354.4	0.571	promoter-TSS (YGL188C-A)	protein_coding-promoter-TSS (YGL188C-A)	-204	YGL188C-A	YGL188C-A	YGL188C-A			YGL188C-A			protein_coding
XVI-4	XVI	406402	406492	+	2354.4	0.806	promoter-TSS (YPL079W)	protein_coding-promoter-TSS (YPL079W)	51	YPL080C	YPL080C	YPL080C			YPL080C			protein_coding
XVI-11	XVI	794654	794744	+	2354.4	0.585	promoter-TSS (YPR130C)	protein_coding-promoter-TSS (YPR130C)	-201	YPR131C	YPR131C	YPR131C			NAT3			protein_coding
IV-6	IV	1355715	1355805	+	2354.4	0.561	promoter-TSS (YDR447C)	protein_coding-promoter-TSS (YDR447C)	-207	YDR447C	YDR447C	YDR447C			RPS17B			protein_coding
VII-15	VII	788421	788511	+	2354.4	0.630	promoter-TSS (YGR148C)	protein_coding-promoter-TSS (YGR148C)	-565	YGR149W	YGR149W	YGR149W			YGR149W			protein_coding
IV-5	IV	411398	411488	+	2354.4	0.652	promoter-TSS (YDL022W)	protein_coding-promoter-TSS (YDL022W)	-382	YDL022W	YDL022W	YDL022W			GPD1			protein_coding
XVI-8	XVI	281829	281919	+	2354.4	0.730	promoter-TSS (YPL143W)	protein_coding-promoter-TSS (YPL143W)	-248	YPL143W	YPL143W	YPL143W			RPL33A			protein_coding
X-7	X	90213	90303	+	2354.4	0.829	promoter-TSS (YJL177W)	protein_coding-promoter-TSS (YJL177W)	-161	YJL178C	YJL178C	YJL178C			ATG27			protein_coding
X-5	X	639526	639616	+	2354.4	0.542	promoter-TSS (YJR113C)	protein_coding-promoter-TSS (YJR113C)	-371	YJR115W	YJR115W	YJR115W			YJR115W			protein_coding
I-4	I	68327	68417	+	2354.4	0.540	promoter-TSS (YAL040C)	protein_coding-promoter-TSS (YAL040C)	-852	YAL040C	YAL040C	YAL040C			CLN3			protein_coding
III-3	III	697	787	+	2354.4	0.658	promoter-TSS (YCL076W)	protein_coding-promoter-TSS (YCL076W)	-650	YCL076W	YCL076W	YCL076W			YCL076W			protein_coding
XV-14	XV	505516	505606	+	2354.4	0.628	promoter-TSS (YOR096W)	protein_coding-promoter-TSS (YOR096W)	-233	YOR096W	YOR096W	YOR096W			RPS7A			protein_coding
XIV-7	XIV	355514	355604	+	2354.4	0.692	promoter-TSS (YNL144C)	protein_coding-promoter-TSS (YNL144C)	-517	YNL144C	YNL144C	YNL144C			YNL144C			protein_coding
IV-10	IV	836164	836254	+	2354.4	0.788	promoter-TSS (YDR186C)	protein_coding-promoter-TSS (YDR186C)	-212	YDR188W	YDR188W	YDR188W			CCT6			protein_coding
XI-6	XI	258749	258839	+	2256.3	0.644	promoter-TSS (YKL096W-A)	protein_coding-promoter-TSS (YKL096W-A)	119	YKL097C	YKL097C	YKL097C			YKL097C			protein_coding
XIII-7	XIII	5518	5608	+	2256.3	0.889	promoter-TSS (YML133C)	protein_coding-promoter-TSS (YML133C)	-879	YML133C	YML133C	YML133C			YML133C			protein_coding
VI-6	VI	183159	183249	+	2256.3	0.698	promoter-TSS (YFR017C)	protein_coding-promoter-TSS (YFR017C)	-343	YFR017C	YFR017C	YFR017C			IGD1			protein_coding
XVI-5	XVI	425504	425594	+	2256.3	0.531	promoter-TSS (YPL066W)	protein_coding-promoter-TSS (YPL066W)	298	YPL067C	YPL067C	YPL067C			YPL067C			protein_coding
IV-8	IV	307932	308022	+	2256.3	0.641	promoter-TSS (YDL082W)	protein_coding-promoter-TSS (YDL082W)	-188	YDL083C	YDL083C	YDL083C			RPS16B			protein_coding
XV-13	XV	866818	866908	+	2256.3	0.622	promoter-TSS (YOR292C)	protein_coding-promoter-TSS (YOR292C)	-235	YOR293W	YOR293W	YOR293W			RPS10A			protein_coding
V-12	V	284770	284860	+	2256.3	0.571	promoter-TSS (YER064C)	protein_coding-promoter-TSS (YER064C)	-593	YER064C	YER064C	YER064C			VHR2			protein_coding
VIII-8	VIII	375108	375198	+	2256.3	0.893	promoter-TSS (YHR135C)	protein_coding-promoter-TSS (YHR135C)	-53	YHR136C	YHR136C	YHR136C			SPL2			protein_coding
XI-4	XI	614982	615072	+	2256.3	0.750	promoter-TSS (YKR093W)	protein_coding-promoter-TSS (YKR093W)	-703	YKR093W	YKR093W	YKR093W			PTR2			protein_coding
XII-16	XII	809379	809469	+	2256.3	0.550	promoter-TSS (YLR342W)	protein_coding-promoter-TSS (YLR342W)	-573	YLR342W	YLR342W	YLR342W			FKS1			protein_coding
XIII-9	XIII	69842	69932	+	2256.3	0.683	promoter-TSS (YML100W)	protein_coding-promoter-TSS (YML100W)	-161	YML101C-A	YML101C-A	YML101C-A			YML101C-A			protein_coding
XV-16	XV	836759	836849	+	2256.3	0.718	promoter-TSS (YOR273C)	protein_coding-promoter-TSS (YOR273C)	-373	YOR273C	YOR273C	YOR273C			TPO4			protein_coding
X-6	X	703254	703344	+	2256.3	0.705	promoter-TSS (YJR145C)	protein_coding-promoter-TSS (YJR145C)	-231	YJR145C	YJR145C	YJR145C			RPS4A			protein_coding
V-16	V	192159	192249	+	2256.3	0.735	promoter-TSS (YER017C)	protein_coding-promoter-TSS (YER017C)	-416	YER017C	YER017C	YER017C			AFG3			protein_coding
VII-14	VII	413300	413390	+	2256.3	0.674	promoter-TSS (YGL045W)	protein_coding-promoter-TSS (YGL045W)	-757	YGL045W	YGL045W	YGL045W			RIM8			protein_coding
VI-7	VI	221618	221708	+	2256.3	0.674	promoter-TSS (RUF23)	ncRNA-promoter-TSS (RUF23)	-51	RUF23	RUF23	RUF23			RUF23			ncRNA
IV-12	IV	1429262	1429352	+	2256.3	0.532	promoter-TSS (YDR487C)	protein_coding-promoter-TSS (YDR487C)	-327	YDR487C	YDR487C	YDR487C			RIB3			protein_coding
XI-5	XI	411	501	+	2256.3	0.600	promoter-TSS (YKL225W)	protein_coding-promoter-TSS (YKL225W)	5	YKL225W	YKL225W	YKL225W			YKL225W			protein_coding
IV-9	IV	811925	812015	+	2256.3	0.788	promoter-TSS (YDR173C)	protein_coding-promoter-TSS (YDR173C)	-140	YDR174W	YDR174W	YDR174W			HMO1			protein_coding
III-2	III	316022	316112	+	2256.3	0.757	TTS (YCR108C)	protein_coding-TTS (YCR108C)	121	YCR108C	YCR108C	YCR108C			YCR108C			protein_coding
