# HOMER Peaks
# Peak finding parameters:
# tag directory = SPT5_T0_R1_Tagdir
#
# total peaks = 668
# peak size = 90
# peaks found using tags on both strands
# minimum distance between peaks = 180
# fragment length = 76
# genome size = 12127764
# Total tags = 50968.0
# Total tags in peaks = 6691.0
# Approximate IP efficiency = 13.13%
# tags per bp = 0.004166
# expected tags per peak = 0.375
# maximum tags considered per bp = 1.0
# effective number of tags used for normalization = 10000000.0
# Peaks have been centered at maximum tag pile-up
# FDR rate threshold = 0.001000000
# FDR effective poisson threshold = 2.800003e-06
# FDR tag threshold = 6.0
# number of putative peaks = 820
#
# input tag directory = SPT5_T0_R1_controlTagdir
# Fold over input required = 4.00
# Poisson p-value over input required = 1.00e-04
# Putative peaks filtered by input = 96
#
# size of region used for local filtering = 10000
# Fold over local region required = 4.00
# Poisson p-value over local region required = 1.00e-04
# Putative peaks filtered by local signal = 56
#
# Maximum fold under expected unique positions for tags = 2.00
# Putative peaks filtered for being too clonal = 0
#
# cmd = findPeaks SPT5_T0_R1_Tagdir -style factor -i SPT5_T0_R1_controlTagdir -o SPT5_T0_R1_homer_narrowPeak.txt
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	focus ratio	findPeaks Score	Total Tags	Control Tags (normalized to IP Experiment)	Fold Change vs Control	p-value vs Control	Fold Change vs Local	p-value vs Local	Clonal Fold Change
V-3	V	85144	85234	+	4218.3	0.692	21.500000	21.5	0.9	23.29	1.46e-21	22.33	3.36e-21	0.88
V-2	V	442086	442176	+	4218.3	0.716	22.500000	21.5	0.9	23.29	1.46e-21	21.23	9.70e-21	0.88
XII-5	XII	489567	489657	+	4218.3	0.743	22.000000	21.5	0.6	34.93	3.97e-25	29.78	1.02e-23	0.88
XIII-2	XIII	923794	923884	+	4218.3	0.657	21.500000	21.5	0.6	34.93	3.97e-25	33.82	7.66e-25	0.88
XV-2	XV	142	232	+	3924.0	0.512	21.000000	20.0	1.8	10.83	1.51e-14	30.80	3.81e-23	0.90
XV-1	XV	109717	109807	+	3924.0	0.573	22.000000	20.0	0.3	64.98	1.76e-29	16.07	9.95e-18	0.90
II-1	II	5851	5941	+	3825.9	0.763	20.000000	19.5	0.6	31.68	4.40e-22	38.34	1.30e-23	0.88
V-4	V	396508	396598	+	3531.6	0.709	18.000000	18.0	0.9	19.50	1.48e-17	35.08	5.68e-22	0.91
VII-2	VII	1084263	1084353	+	3531.6	0.642	18.500000	18.0	1.2	14.62	2.06e-15	36.70	2.58e-22	0.91
IX-1	IX	439692	439782	+	3433.5	0.723	20.500000	17.5	0.3	56.86	4.12e-24	29.42	2.27e-19	0.89
VI-3	VI	4514	4604	+	3433.5	0.712	16.000000	17.5	0.6	28.43	3.97e-19	24.24	5.38e-18	0.97
VI-2	VI	4901	4991	+	3433.5	0.629	18.000000	17.5	2.2	8.12	1.72e-10	23.94	6.59e-18	0.92
VII-1	VII	31	121	+	3433.5	0.731	19.000000	17.5	0.3	56.86	4.12e-24	47.58	8.03e-23	0.92
XV-5	XV	498	588	+	3433.5	0.826	17.500000	17.5	0.3	56.86	4.12e-24	24.39	4.85e-18	0.89
XV-4	XV	978882	978972	+	3433.5	0.621	18.000000	17.5	0.6	28.43	3.97e-19	16.98	1.78e-15	0.89
II-2	II	165195	165285	+	3335.4	0.652	18.000000	17.0	0.6	27.62	3.97e-19	15.73	3.80e-15	0.92
XII-7	XII	424326	424416	+	3335.4	0.615	17.500000	17.0	0.9	18.41	2.88e-16	21.03	3.36e-17	0.92
V-6	V	69232	69322	+	3237.3	0.648	16.500000	16.5	1.5	10.72	1.11e-11	17.64	6.45e-15	0.89
V-5	V	570217	570307	+	3237.3	0.702	17.500000	16.5	0.6	26.81	1.10e-17	22.29	1.85e-16	0.89
XIV-2	XIV	350017	350107	+	3237.3	0.557	17.500000	16.5	1.5	10.72	1.11e-11	26.33	1.44e-17	0.89
XII-6	XII	1028475	1028565	+	3139.2	0.716	18.000000	16.0	0.6	25.99	1.10e-17	25.91	1.15e-17	0.92
XIII-3	XIII	551336	551426	+	3139.2	0.581	16.500000	16.0	0.6	25.99	1.10e-17	29.36	1.67e-18	0.92
XIII-4	XIII	653414	653504	+	3139.2	0.745	16.500000	16.0	0.6	25.99	1.10e-17	20.73	3.51e-16	0.92
III-1	III	385	475	+	3041.1	0.689	15.000000	15.5	1.8	8.39	1.35e-09	41.63	1.93e-19	0.93
IV-2	IV	1524887	1524977	+	3041.1	0.795	16.000000	15.5	0.9	16.79	9.18e-14	20.44	5.65e-15	0.90
IX-2	IX	68396	68486	+	3041.1	0.585	17.000000	15.5	0.3	50.36	1.18e-20	41.13	2.31e-19	0.90
V-7	V	85389	85479	+	3041.1	0.557	16.500000	15.5	0.3	50.36	1.18e-20	15.73	2.29e-13	0.93
VI-4	VI	224884	224974	+	3041.1	0.714	16.000000	15.5	0.3	50.36	1.18e-20	8.21	1.82e-09	0.90
VII-3	VII	905586	905676	+	3041.1	0.590	16.500000	15.5	1.2	12.59	5.47e-12	19.07	1.51e-14	0.90
X-2	X	745489	745579	+	3041.1	0.750	16.000000	15.5	0.9	16.79	9.18e-14	55.96	2.51e-21	0.90
XII-8	XII	490607	490697	+	3041.1	0.667	15.500000	15.5	0.3	50.36	1.18e-20	19.28	1.29e-14	0.90
XII-9	XII	1065337	1065427	+	3041.1	0.850	15.500000	15.5	0.3	50.36	1.18e-20	17.33	5.88e-14	0.90
XIV-3	XIV	783844	783934	+	3041.1	0.680	15.500000	15.5	0.9	16.79	9.18e-14	39.23	4.59e-19	0.93
XV-3	XV	988128	988218	+	3041.1	0.727	19.000000	15.5	0.9	16.79	9.18e-14	11.34	2.31e-11	0.90
IX-3	IX	439310	439400	+	2943.0	0.696	16.000000	15.0	0.6	24.37	2.85e-16	24.29	2.99e-16	0.93
VII-6	VII	384718	384808	+	2943.0	0.766	15.500000	15.0	0.3	48.74	1.18e-20	35.14	1.42e-18	0.96
X-1	X	663139	663229	+	2943.0	0.694	16.000000	15.0	1.5	9.75	1.17e-10	25.81	1.25e-16	0.93
XI-2	XI	666534	666624	+	2943.0	0.600	15.000000	15.0	0.9	16.25	9.18e-14	34.41	1.93e-18	0.99
XV-6	XV	619371	619461	+	2943.0	0.561	16.500000	15.0	1.8	8.12	1.35e-09	26.86	7.02e-17	0.93
IX-4	IX	248980	249070	+	2844.9	0.696	15.500000	14.5	0.3	47.11	5.77e-19	16.13	1.05e-12	0.90
V-10	V	491220	491310	+	2844.9	0.659	14.500000	14.5	0.9	15.70	1.49e-12	29.84	2.88e-16	0.90
VII-5	VII	271930	272020	+	2844.9	0.550	15.500000	14.5	1.2	11.78	6.70e-11	15.21	2.27e-12	0.90
XII-10	XII	370838	370928	+	2844.9	0.729	15.000000	14.5	0.6	23.56	6.95e-15	11.78	6.66e-11	0.90
XIII-5	XIII	408298	408388	+	2844.9	0.646	14.500000	14.5	0.9	15.70	1.49e-12	21.72	2.05e-14	0.93
IX-5	IX	254528	254618	+	2746.8	0.516	15.000000	14.0	0.3	45.49	5.77e-19	11.09	9.24e-11	0.93
V-8	V	442375	442465	+	2746.8	0.603	15.500000	14.0	0.3	45.49	5.77e-19	13.06	1.11e-11	0.93
VIII-3	VIII	556668	556758	+	2746.8	0.559	14.000000	14.0	1.2	11.37	6.70e-11	35.04	2.04e-17	0.93
XI-3	XI	666162	666252	+	2746.8	0.806	13.500000	14.0	0.3	45.49	5.77e-19	31.46	8.78e-17	1.00
XII-12	XII	5699	5789	+	2746.8	0.667	14.000000	14.0	0.3	45.49	5.77e-19	90.68	4.30e-23	1.00
XV-8	XV	978501	978591	+	2746.8	0.727	14.500000	14.0	0.3	45.49	5.77e-19	13.29	8.92e-12	0.97
II-3	II	89580	89670	+	2648.7	0.721	14.500000	13.5	0.9	14.62	2.26e-11	36.70	2.51e-16	0.90
IV-7	IV	1359696	1359786	+	2648.7	0.730	13.500000	13.5	0.6	21.93	1.58e-13	20.50	3.63e-13	0.90
IV-3	IV	1490341	1490431	+	2648.7	0.633	15.000000	13.5	0.3	43.86	2.62e-17	12.98	1.02e-10	0.90
V-9	V	140667	140757	+	2648.7	0.729	14.500000	13.5	1.2	10.97	7.66e-10	18.47	1.32e-12	0.90
VII-4	VII	271361	271451	+	2648.7	0.727	15.500000	13.5	0.3	43.86	2.62e-17	14.16	3.34e-11	0.90
VII-9	VII	625321	625411	+	2648.7	0.727	13.500000	13.5	0.6	21.93	1.58e-13	52.16	2.90e-18	0.90
VIII-2	VIII	126209	126299	+	2648.7	0.737	14.500000	13.5	0.3	43.86	2.62e-17	17.91	1.92e-12	0.90
X-3	X	160114	160204	+	2648.7	0.667	14.500000	13.5	0.3	43.86	2.62e-17	23.41	7.04e-14	0.90
XII-11	XII	1064499	1064589	+	2648.7	0.744	15.000000	13.5	0.3	43.86	2.62e-17	14.43	2.65e-11	0.90
XII-13	XII	1071613	1071703	+	2648.7	0.738	13.500000	13.5	0.9	14.62	2.26e-11	102.52	5.04e-22	0.90
XIV-4	XIV	559394	559484	+	2648.7	0.635	14.000000	13.5	0.3	43.86	2.62e-17	34.17	6.18e-16	0.90
XV-12	XV	987752	987842	+	2648.7	0.680	13.000000	13.5	0.6	21.93	1.58e-13	9.78	2.96e-09	0.94
XVI-3	XVI	75386	75476	+	2648.7	0.660	13.500000	13.5	0.9	14.62	2.26e-11	16.34	5.90e-12	0.90
I-2	I	230026	230116	+	2550.6	0.767	14.000000	13.0	1.5	8.45	1.05e-08	32.53	7.13e-16	0.94
II-4	II	168198	168288	+	2550.6	0.667	13.000000	13.0	1.2	10.56	7.66e-10	10.76	6.11e-10	0.94
IX-6	IX	99623	99713	+	2550.6	0.571	13.500000	13.0	0.9	14.08	2.26e-11	18.83	6.50e-13	0.94
VIII-4	VIII	382933	383023	+	2550.6	0.698	13.500000	13.0	1.2	10.56	7.66e-10	20.45	2.36e-13	0.94
XIV-5	XIV	7077	7167	+	2550.6	0.600	13.000000	13.0	0.9	14.08	2.26e-11	22.37	7.76e-14	0.94
XVI-6	XVI	502482	502572	+	2550.6	0.659	12.500000	13.0	0.3	42.24	2.62e-17	24.26	2.82e-14	0.97
V-11	V	117930	118020	+	2452.5	0.682	13.000000	12.5	0.3	40.61	1.11e-15	29.60	4.40e-14	0.90
V-14	V	281148	281238	+	2452.5	0.744	12.500000	12.5	0.3	40.61	1.11e-15	15.21	8.72e-11	0.90
V-13	V	335515	335605	+	2452.5	0.725	13.000000	12.5	0.6	20.31	3.34e-12	28.67	6.36e-14	0.90
V-15	V	435680	435770	+	2452.5	0.780	12.500000	12.5	0.3	40.61	1.11e-15	12.23	1.05e-09	0.90
VII-8	VII	430	520	+	2452.5	0.857	13.500000	12.5	0.3	40.61	1.11e-15	30.25	3.42e-14	0.98
VII-7	VII	398204	398294	+	2452.5	0.582	14.000000	12.5	0.6	20.31	3.34e-12	16.68	3.09e-11	0.90
VII-10	VII	739252	739342	+	2452.5	0.600	13.500000	12.5	0.6	20.31	3.34e-12	25.49	2.47e-13	0.90
VII-11	VII	774404	774494	+	2452.5	0.690	13.500000	12.5	0.3	40.61	1.11e-15	27.26	1.14e-13	0.90
VII-12	VII	1083894	1083984	+	2452.5	0.696	13.500000	12.5	0.9	13.54	3.18e-10	23.13	7.54e-13	0.90
VIII-5	VIII	236180	236270	+	2452.5	0.737	12.500000	12.5	0.3	40.61	1.11e-15	29.60	4.40e-14	0.90
X-8	X	294685	294775	+	2452.5	0.676	12.500000	12.5	0.6	20.31	3.34e-12	17.31	2.03e-11	0.90
X-4	X	391982	392072	+	2452.5	0.767	14.000000	12.5	1.5	8.12	8.95e-08	24.36	4.16e-13	0.90
X-9	X	455833	455923	+	2452.5	0.833	12.500000	12.5	0.3	40.61	1.11e-15	24.36	4.16e-13	0.90
XII-15	XII	11321	11411	+	2452.5	0.625	12.000000	12.5	0.6	20.31	3.34e-12	30.25	3.42e-14	0.94
XII-14	XII	924580	924670	+	2452.5	0.684	12.500000	12.5	0.6	20.31	3.34e-12	14.96	1.05e-10	0.90
XIII-6	XIII	170091	170181	+	2452.5	0.587	13.000000	12.5	1.2	10.15	8.15e-09	31.64	2.03e-14	0.94
XIV-6	XIV	331049	331139	+	2452.5	0.605	13.000000	12.5	0.3	40.61	1.11e-15	28.38	7.17e-14	0.90
XV-7	XV	109352	109442	+	2452.5	0.542	14.500000	12.5	0.3	40.61	1.11e-15	9.63	1.46e-08	0.90
XV-9	XV	161185	161275	+	2452.5	0.510	14.000000	12.5	0.3	40.61	1.11e-15	13.05	4.79e-10	0.90
XV-11	XV	494542	494632	+	2452.5	0.622	13.000000	12.5	0.9	13.54	3.18e-10	28.67	6.36e-14	0.90
XVI-2	XVI	76380	76470	+	2452.5	0.651	14.000000	12.5	1.2	10.15	8.15e-09	14.41	1.59e-10	0.90
XVI-7	XVI	822275	822365	+	2452.5	0.737	12.500000	12.5	0.6	20.31	3.34e-12	26.22	1.79e-13	0.90
XVI-1	XVI	829222	829312	+	2452.5	0.628	14.500000	12.5	0.6	20.31	3.34e-12	22.75	9.12e-13	0.90
I-4	I	68327	68417	+	2354.4	0.540	12.000000	12.0	0.9	13.00	3.18e-10	9.31	1.35e-08	0.94
II-5	II	426963	427053	+	2354.4	0.750	13.000000	12.0	0.3	38.99	1.11e-15	39.44	9.68e-16	0.94
II-7	II	614247	614337	+	2354.4	0.707	12.500000	12.0	0.3	38.99	1.11e-15	22.40	6.84e-13	0.94
III-3	III	697	787	+	2354.4	0.658	12.000000	12.0	0.9	13.00	3.18e-10	29.04	3.42e-14	0.94
III-4	III	68599	68689	+	2354.4	0.757	12.000000	12.0	0.3	38.99	1.11e-15	33.45	6.62e-15	0.94
IV-5	IV	411398	411488	+	2354.4	0.652	13.500000	12.0	0.9	13.00	3.18e-10	13.62	1.89e-10	0.98
IV-10	IV	836164	836254	+	2354.4	0.788	12.500000	12.0	0.6	19.50	3.34e-12	31.46	1.35e-14	0.94
IV-4	IV	1165072	1165162	+	2354.4	0.711	14.000000	12.0	0.3	38.99	1.11e-15	17.27	1.32e-11	0.94
IV-6	IV	1355715	1355805	+	2354.4	0.561	13.500000	12.0	0.3	38.99	1.11e-15	18.61	5.66e-12	0.94
VII-13	VII	149123	149213	+	2354.4	0.571	13.000000	12.0	0.3	38.99	1.11e-15	20.49	1.90e-12	0.94
VII-15	VII	788421	788511	+	2354.4	0.630	13.000000	12.0	0.9	13.00	3.18e-10	17.39	1.22e-11	0.94
X-7	X	90213	90303	+	2354.4	0.829	12.500000	12.0	0.3	38.99	1.11e-15	23.60	3.76e-13	0.94
X-5	X	639526	639616	+	2354.4	0.542	13.500000	12.0	0.3	38.99	1.11e-15	17.39	1.22e-11	0.94
XIV-7	XIV	355514	355604	+	2354.4	0.692	13.000000	12.0	0.3	38.99	1.11e-15	20.81	1.59e-12	0.94
XIV-8	XIV	661996	662086	+	2354.4	0.571	12.500000	12.0	0.9	13.00	3.18e-10	17.39	1.22e-11	0.94
XIV-9	XIV	663945	664035	+	2354.4	0.737	12.000000	12.0	0.3	38.99	1.11e-15	15.92	3.31e-11	0.94
XV-14	XV	505516	505606	+	2354.4	0.628	12.000000	12.0	0.3	38.99	1.11e-15	30.03	2.32e-14	0.94
XV-10	XV	877848	877938	+	2354.4	0.725	14.000000	12.0	0.6	19.50	3.34e-12	16.31	2.51e-11	0.94
XVI-8	XVI	281829	281919	+	2354.4	0.730	12.000000	12.0	0.3	38.99	1.11e-15	24.47	2.47e-13	0.94
XVI-4	XVI	406402	406492	+	2354.4	0.806	13.000000	12.0	0.3	38.99	1.11e-15	26.17	1.14e-13	0.94
XVI-11	XVI	794654	794744	+	2354.4	0.585	11.500000	12.0	0.3	38.99	1.11e-15	24.70	2.22e-13	1.03
III-2	III	316022	316112	+	2256.3	0.757	13.000000	11.5	1.5	7.47	7.06e-07	29.79	4.82e-13	0.91
IV-8	IV	307932	308022	+	2256.3	0.641	12.500000	11.5	0.6	18.68	6.51e-11	24.12	4.50e-12	0.91
IV-9	IV	811925	812015	+	2256.3	0.788	12.500000	11.5	0.3	37.37	4.32e-14	25.33	2.69e-12	0.91
IV-12	IV	1429262	1429352	+	2256.3	0.532	12.500000	11.5	0.3	37.37	4.32e-14	27.53	1.12e-12	0.91
V-16	V	192159	192249	+	2256.3	0.735	12.000000	11.5	0.3	37.37	4.32e-14	19.79	3.58e-11	0.91
V-12	V	284770	284860	+	2256.3	0.571	13.000000	11.5	0.3	37.37	4.32e-14	12.79	3.16e-09	0.91
VI-6	VI	183159	183249	+	2256.3	0.698	11.500000	11.5	0.9	12.46	4.14e-09	19.04	5.34e-11	0.91
VI-7	VI	221618	221708	+	2256.3	0.674	11.500000	11.5	0.9	12.46	4.14e-09	6.41	3.02e-06	0.91
VII-14	VII	413300	413390	+	2256.3	0.674	13.000000	11.5	0.6	18.68	6.51e-11	24.12	4.50e-12	0.91
VIII-8	VIII	375108	375198	+	2256.3	0.893	11.000000	11.5	0.6	18.68	6.51e-11	30.15	4.25e-13	0.95
X-6	X	703254	703344	+	2256.3	0.705	13.000000	11.5	0.3	37.37	4.32e-14	11.67	7.95e-09	0.91
XI-5	XI	411	501	+	2256.3	0.600	11.500000	11.5	0.9	12.46	4.14e-09	20.59	2.36e-11	0.95
XI-6	XI	258749	258839	+	2256.3	0.644	11.500000	11.5	0.3	37.37	4.32e-14	15.17	5.60e-10	0.91
XI-4	XI	614982	615072	+	2256.3	0.750	12.000000	11.5	0.3	37.37	4.32e-14	21.10	1.83e-11	0.91
XII-16	XII	809379	809469	+	2256.3	0.550	12.000000	11.5	0.3	37.37	4.32e-14	15.93	3.38e-10	0.91
XIII-7	XIII	5518	5608	+	2256.3	0.889	11.000000	11.5	1.5	7.47	7.06e-07	168.84	3.43e-21	0.95
XIII-9	XIII	69842	69932	+	2256.3	0.683	10.500000	11.5	0.3	37.37	4.32e-14	22.41	9.74e-12	0.99
XIV-10	XIV	783583	783673	+	2256.3	0.684	11.500000	11.5	0.6	18.68	6.51e-11	25.84	2.18e-12	0.95
XV-16	XV	836759	836849	+	2256.3	0.718	11.500000	11.5	0.3	37.37	4.32e-14	20.76	2.17e-11	0.91
XV-13	XV	866818	866908	+	2256.3	0.622	12.500000	11.5	0.3	37.37	4.32e-14	34.69	9.55e-14	0.91
XVI-5	XVI	425504	425594	+	2256.3	0.531	12.500000	11.5	0.9	12.46	4.14e-09	21.83	1.28e-11	0.91
I-3	I	398	488	+	2158.2	0.767	13.000000	11.0	1.2	8.94	8.02e-08	16.04	1.99e-10	0.99
I-5	I	229643	229733	+	2158.2	0.758	12.000000	11.0	0.9	11.91	4.14e-09	26.33	1.12e-12	0.95
II-6	II	45406	45496	+	2158.2	0.622	12.500000	11.0	1.2	8.94	8.02e-08	15.33	3.17e-10	0.95
III-5	III	78345	78435	+	2158.2	0.522	12.000000	11.0	0.3	35.74	4.32e-14	23.29	4.07e-12	0.95
III-7	III	123523	123613	+	2158.2	0.727	11.500000	11.0	0.3	35.74	4.32e-14	12.62	2.32e-09	0.95
IV-16	IV	1301413	1301503	+	2158.2	0.727	11.000000	11.0	0.9	11.91	4.14e-09	25.77	1.40e-12	0.95
IV-14	IV	1469123	1469213	+	2158.2	0.523	11.500000	11.0	0.3	35.74	4.32e-14	15.73	2.43e-10	0.95
MT-3	MT	40340	40430	+	2158.2	0.786	11.000000	11.0	0.3	35.74	4.32e-14	11.32	6.92e-09	0.95
VI-5	VI	5177	5267	+	2158.2	0.839	12.000000	11.0	2.2	5.11	1.64e-05	13.92	8.52e-10	0.99
VI-9	VI	95558	95648	+	2158.2	0.611	11.000000	11.0	1.5	7.15	7.06e-07	16.26	1.73e-10	0.99
VII-16	VII	856884	856974	+	2158.2	0.542	12.500000	11.0	0.9	11.91	4.14e-09	14.59	5.26e-10	0.95
VIII-7	VIII	297000	297090	+	2158.2	0.658	11.000000	11.0	0.6	17.87	6.51e-11	20.53	1.53e-11	0.95
XII-18	XII	728402	728492	+	2158.2	0.488	11.000000	11.0	0.3	35.74	4.32e-14	16.94	1.13e-10	0.95
XII-19	XII	783703	783793	+	2158.2	0.622	11.000000	11.0	0.3	35.74	4.32e-14	15.73	2.43e-10	0.95
XV-15	XV	901378	901468	+	2158.2	0.710	12.000000	11.0	0.6	17.87	6.51e-11	23.52	3.68e-12	0.95
XVI-14	XVI	641431	641521	+	2158.2	0.550	11.000000	11.0	0.3	35.74	4.32e-14	10.44	1.70e-08	0.95
XVI-9	XVI	942615	942705	+	2158.2	0.800	12.000000	11.0	0.6	17.87	6.51e-11	71.25	2.55e-17	0.95
II-8	II	337016	337106	+	2060.1	0.800	10.500000	10.5	0.9	11.37	4.93e-08	17.52	9.06e-10	0.91
IV-13	IV	550967	551057	+	2060.1	0.622	12.000000	10.5	0.9	11.37	4.93e-08	16.17	1.92e-09	0.91
IV-11	IV	1401483	1401573	+	2060.1	0.650	12.500000	10.5	0.3	34.12	1.54e-12	29.27	6.79e-12	0.91
V-19	V	123189	123279	+	2060.1	0.636	10.500000	10.5	0.3	34.12	1.54e-12	20.83	1.76e-10	0.91
V-17	V	545222	545312	+	2060.1	0.733	11.500000	10.5	0.3	34.12	1.54e-12	24.34	3.99e-11	0.91
V-18	V	569843	569933	+	2060.1	0.706	11.000000	10.5	1.2	8.53	7.23e-07	13.21	1.25e-08	0.95
VI-8	VI	95300	95390	+	2060.1	0.742	11.000000	10.5	0.9	11.37	4.93e-08	12.85	1.62e-08	0.91
VII-18	VII	920165	920255	+	2060.1	0.806	11.000000	10.5	0.3	34.12	1.54e-12	25.13	2.94e-11	0.91
VII-17	VII	987274	987364	+	2060.1	0.686	11.500000	10.5	0.6	17.06	1.16e-09	21.61	1.24e-10	0.91
XI-7	XI	518705	518795	+	2060.1	0.758	10.500000	10.5	1.8	5.69	2.40e-05	10.32	1.30e-07	0.91
XI-8	XI	590028	590118	+	2060.1	0.724	10.500000	10.5	0.3	34.12	1.54e-12	42.04	2.03e-13	0.91
XII-21	XII	241990	242080	+	2060.1	0.786	10.500000	10.5	0.3	34.12	1.54e-12	39.87	3.40e-13	0.91
XII-17	XII	370404	370494	+	2060.1	0.614	11.500000	10.5	0.3	34.12	1.54e-12	8.35	8.76e-07	0.91
XII-23	XII	723489	723579	+	2060.1	0.697	10.500000	10.5	0.3	34.12	1.54e-12	15.42	3.00e-09	0.91
XII-20	XII	828438	828528	+	2060.1	0.686	11.000000	10.5	0.9	11.37	4.93e-08	15.73	2.48e-09	0.91
XV-17	XV	882327	882417	+	2060.1	0.667	11.500000	10.5	0.3	34.12	1.54e-12	14.27	6.13e-09	0.91
XV-22	XV	979208	979298	+	2060.1	0.684	10.500000	10.5	0.6	17.06	1.16e-09	9.52	2.72e-07	0.91
XVI-12	XVI	40443	40533	+	2060.1	0.743	11.000000	10.5	0.3	34.12	1.54e-12	25.41	2.65e-11	0.91
II-10	II	680164	680254	+	1962.0	0.846	10.000000	10.0	0.3	32.49	1.54e-12	22.47	5.38e-11	0.95
III-6	III	137419	137509	+	1962.0	0.521	12.000000	10.0	0.9	10.83	4.93e-08	14.68	3.00e-09	0.95
IV-18	IV	930525	930615	+	1962.0	0.808	10.500000	10.0	0.3	32.49	1.54e-12	20.39	1.36e-10	0.95
IX-7	IX	139238	139328	+	1962.0	0.647	10.000000	10.0	0.3	32.49	1.54e-12	14.12	4.32e-09	0.95
IX-8	IX	249486	249576	+	1962.0	0.611	10.000000	10.0	0.3	32.49	1.54e-12	8.47	4.98e-07	0.95
MT-2	MT	31190	31280	+	1962.0	0.733	11.000000	10.0	0.6	16.25	1.16e-09	17.07	7.30e-10	0.95
V-20	V	191978	192068	+	1962.0	0.710	10.500000	10.0	0.6	16.25	1.16e-09	16.81	8.43e-10	0.95
VII-22	VII	809813	809903	+	1962.0	0.714	10.500000	10.0	0.3	32.49	1.54e-12	22.47	5.38e-11	0.95
VII-23	VII	883984	884074	+	1962.0	0.639	10.500000	10.0	1.5	6.50	5.11e-06	12.80	1.07e-08	0.95
VIII-9	VIII	55454	55544	+	1962.0	0.645	10.000000	10.0	1.8	5.42	2.40e-05	14.98	2.48e-09	0.95
VIII-6	VIII	98538	98628	+	1962.0	0.667	12.000000	10.0	1.5	6.50	5.11e-06	18.35	3.69e-10	0.95
VIII-13	VIII	450866	450956	+	1962.0	0.697	9.500000	10.0	0.9	10.83	4.93e-08	11.90	2.08e-08	1.06
VIII-11	VIII	505807	505897	+	1962.0	0.636	10.000000	10.0	0.3	32.49	1.54e-12	23.18	3.99e-11	0.95
X-12	X	647137	647227	+	1962.0	0.645	10.000000	10.0	0.9	10.83	4.93e-08	17.07	7.30e-10	0.95
XII-26	XII	253448	253538	+	1962.0	0.575	10.000000	10.0	0.6	16.25	1.16e-09	27.19	8.64e-12	0.95
XII-28	XII	808992	809082	+	1962.0	0.622	10.000000	10.0	0.3	32.49	1.54e-12	13.35	7.26e-09	0.95
