# HOMER Peaks
# Peak finding parameters:
# tag directory = SPT5_T15_R2_Tagdir
#
# total peaks = 691
# peak size = 92
# peaks found using tags on both strands
# minimum distance between peaks = 184
# fragment length = 78
# genome size = 12121911
# Total tags = 61380.5
# Total tags in peaks = 6812.0
# Approximate IP efficiency = 11.10%
# tags per bp = 0.005015
# expected tags per peak = 0.461
# maximum tags considered per bp = 1.0
# effective number of tags used for normalization = 10000000.0
# Peaks have been centered at maximum tag pile-up
# FDR rate threshold = 0.001000000
# FDR effective poisson threshold = 5.908387e-07
# FDR tag threshold = 7.0
# number of putative peaks = 805
#
# input tag directory = SPT5_T15_R2_controlTagdir
# Fold over input required = 4.00
# Poisson p-value over input required = 1.00e-04
# Putative peaks filtered by input = 87
#
# size of region used for local filtering = 10000
# Fold over local region required = 4.00
# Poisson p-value over local region required = 1.00e-04
# Putative peaks filtered by local signal = 27
#
# Maximum fold under expected unique positions for tags = 2.00
# Putative peaks filtered for being too clonal = 0
#
# cmd = findPeaks SPT5_T15_R2_Tagdir -style factor -i SPT5_T15_R2_controlTagdir -o SPT5_T15_R2_homer_narrowPeak.txt
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	focus ratio	findPeaks Score	Total Tags	Control Tags (normalized to IP Experiment)	Fold Change vs Control	p-value vs Control	Fold Change vs Local	p-value vs Local	Clonal Fold Change
XV-7	XV	978668	978760	+	2280.9	0.532	14.500000	14.0	0.4	39.06	4.62e-18	14.85	1.95e-12	0.93
XVI-5	XVI	431898	431990	+	2280.9	0.667	14.000000	14.0	0.4	39.06	4.62e-18	13.83	5.29e-12	0.93
XVI-6	XVI	497848	497940	+	2280.9	0.714	14.000000	14.0	1.1	13.02	1.16e-11	18.85	8.50e-14	0.93
II-2	II	490663	490755	+	2199.4	0.588	14.500000	13.5	1.1	12.56	1.52e-10	15.22	1.39e-11	0.90
IX-4	IX	99644	99736	+	2199.4	0.673	13.000000	13.5	1.8	7.53	6.02e-08	21.54	1.98e-13	0.94
V-4	V	42208	42300	+	2199.4	0.714	14.500000	13.5	0.4	37.67	1.81e-16	25.96	1.94e-14	0.90
VII-5	VII	271402	271494	+	2199.4	0.769	14.500000	13.5	0.4	37.67	1.81e-16	13.91	4.11e-11	0.90
VII-6	VII	547463	547555	+	2199.4	0.702	14.500000	13.5	1.4	9.42	4.60e-09	22.37	1.24e-13	0.90
VII-4	VII	905547	905639	+	2199.4	0.723	15.000000	13.5	0.7	18.83	1.03e-12	15.80	8.82e-12	0.90
VIII-1	VIII	236160	236252	+	2199.4	0.571	13.500000	13.5	0.4	37.67	1.81e-16	21.22	2.37e-13	0.90
X-1	X	220370	220462	+	2199.4	0.636	15.500000	13.5	0.4	37.67	1.81e-16	22.20	1.36e-13	0.90
XI-1	XI	99741	99833	+	2199.4	0.525	15.500000	13.5	0.7	18.83	1.03e-12	19.13	8.54e-13	0.90
XII-5	XII	658412	658504	+	2199.4	0.569	13.500000	13.5	1.1	12.56	1.52e-10	18.17	1.60e-12	0.90
XIII-5	XIII	353056	353148	+	2199.4	0.545	13.500000	13.5	0.4	37.67	1.81e-16	14.76	2.02e-11	0.90
XIII-3	XIII	510956	511048	+	2199.4	0.545	15.500000	13.5	0.4	37.67	1.81e-16	18.52	1.27e-12	0.90
XIV-2	XIV	441118	441210	+	2199.4	0.660	14.500000	13.5	1.8	7.53	6.02e-08	16.34	5.89e-12	0.90
XV-5	XV	109260	109352	+	2199.4	0.865	14.500000	13.5	0.7	18.83	1.03e-12	14.39	2.73e-11	0.90
XV-6	XV	638992	639084	+	2199.4	0.596	14.500000	13.5	0.7	18.83	1.03e-12	21.86	1.64e-13	0.90
III-1	III	137149	137241	+	2117.9	0.806	13.500000	13.0	0.4	36.27	1.81e-16	22.95	5.63e-14	0.94
IV-5	IV	636170	636262	+	2117.9	0.727	13.500000	13.0	0.4	36.27	1.81e-16	29.17	2.82e-15	0.94
IV-4	IV	1429163	1429255	+	2117.9	0.732	14.500000	13.0	0.4	36.27	1.81e-16	25.93	1.23e-14	0.94
IX-3	IX	332890	332982	+	2117.9	0.583	13.500000	13.0	1.1	12.09	1.52e-10	20.00	3.10e-13	0.94
V-6	V	335511	335603	+	2117.9	0.600	13.500000	13.0	1.4	9.07	4.60e-09	16.47	3.36e-12	0.94
VI-3	VI	106528	106620	+	2117.9	0.560	13.000000	13.0	0.4	36.27	1.81e-16	11.34	3.29e-10	0.94
VII-7	VII	785738	785830	+	2117.9	0.612	14.500000	13.0	0.4	36.27	1.81e-16	17.95	1.17e-12	0.94
X-3	X	392007	392099	+	2117.9	0.700	14.000000	13.0	0.7	18.14	1.03e-12	22.22	8.40e-14	0.94
X-4	X	647170	647262	+	2117.9	0.789	13.500000	13.0	1.1	12.09	1.52e-10	24.14	3.00e-14	0.94
XII-4	XII	423978	424070	+	2117.9	0.721	14.000000	13.0	1.1	12.09	1.52e-10	17.95	1.17e-12	0.94
XIV-4	XIV	427191	427283	+	2117.9	0.619	13.000000	13.0	1.1	12.09	1.52e-10	25.46	1.55e-14	0.94
XIV-5	XIV	559280	559372	+	2117.9	0.633	13.000000	13.0	0.4	36.27	1.81e-16	28.28	4.14e-15	0.94
XV-8	XV	424312	424404	+	2117.9	0.653	14.000000	13.0	0.4	36.27	1.81e-16	20.59	2.17e-13	0.94
XV-12	XV	779564	779656	+	2117.9	0.711	13.000000	13.0	0.7	18.14	1.03e-12	25.46	1.55e-14	0.94
XVI-4	XVI	76393	76485	+	2117.9	0.683	14.000000	13.0	0.4	36.27	1.81e-16	18.07	1.09e-12	0.94
XVI-1	XVI	502789	502881	+	2117.9	0.660	15.000000	13.0	0.7	18.14	1.03e-12	13.40	4.11e-11	0.94
II-4	II	168166	168258	+	2036.5	0.720	14.000000	12.5	0.4	34.88	6.55e-15	11.97	1.35e-09	0.90
III-2	III	78341	78433	+	2036.5	0.510	13.000000	12.5	0.4	34.88	6.55e-15	25.64	2.31e-13	0.90
IV-6	IV	117429	117521	+	2036.5	0.879	13.000000	12.5	1.1	11.63	1.85e-09	32.05	1.75e-14	0.90
IV-8	IV	955244	955336	+	2036.5	0.636	13.000000	12.5	0.4	34.88	6.55e-15	17.71	1.57e-11	0.90
V-7	V	570278	570370	+	2036.5	0.727	13.000000	12.5	0.7	17.44	1.88e-11	18.44	9.97e-12	0.90
VII-9	VII	599051	599143	+	2036.5	0.630	13.500000	12.5	1.4	8.72	4.21e-08	22.07	1.29e-12	0.90
X-6	X	609151	609243	+	2036.5	0.690	12.500000	12.5	0.4	34.88	6.55e-15	19.09	6.72e-12	0.90
XII-7	XII	522407	522499	+	2036.5	0.769	12.500000	12.5	0.7	17.44	1.88e-11	30.60	3.00e-14	0.90
XIII-4	XIII	653443	653535	+	2036.5	0.727	14.000000	12.5	0.7	17.44	1.88e-11	15.93	5.19e-11	0.90
XIII-6	XIII	774010	774102	+	2036.5	0.636	13.000000	12.5	0.4	34.88	6.55e-15	10.01	9.53e-09	0.90
XIV-6	XIV	6711	6803	+	2036.5	0.750	12.500000	12.5	0.4	34.88	6.55e-15	57.28	1.96e-17	0.90
XIV-3	XIV	331120	331212	+	2036.5	0.744	13.000000	12.5	0.7	17.44	1.88e-11	18.70	8.53e-12	0.90
XV-11	XV	882166	882258	+	2036.5	0.767	13.500000	12.5	0.4	34.88	6.55e-15	16.62	3.22e-11	0.90
XVI-9	XVI	114463	114555	+	2036.5	0.673	13.500000	12.5	0.7	17.44	1.88e-11	17.37	1.96e-11	0.90
XVI-8	XVI	901673	901765	+	2036.5	0.698	14.000000	12.5	1.1	11.63	1.85e-09	24.48	3.94e-13	0.90
I-1	I	68309	68401	+	1955.0	0.692	12.000000	12.0	0.7	16.74	1.88e-11	13.19	2.71e-10	0.94
II-3	II	140690	140782	+	1955.0	0.614	14.000000	12.0	1.1	11.16	1.85e-09	14.36	1.05e-10	0.94
IV-7	IV	307935	308027	+	1955.0	0.630	13.000000	12.0	0.7	16.74	1.88e-11	17.95	8.53e-12	0.94
IV-16	IV	538926	539018	+	1955.0	0.658	11.500000	12.0	0.4	33.48	6.55e-15	13.68	1.81e-10	1.03
IV-11	IV	539263	539355	+	1955.0	0.658	12.500000	12.0	2.2	5.58	2.84e-06	13.25	2.56e-10	0.94
IV-9	IV	1401485	1401577	+	1955.0	0.700	13.000000	12.0	0.4	33.48	6.55e-15	24.38	2.58e-13	0.94
V-9	V	174766	174858	+	1955.0	0.568	12.500000	12.0	0.4	33.48	6.55e-15	23.50	3.94e-13	1.03
VI-2	VI	107408	107500	+	1955.0	0.644	13.500000	12.0	0.7	16.74	1.88e-11	10.68	3.00e-09	0.94
VII-10	VII	856836	856928	+	1955.0	0.577	13.000000	12.0	1.1	11.16	1.85e-09	17.00	1.57e-11	0.94
VIII-5	VIII	236447	236539	+	1955.0	0.788	12.000000	12.0	0.7	16.74	1.88e-11	18.33	6.72e-12	0.94
VIII-3	VIII	280521	280613	+	1955.0	0.667	12.500000	12.0	0.7	16.74	1.88e-11	12.92	3.39e-10	0.94
X-5	X	578269	578361	+	1955.0	0.806	12.500000	12.0	0.4	33.48	6.55e-15	29.37	3.00e-14	0.94
XI-4	XI	258769	258861	+	1955.0	0.617	13.500000	12.0	0.4	33.48	6.55e-15	10.14	5.33e-09	0.94
XII-6	XII	796480	796572	+	1955.0	0.794	13.000000	12.0	0.7	16.74	1.88e-11	25.34	1.65e-13	0.94
XIII-7	XIII	551340	551432	+	1955.0	0.650	12.500000	12.0	0.4	33.48	6.55e-15	19.88	2.67e-12	0.94
XIV-7	XIV	503130	503222	+	1955.0	0.725	12.500000	12.0	0.7	16.74	1.88e-11	10.72	2.87e-09	0.94
XV-16	XV	216472	216564	+	1955.0	0.674	12.000000	12.0	1.1	11.16	1.85e-09	16.36	2.43e-11	0.94
XV-14	XV	391699	391791	+	1955.0	0.632	12.500000	12.0	0.4	33.48	6.55e-15	24.62	2.31e-13	0.94
XVI-10	XVI	214640	214732	+	1955.0	0.528	12.500000	12.0	0.4	33.48	6.55e-15	13.90	1.51e-10	0.94
XVI-11	XVI	942599	942691	+	1955.0	0.862	12.500000	12.0	0.4	33.48	6.55e-15	68.02	1.59e-18	0.94
II-7	II	378899	378991	+	1873.6	0.625	13.000000	11.5	0.4	32.09	2.19e-13	12.02	5.90e-09	0.91
II-11	II	466233	466325	+	1873.6	0.643	11.500000	11.5	0.4	32.09	2.19e-13	16.62	2.18e-10	0.91
II-8	II	595721	595813	+	1873.6	0.592	13.000000	11.5	0.4	32.09	2.19e-13	17.57	1.23e-10	0.91
II-5	II	625048	625140	+	1873.6	0.696	13.500000	11.5	0.4	32.09	2.19e-13	13.76	1.51e-09	0.91
IV-17	IV	593549	593641	+	1873.6	0.553	11.500000	11.5	0.4	32.09	2.19e-13	9.01	1.15e-07	0.91
IV-14	IV	1507417	1507509	+	1873.6	0.583	12.000000	11.5	0.4	32.09	2.19e-13	14.07	1.20e-09	0.91
IX-7	IX	254412	254504	+	1873.6	0.521	11.500000	11.5	0.4	32.09	2.19e-13	9.07	1.07e-07	0.91
V-8	V	117804	117896	+	1873.6	0.471	12.500000	11.5	0.7	16.04	3.14e-10	19.20	4.89e-11	0.91
V-11	V	396393	396485	+	1873.6	0.491	12.000000	11.5	0.4	32.09	2.19e-13	16.85	1.89e-10	0.99
VII-12	VII	23321	23413	+	1873.6	0.657	11.500000	11.5	0.4	32.09	2.19e-13	20.14	2.98e-11	0.95
VII-11	VII	987441	987533	+	1873.6	0.689	12.500000	11.5	0.7	16.04	3.14e-10	14.83	7.02e-10	0.91
VIII-4	VIII	122212	122304	+	1873.6	0.806	12.000000	11.5	0.7	16.04	3.14e-10	15.88	3.49e-10	0.91
VIII-6	VIII	150877	150969	+	1873.6	0.667	11.500000	11.5	0.4	32.09	2.19e-13	19.82	3.53e-11	0.91
XII-8	XII	489518	489610	+	1873.6	0.667	12.000000	11.5	0.7	16.04	3.14e-10	18.62	6.72e-11	0.91
XII-14	XII	1064904	1064996	+	1873.6	0.650	11.500000	11.5	1.1	10.70	2.08e-08	20.14	2.98e-11	0.91
XIV-9	XIV	652084	652176	+	1873.6	0.519	11.500000	11.5	0.4	32.09	2.19e-13	21.92	1.23e-11	0.91
XV-15	XV	144	236	+	1873.6	0.683	12.000000	11.5	0.7	16.04	3.14e-10	34.89	9.00e-14	0.91
XV-13	XV	83337	83429	+	1873.6	0.542	12.500000	11.5	1.1	10.70	2.08e-08	13.11	2.47e-09	0.91
XV-10	XV	619235	619327	+	1873.6	0.730	13.500000	11.5	0.7	16.04	3.14e-10	25.54	2.47e-12	0.91
XVI-12	XVI	566969	567061	+	1873.6	0.781	12.000000	11.5	0.7	16.04	3.14e-10	33.47	1.40e-13	0.91
XVI-16	XVI	679288	679380	+	1873.6	0.727	11.500000	11.5	0.4	32.09	2.19e-13	13.32	2.10e-09	0.91
XVI-14	XVI	731949	732041	+	1873.6	0.667	12.000000	11.5	1.1	10.70	2.08e-08	32.59	1.86e-13	0.91
II-10	II	165132	165224	+	1792.1	0.610	11.500000	11.0	1.1	10.23	2.08e-08	11.28	7.15e-09	0.95
IV-10	IV	217300	217392	+	1792.1	0.684	12.500000	11.0	0.7	15.35	3.14e-10	14.90	4.25e-10	0.95
IV-12	IV	240008	240100	+	1792.1	0.605	12.000000	11.0	0.4	30.69	2.19e-13	17.29	9.14e-11	0.95
IV-13	IV	600160	600252	+	1792.1	0.694	12.000000	11.0	0.4	30.69	2.19e-13	9.63	3.81e-08	0.95
IV-24	IV	769343	769435	+	1792.1	0.719	10.500000	11.0	0.7	15.35	3.14e-10	19.11	3.24e-11	0.99
IX-5	IX	68492	68584	+	1792.1	0.535	12.500000	11.0	0.4	30.69	2.19e-13	27.23	7.81e-13	0.95
IX-6	IX	249180	249272	+	1792.1	0.578	12.000000	11.0	0.4	30.69	2.19e-13	13.09	1.60e-09	0.95
V-10	V	85233	85325	+	1792.1	0.714	12.000000	11.0	0.4	30.69	2.19e-13	12.34	2.90e-09	0.95
V-17	V	268608	268700	+	1792.1	0.730	11.000000	11.0	1.1	10.23	2.08e-08	12.34	2.90e-09	0.95
V-12	V	442083	442175	+	1792.1	0.643	12.000000	11.0	1.1	10.23	2.08e-08	17.05	1.06e-10	0.95
V-15	V	461879	461971	+	1792.1	0.686	11.500000	11.0	1.1	10.23	2.08e-08	19.26	2.98e-11	0.95
VII-15	VII	428126	428218	+	1792.1	0.775	11.000000	11.0	0.4	30.69	2.19e-13	18.37	4.89e-11	0.99
VII-14	VII	810012	810104	+	1792.1	0.489	11.500000	11.0	0.7	15.35	3.14e-10	15.59	2.67e-10	0.95
VIII-7	VIII	450778	450870	+	1792.1	0.605	11.000000	11.0	0.4	30.69	2.19e-13	17.29	9.14e-11	0.95
X-9	X	294549	294641	+	1792.1	0.574	10.500000	11.0	0.7	15.35	3.14e-10	13.94	8.42e-10	0.99
X-7	X	391575	391667	+	1792.1	0.641	12.000000	11.0	0.4	30.69	2.19e-13	18.37	4.89e-11	0.95
XI-6	XI	230668	230760	+	1792.1	0.636	11.000000	11.0	1.1	10.23	2.08e-08	16.23	1.77e-10	0.95
XI-7	XI	260757	260849	+	1792.1	0.714	11.000000	11.0	0.4	30.69	2.19e-13	9.33	5.23e-08	0.95
XII-9	XII	64	156	+	1792.1	0.767	11.500000	11.0	1.1	10.23	2.08e-08	394.88	1.91e-25	0.95
XII-10	XII	370868	370960	+	1792.1	0.675	11.500000	11.0	0.4	30.69	2.19e-13	8.52	1.28e-07	0.95
XII-18	XII	704552	704644	+	1792.1	0.639	11.000000	11.0	0.4	30.69	2.19e-13	19.58	2.51e-11	0.95
XIII-11	XIII	169932	170024	+	1792.1	0.774	11.000000	11.0	0.4	30.69	2.19e-13	21.54	9.27e-12	0.95
XIII-12	XIII	388423	388515	+	1792.1	0.634	11.000000	11.0	0.4	30.69	2.19e-13	19.11	3.24e-11	0.95
XIII-10	XIII	465808	465900	+	1792.1	0.840	11.500000	11.0	0.4	30.69	2.19e-13	48.35	1.69e-15	0.95
XV-17	XV	254006	254098	+	1792.1	0.725	12.000000	11.0	2.5	4.38	6.35e-05	19.42	2.74e-11	0.95
XV-21	XV	446884	446976	+	1792.1	0.700	11.000000	11.0	0.4	30.69	2.19e-13	12.47	2.61e-09	0.95
II-14	II	159935	160027	+	1710.6	0.545	10.500000	10.5	0.4	29.30	6.73e-12	18.54	5.32e-10	0.91
II-15	II	477130	477222	+	1710.6	0.613	10.500000	10.5	1.1	9.77	2.15e-07	15.71	2.52e-09	0.91
IV-19	IV	130677	130769	+	1710.6	0.742	11.000000	10.5	0.7	14.65	4.82e-09	13.00	1.45e-08	0.91
IV-15	IV	411056	411148	+	1710.6	0.595	11.500000	10.5	0.7	14.65	4.82e-09	6.23	1.11e-05	0.91
IV-21	IV	1362433	1362525	+	1710.6	0.611	11.000000	10.5	0.4	29.30	6.73e-12	13.87	7.96e-09	0.91
IV-18	IV	1524848	1524940	+	1710.6	0.758	11.500000	10.5	1.4	7.32	2.77e-06	30.98	3.93e-12	0.91
IX-8	IX	177722	177814	+	1710.6	0.562	10.500000	10.5	0.7	14.65	4.82e-09	16.27	1.81e-09	0.91
V-19	V	140721	140813	+	1710.6	0.650	10.500000	10.5	1.8	5.86	1.87e-05	13.79	8.43e-09	0.91
V-18	V	281068	281160	+	1710.6	0.489	11.000000	10.5	1.1	9.77	2.15e-07	8.44	7.95e-07	0.91
V-20	V	335864	335956	+	1710.6	0.541	10.500000	10.5	0.4	29.30	6.73e-12	13.23	1.24e-08	0.91
V-14	V	349730	349822	+	1710.6	0.706	11.500000	10.5	1.1	9.77	2.15e-07	24.58	3.63e-11	0.91
VI-8	VI	225454	225546	+	1710.6	0.714	10.000000	10.5	1.1	9.77	2.15e-07	7.99	1.29e-06	0.95
VII-18	VII	610150	610242	+	1710.6	0.686	10.500000	10.5	0.4	29.30	6.73e-12	18.69	4.92e-10	0.91
VII-13	VII	788431	788523	+	1710.6	0.750	11.500000	10.5	0.7	14.65	4.82e-09	13.79	8.43e-09	0.91
X-12	X	123216	123308	+	1710.6	0.575	9.500000	10.5	0.7	14.65	4.82e-09	13.23	1.24e-08	1.06
XII-20	XII	576494	576586	+	1710.6	0.792	10.500000	10.5	0.4	29.30	6.73e-12	37.69	5.87e-13	0.91
XII-21	XII	669011	669103	+	1710.6	0.840	10.500000	10.5	1.1	9.77	2.15e-07	31.85	3.00e-12	0.91
XII-13	XII	1028446	1028538	+	1710.6	0.658	11.500000	10.5	0.7	14.65	4.82e-09	29.37	6.57e-12	0.91
XII-15	XII	1071580	1071672	+	1710.6	0.629	11.500000	10.5	0.7	14.65	4.82e-09	77.99	4.71e-16	0.91
XIII-8	XIII	225601	225693	+	1710.6	0.609	11.500000	10.5	1.1	9.77	2.15e-07	13.71	8.91e-09	0.91
XIII-13	XIII	540575	540667	+	1710.6	0.686	10.500000	10.5	0.4	29.30	6.73e-12	17.81	7.76e-10	0.91
XIII-14	XIII	551662	551754	+	1710.6	0.737	10.500000	10.5	0.4	29.30	6.73e-12	17.00	1.20e-09	0.91
XIV-12	XIV	405864	405956	+	1710.6	0.564	10.500000	10.5	1.1	9.77	2.15e-07	31.41	3.44e-12	0.91
XV-27	XV	92924	93016	+	1710.6	0.786	10.000000	10.5	1.1	9.77	2.15e-07	15.60	2.69e-09	0.95
XV-20	XV	218846	218938	+	1710.6	0.714	11.000000	10.5	0.4	29.30	6.73e-12	15.60	2.69e-09	0.91
XV-24	XV	479933	480025	+	1710.6	0.605	10.500000	10.5	1.1	9.77	2.15e-07	22.39	8.86e-11	1.00
XV-22	XV	796967	797059	+	1710.6	0.800	11.000000	10.5	0.7	14.65	4.82e-09	18.69	4.92e-10	0.91
XV-18	XV	836775	836867	+	1710.6	0.789	11.500000	10.5	0.7	14.65	4.82e-09	14.50	5.30e-09	0.91
XV-19	XV	866812	866904	+	1710.6	0.628	11.500000	10.5	0.4	29.30	6.73e-12	26.00	2.13e-11	0.91
XV-25	XV	901366	901458	+	1710.6	0.556	10.500000	10.5	0.4	29.30	6.73e-12	18.69	4.92e-10	0.91
XV-26	XV	988209	988301	+	1710.6	0.500	10.500000	10.5	0.4	29.30	6.73e-12	8.22	9.99e-07	0.91
XVI-15	XVI	406391	406483	+	1710.6	0.703	11.500000	10.5	1.4	7.32	2.77e-06	16.04	2.07e-09	0.91
XVI-19	XVI	425497	425589	+	1710.6	0.545	10.500000	10.5	0.7	14.65	4.82e-09	15.82	2.36e-09	0.91
XVI-27	XVI	453478	453570	+	1710.6	0.730	10.000000	10.5	0.4	29.30	6.73e-12	11.84	3.41e-08	0.95
XVI-13	XVI	645425	645517	+	1710.6	0.625	12.000000	10.5	0.4	29.30	6.73e-12	7.11	3.57e-06	0.91
XVI-23	XVI	927829	927921	+	1710.6	0.647	10.500000	10.5	0.4	29.30	6.73e-12	18.24	6.20e-10	0.91
I-3	I	68696	68788	+	1629.2	0.686	11.000000	10.0	0.7	13.95	4.82e-09	10.82	4.96e-08	0.95
II-17	II	415458	415550	+	1629.2	0.700	10.000000	10.0	0.4	27.90	6.73e-12	12.67	1.17e-08	0.95
III-4	III	122755	122847	+	1629.2	0.767	10.000000	10.0	1.1	9.30	2.15e-07	12.67	1.17e-08	0.95
III-3	III	178321	178413	+	1629.2	0.656	10.500000	10.0	0.4	27.90	6.73e-12	28.72	5.10e-12	0.95
IV-27	IV	321956	322048	+	1629.2	0.625	10.000000	10.0	0.7	13.95	4.82e-09	31.68	1.98e-12	0.95
IV-28	IV	411704	411796	+	1629.2	0.636	10.000000	10.0	1.1	9.30	2.15e-07	5.90	1.17e-05	0.95
IV-29	IV	465270	465362	+	1629.2	0.579	10.000000	10.0	0.4	27.90	6.73e-12	16.32	1.12e-09	1.00
IV-22	IV	512325	512417	+	1629.2	0.750	10.500000	10.0	0.4	27.90	6.73e-12	36.51	4.98e-13	0.95
IV-23	IV	551029	551121	+	1629.2	0.588	10.500000	10.0	0.4	27.90	6.73e-12	12.60	1.24e-08	0.95
IV-30	IV	1195238	1195330	+	1629.2	0.800	10.000000	10.0	0.7	13.95	4.82e-09	32.64	1.48e-12	0.95
