PeakID (cmd=annotatePeaks.pl SPT5_T15_R1_homer_narrowPeak.txt genome.fa -gtf genes.gtf -cpu 2)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
XII-5	XII	728449	728545	+	2488.8	0.586	promoter-TSS (YLR299C-A)	protein_coding-promoter-TSS (YLR299C-A)	-458	YLR300W	YLR300W	YLR300W			EXG1			protein_coding
VII-9	VII	433353	433449	+	2405.8	0.577	promoter-TSS (YGL035C)	protein_coding-promoter-TSS (YGL035C)	178	YGL034C	YGL034C	YGL034C			YGL034C			protein_coding
II-5	II	614183	614279	+	2405.8	0.636	promoter-TSS (YBR196C)	protein_coding-promoter-TSS (YBR196C)	-58	YBR196C-A	YBR196C-A	YBR196C-A			YBR196C-A			protein_coding
IV-7	IV	1429289	1429385	+	2405.8	0.630	promoter-TSS (YDR487C)	protein_coding-promoter-TSS (YDR487C)	-357	YDR487C	YDR487C	YDR487C			RIB3			protein_coding
III-2	III	137362	137458	+	2405.8	0.596	promoter-TSS (YCR011C)	protein_coding-promoter-TSS (YCR011C)	-336	YCR012W	YCR012W	YCR012W			PGK1			protein_coding
V-8	V	354975	355071	+	2405.8	0.792	promoter-TSS (YER097W)	protein_coding-promoter-TSS (YER097W)	89	tE(UUC)E2	tE(UUC)E2	tE(UUC)E2			tE(UUC)E2			tRNA
XVI-4	XVI	641313	641409	+	2405.8	0.597	promoter-TSS (YPR035W)	protein_coding-promoter-TSS (YPR035W)	-847	YPR035W	YPR035W	YPR035W			GLN1			protein_coding
XIII-5	XIII	774152	774248	+	2405.8	0.596	promoter-TSS (YMR251W-A)	protein_coding-promoter-TSS (YMR251W-A)	-552	YMR251W-A	YMR251W-A	YMR251W-A			HOR7			protein_coding
XIII-3	XIII	653407	653503	+	2405.8	0.649	promoter-TSS (YMR194C-A)	protein_coding-promoter-TSS (YMR194C-A)	-319	YMR194C-A	YMR194C-A	YMR194C-A			YMR194C-A			protein_coding
IV-5	IV	600167	600263	+	2405.8	0.633	promoter-TSS (YDR077W)	protein_coding-promoter-TSS (YDR077W)	-578	YDR077W	YDR077W	YDR077W			SED1			protein_coding
X-4	X	391979	392075	+	2405.8	0.680	promoter-TSS (YJL026W)	protein_coding-promoter-TSS (YJL026W)	222	YJL027C	YJL027C	YJL027C			YJL027C			protein_coding
XV-10	XV	83280	83376	+	2405.8	0.674	promoter-TSS (YOL125W)	protein_coding-promoter-TSS (YOL125W)	-408	YOL126C	YOL126C	YOL126C			MDH2			protein_coding
XVI-7	XVI	502772	502868	+	2405.8	0.638	promoter-TSS (YPL024W)	protein_coding-promoter-TSS (YPL024W)	210	YPL025C	YPL025C	YPL025C			YPL025C			protein_coding
II-2	II	595721	595817	+	2405.8	0.773	promoter-TSS (YBR182C)	protein_coding-promoter-TSS (YBR182C)	-214	YBR182C-A	YBR182C-A	YBR182C-A			YBR182C-A			protein_coding
XII-4	XII	424322	424418	+	2405.8	0.627	promoter-TSS (YLR139C)	protein_coding-promoter-TSS (YLR139C)	687	YLR141W	YLR141W	YLR141W			RRN5			protein_coding
V-6	V	117733	117829	+	2322.9	0.562	promoter-TSS (YEL020C-B)	protein_coding-promoter-TSS (YEL020C-B)	254	RPR1	RPR1	RPR1			RPR1			ncRNA
I-1	I	190297	190393	+	2322.9	0.620	exon (YAR035W, exon 1 of 1)	protein_coding-exon (YAR035W, exon 1 of 1)	152	YAR035W	YAR035W	YAR035W			YAT1			protein_coding
XV-12	XV	424269	424365	+	2322.9	0.541	promoter-TSS (YOR049C)	protein_coding-promoter-TSS (YOR049C)	300	YOR050C	YOR050C	YOR050C			YOR050C			protein_coding
XI-3	XI	216917	217013	+	2322.9	0.846	promoter-TSS (YKL120W)	protein_coding-promoter-TSS (YKL120W)	-379	YKL120W	YKL120W	YKL120W			OAC1			protein_coding
XIV-3	XIV	331103	331199	+	2322.9	0.791	promoter-TSS (YNL162W)	protein_coding-promoter-TSS (YNL162W)	-171	YNL162W	YNL162W	YNL162W			RPL42A			protein_coding
VII-15	VII	1000443	1000539	+	2322.9	0.612	promoter-TSS (YGR254W)	protein_coding-promoter-TSS (YGR254W)	-436	YGR254W	YGR254W	YGR254W			ENO1			protein_coding
IX-2	IX	249193	249289	+	2322.9	0.659	promoter-TSS (YIL056W)	protein_coding-promoter-TSS (YIL056W)	391	tS(UGA)I	tS(UGA)I	tS(UGA)I			SUP17			tRNA
II-6	II	270012	270108	+	2322.9	0.784	promoter-TSS (YBR015C)	protein_coding-promoter-TSS (YBR015C)	-187	YBR016W	YBR016W	YBR016W			YBR016W			protein_coding
II-4	II	466478	466574	+	2322.9	0.756	promoter-TSS (YBR112C)	protein_coding-promoter-TSS (YBR112C)	-722	YBR114W	YBR114W	YBR114W			RAD16			protein_coding
XV-11	XV	254009	254105	+	2322.9	0.744	promoter-TSS (YOL039W)	protein_coding-promoter-TSS (YOL039W)	-240	YOL039W	YOL039W	YOL039W			RPP2A			protein_coding
XIV-1	XIV	652020	652116	+	2322.9	0.680	promoter-TSS (YNR013C)	protein_coding-promoter-TSS (YNR013C)	-356	YNR013C	YNR013C	YNR013C			PHO91			protein_coding
VIII-3	VIII	455720	455816	+	2322.9	0.743	promoter-TSS (YHR177W)	protein_coding-promoter-TSS (YHR177W)	-823	YHR177W	YHR177W	YHR177W			YHR177W			protein_coding
XIII-4	XIII	408271	408367	+	2322.9	0.526	promoter-TSS (YMR070W)	protein_coding-promoter-TSS (YMR070W)	610	YMR069W	YMR069W	YMR069W			NAT4			protein_coding
V-5	V	53443	53539	+	2322.9	0.694	promoter-TSS (YEL054C)	protein_coding-promoter-TSS (YEL054C)	-273	YEL054C	YEL054C	YEL054C			RPL12A			protein_coding
III-1	III	78352	78448	+	2322.9	0.517	promoter-TSS (YCL024W)	protein_coding-promoter-TSS (YCL024W)	-481	YCL025C	YCL025C	YCL025C			AGP1			protein_coding
X-5	X	703202	703298	+	2322.9	0.868	promoter-TSS (YJR145C)	protein_coding-promoter-TSS (YJR145C)	-182	YJR145C	YJR145C	YJR145C			RPS4A			protein_coding
XV-23	XV	443895	443991	+	2239.9	0.725	promoter-TSS (YOR062C)	protein_coding-promoter-TSS (YOR062C)	-412	YOR062C	YOR062C	YOR062C			YOR062C			protein_coding
VII-12	VII	398111	398207	+	2239.9	0.581	promoter-TSS (YGL055W)	protein_coding-promoter-TSS (YGL055W)	-469	YGL055W	YGL055W	YGL055W			OLE1			protein_coding
XIV-2	XIV	350124	350220	+	2239.9	0.667	promoter-TSS (YNL147W)	protein_coding-promoter-TSS (YNL147W)	-416	YNL149C	YNL149C	YNL149C			PGA2			protein_coding
V-7	V	123325	123421	+	2239.9	0.630	promoter-TSS (YEL017C-A)	protein_coding-promoter-TSS (YEL017C-A)	-284	YEL017W	YEL017W	YEL017W			GTT3			protein_coding
IV-11	IV	410947	411043	+	2239.9	0.574	promoter-TSS (YDL022C-A)	protein_coding-promoter-TSS (YDL022C-A)	616	tA(AGC)D	tA(AGC)D	tA(AGC)D			tA(AGC)D			tRNA
IV-10	IV	62291	62387	+	2239.9	0.460	promoter-TSS (YDL222C)	protein_coding-promoter-TSS (YDL222C)	328	YDL221W	YDL221W	YDL221W			YDL221W			protein_coding
XV-14	XV	968230	968326	+	2239.9	0.698	promoter-TSS (YOR342C)	protein_coding-promoter-TSS (YOR342C)	196	YOR343C	YOR343C	YOR343C			YOR343C			protein_coding
IX-3	IX	254350	254446	+	2239.9	0.617	promoter-TSS (YIL053W)	protein_coding-promoter-TSS (YIL053W)	-145	YIL054W	YIL054W	YIL054W			YIL054W			protein_coding
XII-6	XII	1071586	1071682	+	2239.9	0.630	promoter-TSS (YLR466C-A)	protein_coding-promoter-TSS (YLR466C-A)	76	YLR466C-B	YLR466C-B	YLR466C-B			YLR466C-B			protein_coding
VII-13	VII	413401	413497	+	2239.9	0.547	promoter-TSS (YGL045W)	protein_coding-promoter-TSS (YGL045W)	-653	YGL045W	YGL045W	YGL045W			RIM8			protein_coding
XII-7	XII	924762	924858	+	2239.9	0.857	promoter-TSS (YLR401C)	protein_coding-promoter-TSS (YLR401C)	-79	YLR402W	YLR402W	YLR402W			YLR402W			protein_coding
XV-15	XV	216513	216609	+	2239.9	0.627	promoter-TSS (YOL059W)	protein_coding-promoter-TSS (YOL059W)	-424	YOL060C	YOL060C	YOL060C			MAM3			protein_coding
VII-8	VII	726673	726769	+	2239.9	0.723	promoter-TSS (YGR117C)	protein_coding-promoter-TSS (YGR117C)	-242	YGR117C	YGR117C	YGR117C			YGR117C			protein_coding
XIII-6	XIII	353184	353280	+	2239.9	0.596	promoter-TSS (YMR043W)	protein_coding-promoter-TSS (YMR043W)	629	YMR042W	YMR042W	YMR042W			ARG80			protein_coding
VII-10	VII	428168	428264	+	2239.9	0.698	promoter-TSS (YGL036W)	protein_coding-promoter-TSS (YGL036W)	-269	YGL037C	YGL037C	YGL037C			PNC1			protein_coding
XV-17	XV	762195	762291	+	2239.9	0.800	promoter-TSS (YOR224C)	protein_coding-promoter-TSS (YOR224C)	-159	YOR226C	YOR226C	YOR226C			ISU2			protein_coding
XVI-6	XVI	339504	339600	+	2239.9	0.654	promoter-TSS (YPL111W)	protein_coding-promoter-TSS (YPL111W)	-392	YPL111W	YPL111W	YPL111W			CAR1			protein_coding
IV-9	IV	465178	465274	+	2239.9	0.652	promoter-TSS (YDR011W)	protein_coding-promoter-TSS (YDR011W)	157	YDR010C	YDR010C	YDR010C			YDR010C			protein_coding
XII-14	XII	1064810	1064906	+	2157.0	0.692	Intergenic	Intergenic	-1098	YLR462W	YLR462W	YLR462W			YLR462W			protein_coding
IV-4	IV	551188	551284	+	2157.0	0.556	promoter-TSS (YDR046C)	protein_coding-promoter-TSS (YDR046C)	-624	YDR047W	YDR047W	YDR047W			HEM12			protein_coding
XV-18	XV	866815	866911	+	2157.0	0.650	promoter-TSS (YOR292C)	protein_coding-promoter-TSS (YOR292C)	-235	YOR293W	YOR293W	YOR293W			RPS10A			protein_coding
VII-11	VII	547514	547610	+	2157.0	0.679	promoter-TSS (YGR031C-A)	protein_coding-promoter-TSS (YGR031C-A)	-262	YGR031C-A	YGR031C-A	YGR031C-A			NAG1			protein_coding
X-7	X	639440	639536	+	2157.0	0.636	promoter-TSS (YJR113C)	protein_coding-promoter-TSS (YJR113C)	-454	YJR115W	YJR115W	YJR115W			YJR115W			protein_coding
II-14	II	378845	378941	+	2157.0	0.609	promoter-TSS (YBR069C)	protein_coding-promoter-TSS (YBR069C)	-460	YBR069C	YBR069C	YBR069C			TAT1			protein_coding
IX-4	IX	68408	68504	+	2157.0	0.667	promoter-TSS (YIL148W)	protein_coding-promoter-TSS (YIL148W)	-252	YIL148W	YIL148W	YIL148W			RPL40A			protein_coding
VII-18	VII	987355	987451	+	2157.0	0.614	promoter-TSS (YGR249W)	protein_coding-promoter-TSS (YGR249W)	-646	YGR249W	YGR249W	YGR249W			MGA1			protein_coding
XI-6	XI	322542	322638	+	2157.0	0.511	promoter-TSS (YKL062W)	protein_coding-promoter-TSS (YKL062W)	-638	YKL062W	YKL062W	YKL062W			MSN4			protein_coding
XIII-7	XIII	434402	434498	+	2157.0	0.769	promoter-TSS (YMR083W)	protein_coding-promoter-TSS (YMR083W)	-338	YMR083W	YMR083W	YMR083W			ADH3			protein_coding
II-9	II	415460	415556	+	2157.0	0.681	promoter-TSS (YBR084C-A)	protein_coding-promoter-TSS (YBR084C-A)	-247	YBR084C-A	YBR084C-A	YBR084C-A			RPL19A			protein_coding
VII-16	VII	610078	610174	+	2157.0	0.667	promoter-TSS (YGR060W)	protein_coding-promoter-TSS (YGR060W)	-438	YGR060W	YGR060W	YGR060W			ERG25			protein_coding
IV-8	IV	1507242	1507338	+	2157.0	0.643	promoter-TSS (YDR535C)	protein_coding-promoter-TSS (YDR535C)	72	YDR535C	YDR535C	YDR535C			YDR535C			protein_coding
XII-8	XII	43	139	+	2157.0	0.818	promoter-TSS (YLL067W-A)	protein_coding-promoter-TSS (YLL067W-A)	-752	YLL067W-A	YLL067W-A	YLL067W-A			YLL067W-A			protein_coding
XV-20	XV	989162	989258	+	2157.0	0.696	promoter-TSS (YOR348C)	protein_coding-promoter-TSS (YOR348C)	-428	YOR348C	YOR348C	YOR348C			PUT4			protein_coding
IV-14	IV	1490363	1490459	+	2157.0	0.767	promoter-TSS (YDR524C-A)	protein_coding-promoter-TSS (YDR524C-A)	-185	YDR525W-A	YDR525W-A	YDR525W-A			SNA2			protein_coding
XV-16	XV	514779	514875	+	2157.0	0.735	promoter-TSS (YOR100C)	protein_coding-promoter-TSS (YOR100C)	-417	YOR101W	YOR101W	YOR101W			RAS1			protein_coding
IV-13	IV	1242882	1242978	+	2157.0	0.667	promoter-TSS (YDR384C)	protein_coding-promoter-TSS (YDR384C)	-300	YDR385W	YDR385W	YDR385W			EFT2			protein_coding
II-10	II	592926	593022	+	2157.0	0.641	promoter-TSS (YBR181C)	protein_coding-promoter-TSS (YBR181C)	-200	YBR181C	YBR181C	YBR181C			RPS6B			protein_coding
VIII-4	VIII	148844	148940	+	2157.0	0.667	promoter-TSS (YHR021C)	protein_coding-promoter-TSS (YHR021C)	-223	YHR021C	YHR021C	YHR021C			RPS27B			protein_coding
XIII-10	XIII	282982	283078	+	2157.0	0.667	promoter-TSS (YMR008C)	protein_coding-promoter-TSS (YMR008C)	-446	YMR008C	YMR008C	YMR008C			PLB1			protein_coding
V-9	V	335796	335892	+	2157.0	0.431	promoter-TSS (YER088C)	protein_coding-promoter-TSS (YER088C)	-83	YER088W-B	YER088W-B	YER088W-B			YER088W-B			protein_coding
V-10	V	281090	281186	+	2074.0	0.529	promoter-TSS (YER062C)	protein_coding-promoter-TSS (YER062C)	-456	YER062C	YER062C	YER062C			GPP2			protein_coding
X-6	X	294609	294705	+	2074.0	0.723	promoter-TSS (YJL076W)	protein_coding-promoter-TSS (YJL076W)	-142	YJL077W-A	YJL077W-A	YJL077W-A			YJL077W-A			protein_coding
XIII-9	XIII	798105	798201	+	2074.0	0.791	promoter-TSS (YMR265C)	protein_coding-promoter-TSS (YMR265C)	-228	YMR265C	YMR265C	YMR265C			YMR265C			protein_coding
IX-6	IX	232642	232738	+	2074.0	0.600	promoter-TSS (YIL068W-A)	protein_coding-promoter-TSS (YIL068W-A)	-321	YIL069C	YIL069C	YIL069C			RPS24B			protein_coding
XI-10	XI	385314	385410	+	2074.0	0.628	promoter-TSS (YKL028W)	protein_coding-promoter-TSS (YKL028W)	-396	YKL028W	YKL028W	YKL028W			TFA1			protein_coding
XVI-10	XVI	114862	114958	+	2074.0	0.683	promoter-TSS (YPL230W)	protein_coding-promoter-TSS (YPL230W)	-402	YPL230W	YPL230W	YPL230W			USV1			protein_coding
XIV-4	XIV	495194	495290	+	2074.0	0.682	promoter-TSS (YNL069C)	protein_coding-promoter-TSS (YNL069C)	-241	YNL069C	YNL069C	YNL069C			RPL16B			protein_coding
XIV-5	XIV	604757	604853	+	2074.0	0.833	promoter-TSS (YNL015W)	protein_coding-promoter-TSS (YNL015W)	-579	YNL015W	YNL015W	YNL015W			PBI2			protein_coding
II-12	II	164217	164313	+	2074.0	0.632	promoter-TSS (YBL030C)	protein_coding-promoter-TSS (YBL030C)	-268	YBL030C	YBL030C	YBL030C			PET9			protein_coding
XIII-8	XIII	557106	557202	+	2074.0	0.610	promoter-TSS (YMR145C)	protein_coding-promoter-TSS (YMR145C)	-679	YMR145C	YMR145C	YMR145C			NDE1			protein_coding
XVI-9	XVI	455123	455219	+	2074.0	0.660	promoter-TSS (YPL054W)	protein_coding-promoter-TSS (YPL054W)	-181	YPL055C	YPL055C	YPL055C			LGE1			protein_coding
VIII-5	VIII	48339	48435	+	2074.0	0.667	promoter-TSS (YHL028W)	protein_coding-promoter-TSS (YHL028W)	-376	YHL028W	YHL028W	YHL028W			WSC4			protein_coding
VIII-6	VIII	175158	175254	+	2074.0	0.585	promoter-TSS (YHR032W-A)	protein_coding-promoter-TSS (YHR032W-A)	11	YHR032W-A	YHR032W-A	YHR032W-A			YHR032W-A			protein_coding
XV-19	XV	988142	988238	+	2074.0	0.667	exon (YOR348C, exon 1 of 1)	protein_coding-exon (YOR348C, exon 1 of 1)	592	YOR348C	YOR348C	YOR348C			PUT4			protein_coding
XIII-11	XIII	408605	408701	+	2074.0	0.532	promoter-TSS (YMR070W)	protein_coding-promoter-TSS (YMR070W)	-501	YMR070W	YMR070W	YMR070W			MOT3			protein_coding
XVI-11	XVI	450901	450997	+	2074.0	0.778	promoter-TSS (YPL058C)	protein_coding-promoter-TSS (YPL058C)	-572	YPL058C	YPL058C	YPL058C			PDR12			protein_coding
XI-5	XI	99739	99835	+	2074.0	0.617	promoter-TSS (YKL182W)	protein_coding-promoter-TSS (YKL182W)	-884	YKL182W	YKL182W	YKL182W			FAS1			protein_coding
XIV-7	XIV	559349	559445	+	2074.0	0.528	promoter-TSS (YNL036W)	protein_coding-promoter-TSS (YNL036W)	-395	YNL037C	YNL037C	YNL037C			IDH1			protein_coding
XIV-6	XIV	355386	355482	+	2074.0	0.778	promoter-TSS (YNL144C)	protein_coding-promoter-TSS (YNL144C)	-392	YNL144C	YNL144C	YNL144C			YNL144C			protein_coding
II-11	II	605891	605987	+	2074.0	0.727	promoter-TSS (YBR190W)	protein_coding-promoter-TSS (YBR190W)	-27	YBR190W	YBR190W	YBR190W			YBR190W			protein_coding
V-13	V	491221	491317	+	2074.0	0.744	promoter-TSS (YER158C)	protein_coding-promoter-TSS (YER158C)	-218	YER158W-A	YER158W-A	YER158W-A			YER158W-A			protein_coding
XVI-13	XVI	822302	822398	+	2074.0	0.705	promoter-TSS (YPR144C)	protein_coding-promoter-TSS (YPR144C)	-270	YPR145W	YPR145W	YPR145W			ASN1			protein_coding
II-8	II	202400	202496	+	1991.0	0.756	promoter-TSS (YBL014C)	protein_coding-promoter-TSS (YBL014C)	392	YBL013W	YBL013W	YBL013W			FMT1			protein_coding
VII-14	VII	766266	766362	+	1991.0	0.727	promoter-TSS (YGR138C)	protein_coding-promoter-TSS (YGR138C)	588	YGR139W	YGR139W	YGR139W			YGR139W			protein_coding
