PeakID (cmd=annotatePeaks.pl SPT5_T0_R2_homer_narrowPeak.txt genome.fa -gtf genes.gtf -cpu 2)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
XII-9	XII	1064947	1065025	+	3300.8	0.567	promoter-TSS (YLR462W)	protein_coding-promoter-TSS (YLR462W)	-970	YLR462W	YLR462W	YLR462W			YLR462W			protein_coding
XI-4	XI	99866	99944	+	3182.9	0.608	promoter-TSS (YKL182W)	protein_coding-promoter-TSS (YKL182W)	-766	YKL182W	YKL182W	YKL182W			FAS1			protein_coding
VIII-3	VIII	48376	48454	+	3182.9	0.623	promoter-TSS (YHL028W)	protein_coding-promoter-TSS (YHL028W)	-348	YHL028W	YHL028W	YHL028W			WSC4			protein_coding
XVI-1	XVI	76391	76469	+	3182.9	0.762	promoter-TSS (YPL249C-A)	protein_coding-promoter-TSS (YPL249C-A)	-191	YPL249C-A	YPL249C-A	YPL249C-A			RPL36B			protein_coding
XIII-2	XIII	923807	923885	+	3182.9	0.667	promoter-TSS (YMR326C)	protein_coding-promoter-TSS (YMR326C)	-44	YMR326C	YMR326C	YMR326C			YMR326C			protein_coding
III-2	III	316321	316399	+	3182.9	0.750	promoter-TSS (YCR108C)	protein_coding-promoter-TSS (YCR108C)	-172	YCR108C	YCR108C	YCR108C			YCR108C			protein_coding
IX-3	IX	254322	254400	+	3182.9	0.607	promoter-TSS (YIL053W)	protein_coding-promoter-TSS (YIL053W)	-182	YIL054W	YIL054W	YIL054W			YIL054W			protein_coding
XII-12	XII	1028643	1028721	+	3065.0	0.640	promoter-TSS (YLR447C)	protein_coding-promoter-TSS (YLR447C)	-172	YLR448W	YLR448W	YLR448W			RPL6B			protein_coding
XIII-1	XIII	924152	924230	+	3065.0	0.559	promoter-TSS (YMR326C)	protein_coding-promoter-TSS (YMR326C)	-389	YMR326C	YMR326C	YMR326C			YMR326C			protein_coding
VII-4	VII	271435	271513	+	2947.1	0.737	promoter-TSS (YGL127C)	protein_coding-promoter-TSS (YGL127C)	477	YGL126W	YGL126W	YGL126W			SCS3			protein_coding
VII-3	VII	272027	272105	+	2947.1	0.549	promoter-TSS (YGL125W)	protein_coding-promoter-TSS (YGL125W)	-454	YGL125W	YGL125W	YGL125W			MET13			protein_coding
III-1	III	405	483	+	2947.1	0.600	promoter-TSS (YCL076W)	protein_coding-promoter-TSS (YCL076W)	-948	YCL076W	YCL076W	YCL076W			YCL076W			protein_coding
XII-11	XII	11361	11439	+	2947.1	0.653	promoter-TSS (YLL065W)	protein_coding-promoter-TSS (YLL065W)	-326	YLL065W	YLL065W	YLL065W			YLL065W			protein_coding
IX-4	IX	439324	439402	+	2947.1	0.850	Intergenic	Intergenic	-1184	YIR044C	YIR044C	YIR044C			YIR044C			pseudogene
VI-5	VI	183171	183249	+	2947.1	0.750	promoter-TSS (YFR017C)	protein_coding-promoter-TSS (YFR017C)	-349	YFR017C	YFR017C	YFR017C			IGD1			protein_coding
XI-3	XI	194	272	+	2947.1	0.580	promoter-TSS (YKL225W)	protein_coding-promoter-TSS (YKL225W)	-218	YKL225W	YKL225W	YKL225W			YKL225W			protein_coding
V-7	V	442102	442180	+	2947.1	0.622	promoter-TSS (YER137C)	protein_coding-promoter-TSS (YER137C)	154	SCR1	SCR1	SCR1			SCR1			ncRNA
XV-2	XV	866823	866901	+	2829.2	0.620	promoter-TSS (YOR292C)	protein_coding-promoter-TSS (YOR292C)	-236	YOR293W	YOR293W	YOR293W			RPS10A			protein_coding
I-4	I	408	486	+	2829.2	0.642	promoter-TSS (YAL068W-A)	protein_coding-promoter-TSS (YAL068W-A)	-91	YAL068W-A	YAL068W-A	YAL068W-A			YAL068W-A			protein_coding
IV-2	IV	1490313	1490391	+	2829.2	0.683	promoter-TSS (YDR524C-A)	protein_coding-promoter-TSS (YDR524C-A)	-244	YDR525W-A	YDR525W-A	YDR525W-A			SNA2			protein_coding
II-1	II	168149	168227	+	2829.2	0.694	promoter-TSS (YBL027W)	protein_coding-promoter-TSS (YBL027W)	-235	YBL027W	YBL027W	YBL027W			RPL19B			protein_coding
V-6	V	85275	85353	+	2829.2	0.659	promoter-TSS (YEL033W)	protein_coding-promoter-TSS (YEL033W)	231	YEL035C	YEL035C	YEL035C			UTR5			protein_coding
X-3	X	703275	703353	+	2829.2	0.612	promoter-TSS (YJR145C)	protein_coding-promoter-TSS (YJR145C)	-246	YJR145C	YJR145C	YJR145C			RPS4A			protein_coding
XII-13	XII	1071609	1071687	+	2829.2	0.781	promoter-TSS (YLR466C-A)	protein_coding-promoter-TSS (YLR466C-A)	62	YLR466C-B	YLR466C-B	YLR466C-B			YLR466C-B			protein_coding
V-9	V	569914	569992	+	2711.3	0.750	promoter-TSS (YER188C-A)	protein_coding-promoter-TSS (YER188C-A)	-46	YER188C-A	YER188C-A	YER188C-A			YER188C-A			protein_coding
V-10	V	355030	355108	+	2711.3	0.692	promoter-TSS (YER097W)	protein_coding-promoter-TSS (YER097W)	-71	YER097W	YER097W	YER097W			YER097W			protein_coding
IX-6	IX	257297	257375	+	2711.3	0.800	promoter-TSS (YIL052C)	protein_coding-promoter-TSS (YIL052C)	-273	YIL052C	YIL052C	YIL052C			RPL34B			protein_coding
XI-5	XI	666169	666247	+	2711.3	0.771	Intergenic	Intergenic	4766	YKR106W	YKR106W	YKR106W			GEX2			protein_coding
XV-4	XV	109530	109608	+	2711.3	0.556	promoter-TSS (YOL109W)	protein_coding-promoter-TSS (YOL109W)	393	YOL110W	YOL110W	YOL110W			SHR5			protein_coding
X-2	X	745439	745517	+	2711.3	0.714	promoter-TSS (YJR162C)	protein_coding-promoter-TSS (YJR162C)	-217	YJR162C	YJR162C	YJR162C			YJR162C			protein_coding
X-1	X	703718	703796	+	2711.3	0.600	promoter-TSS (YJR145C)	protein_coding-promoter-TSS (YJR145C)	-128	YJR146W	YJR146W	YJR146W			YJR146W			protein_coding
XIV-1	XIV	6775	6853	+	2711.3	0.625	promoter-TSS (YNL337W)	protein_coding-promoter-TSS (YNL337W)	253	YNL338W	YNL338W	YNL338W			YNL338W			protein_coding
XIV-2	XIV	7100	7178	+	2593.5	0.667	promoter-TSS (YNL337W)	protein_coding-promoter-TSS (YNL337W)	-26	YNL337W	YNL337W	YNL337W			YNL337W			protein_coding
XV-3	XV	978949	979027	+	2593.5	0.780	promoter-TSS (YOR344C)	protein_coding-promoter-TSS (YOR344C)	-919	YOR344C	YOR344C	YOR344C			TYE7			protein_coding
XII-16	XII	490674	490752	+	2593.5	0.676	TTS (YLR162W)	protein_coding-TTS (YLR162W)	307	YLR162W-A	YLR162W-A	YLR162W-A			RRT15			protein_coding
III-3	III	749	827	+	2593.5	0.750	promoter-TSS (YCL076W)	protein_coding-promoter-TSS (YCL076W)	-604	YCL076W	YCL076W	YCL076W			YCL076W			protein_coding
XVI-2	XVI	942608	942686	+	2593.5	0.771	promoter-TSS (YPR202W)	protein_coding-promoter-TSS (YPR202W)	-385	YPR202W	YPR202W	YPR202W			YPR202W			protein_coding
XII-14	XII	1064550	1064628	+	2593.5	0.651	Intergenic	Intergenic	-1367	YLR462W	YLR462W	YLR462W			YLR462W			protein_coding
V-5	V	140675	140753	+	2593.5	0.667	promoter-TSS (YEL009C)	protein_coding-promoter-TSS (YEL009C)	104	YEL008C-A	YEL008C-A	YEL008C-A			YEL008C-A			protein_coding
IX-5	IX	99654	99732	+	2593.5	0.619	promoter-TSS (YIL133C)	protein_coding-promoter-TSS (YIL133C)	-277	YIL133C	YIL133C	YIL133C			RPL16A			protein_coding
VII-8	VII	1083910	1083988	+	2475.6	0.636	promoter-TSS (YGR296W)	protein_coding-promoter-TSS (YGR296W)	-915	YGR296W	YGR296W	YGR296W			YRF1-3			protein_coding
XV-5	XV	988148	988226	+	2475.6	0.643	exon (YOR348C, exon 1 of 1)	protein_coding-exon (YOR348C, exon 1 of 1)	595	YOR348C	YOR348C	YOR348C			PUT4			protein_coding
V-12	V	303473	303551	+	2475.6	0.537	promoter-TSS (YER073W)	protein_coding-promoter-TSS (YER073W)	-518	YER073W	YER073W	YER073W			ALD5			protein_coding
V-8	V	53390	53468	+	2475.6	0.692	promoter-TSS (YEL054C)	protein_coding-promoter-TSS (YEL054C)	-211	YEL054C	YEL054C	YEL054C			RPL12A			protein_coding
XII-17	XII	424358	424436	+	2475.6	0.535	promoter-TSS (YLR139C)	protein_coding-promoter-TSS (YLR139C)	714	YLR141W	YLR141W	YLR141W			RRN5			protein_coding
VIII-6	VIII	122432	122510	+	2475.6	0.639	promoter-TSS (YHR007C)	protein_coding-promoter-TSS (YHR007C)	294	YHR007C-A	YHR007C-A	YHR007C-A			YHR007C-A			protein_coding
VI-7	VI	224971	225049	+	2475.6	0.591	promoter-TSS (YFR033C)	protein_coding-promoter-TSS (YFR033C)	-241	YFR033C	YFR033C	YFR033C			QCR6			protein_coding
IV-4	IV	1524884	1524962	+	2475.6	0.758	promoter-TSS (YDR543C)	protein_coding-promoter-TSS (YDR543C)	10	YDR543C	YDR543C	YDR543C			YDR543C			protein_coding
XIV-3	XIV	783841	783919	+	2475.6	0.628	promoter-TSS (YNR077C)	protein_coding-promoter-TSS (YNR077C)	-339	YNR077C	YNR077C	YNR077C			YNR077C			protein_coding
IV-6	IV	411395	411473	+	2475.6	0.634	promoter-TSS (YDL022W)	protein_coding-promoter-TSS (YDL022W)	-391	YDL022W	YDL022W	YDL022W			GPD1			protein_coding
XIII-4	XIII	408406	408484	+	2357.7	0.639	promoter-TSS (YMR070W)	protein_coding-promoter-TSS (YMR070W)	-709	YMR070W	YMR070W	YMR070W			MOT3			protein_coding
XI-6	XI	518657	518735	+	2357.7	0.641	promoter-TSS (YKR040C)	protein_coding-promoter-TSS (YKR040C)	-130	YKR040C	YKR040C	YKR040C			YKR040C			protein_coding
XIII-3	XIII	5513	5591	+	2357.7	0.821	promoter-TSS (YML133C)	protein_coding-promoter-TSS (YML133C)	-868	YML133C	YML133C	YML133C			YML133C			protein_coding
VI-6	VI	4578	4656	+	2357.7	0.568	promoter-TSS (YFL063W)	protein_coding-promoter-TSS (YFL063W)	-449	YFL063W	YFL063W	YFL063W			YFL063W			protein_coding
IV-5	IV	123	201	+	2357.7	0.545	Intergenic	Intergenic	-1640	YDL248W	YDL248W	YDL248W			COS7			protein_coding
XII-19	XII	424001	424079	+	2357.7	0.541	promoter-TSS (YLR139C)	protein_coding-promoter-TSS (YLR139C)	357	YLR141W	YLR141W	YLR141W			RRN5			protein_coding
III-5	III	123517	123595	+	2357.7	0.667	promoter-TSS (YCR006C)	protein_coding-promoter-TSS (YCR006C)	92	tP(AGG)C	tP(AGG)C	tP(AGG)C			SUF2			tRNA
III-4	III	68572	68650	+	2357.7	0.656	promoter-TSS (YCL030C)	protein_coding-promoter-TSS (YCL030C)	-278	YCL030C	YCL030C	YCL030C			HIS4			protein_coding
VIII-5	VIII	556639	556717	+	2357.7	0.758	TTS (YHR216W)	protein_coding-TTS (YHR216W)	364	YHR217C	YHR217C	YHR217C			YHR217C			protein_coding
IV-3	IV	307974	308052	+	2357.7	0.614	promoter-TSS (YDL082W)	protein_coding-promoter-TSS (YDL082W)	-224	YDL083C	YDL083C	YDL083C			RPS16B			protein_coding
VII-6	VII	1000137	1000215	+	2357.7	0.605	promoter-TSS (YGR254W)	protein_coding-promoter-TSS (YGR254W)	-751	YGR254W	YGR254W	YGR254W			ENO1			protein_coding
XVI-3	XVI	214751	214829	+	2357.7	0.528	promoter-TSS (YPL177C)	protein_coding-promoter-TSS (YPL177C)	-828	YPL177C	YPL177C	YPL177C			CUP9			protein_coding
XIII-6	XIII	408228	408306	+	2357.7	0.513	promoter-TSS (YMR070W)	protein_coding-promoter-TSS (YMR070W)	558	YMR069W	YMR069W	YMR069W			NAT4			protein_coding
VII-13	VII	1000444	1000522	+	2357.7	0.684	promoter-TSS (YGR254W)	protein_coding-promoter-TSS (YGR254W)	-444	YGR254W	YGR254W	YGR254W			ENO1			protein_coding
XII-15	XII	489584	489662	+	2357.7	0.625	promoter-TSS (YLR162W)	protein_coding-promoter-TSS (YLR162W)	50	YLR162W	YLR162W	YLR162W			YLR162W			protein_coding
VII-9	VII	23371	23449	+	2357.7	0.800	promoter-TSS (YGL253W)	protein_coding-promoter-TSS (YGL253W)	-525	YGL253W	YGL253W	YGL253W			HXK2			protein_coding
XV-12	XV	978475	978553	+	2239.8	0.688	promoter-TSS (YOR344C)	protein_coding-promoter-TSS (YOR344C)	-445	YOR344C	YOR344C	YOR344C			TYE7			protein_coding
VIII-4	VIII	5111	5189	+	2239.8	0.750	promoter-TSS (YHL049C)	protein_coding-promoter-TSS (YHL049C)	-609	YHL049C	YHL049C	YHL049C			YHL049C			protein_coding
VIII-7	VIII	122612	122690	+	2239.8	0.524	promoter-TSS (YHR007C)	protein_coding-promoter-TSS (YHR007C)	114	YHR007C-A	YHR007C-A	YHR007C-A			YHR007C-A			protein_coding
IV-7	IV	215857	215935	+	2239.8	0.793	promoter-TSS (YDL137W)	protein_coding-promoter-TSS (YDL137W)	-633	YDL137W	YDL137W	YDL137W			ARF2			protein_coding
X-5	X	647159	647237	+	2239.8	0.697	promoter-TSS (YJR119C)	protein_coding-promoter-TSS (YJR119C)	72	YJR120W	YJR120W	YJR120W			YJR120W			protein_coding
VII-10	VII	413392	413470	+	2239.8	0.667	promoter-TSS (YGL045W)	protein_coding-promoter-TSS (YGL045W)	-671	YGL045W	YGL045W	YGL045W			RIM8			protein_coding
XV-6	XV	527	605	+	2239.8	0.710	promoter-TSS (YOL166W-A)	protein_coding-promoter-TSS (YOL166W-A)	-19	YOL166W-A	YOL166W-A	YOL166W-A			YOL166W-A			protein_coding
VII-14	VII	456	534	+	2239.8	0.793	Intergenic	Intergenic	-2295	YGL263W	YGL263W	YGL263W			COS12			protein_coding
MT-2	MT	59838	59916	+	2239.8	0.743	exon (21S_rRNA, exon 1 of 2)	rRNA-exon (21S_rRNA, exon 1 of 2)	-1145	Q0160	Q0160	Q0160			SCEI			protein_coding
XVI-4	XVI	75381	75459	+	2239.8	0.600	promoter-TSS (YPL250C)	protein_coding-promoter-TSS (YPL250C)	-282	YPL250W-A	YPL250W-A	YPL250W-A			YPL250W-A			protein_coding
VIII-9	VIII	122233	122311	+	2239.8	0.641	promoter-TSS (YHR007C)	protein_coding-promoter-TSS (YHR007C)	493	YHR007C-A	YHR007C-A	YHR007C-A			YHR007C-A			protein_coding
V-11	V	222308	222386	+	2239.8	0.727	promoter-TSS (YER035W)	protein_coding-promoter-TSS (YER035W)	-292	YER035W	YER035W	YER035W			EDC2			protein_coding
II-2	II	89577	89655	+	2239.8	0.781	promoter-TSS (YBL071C-B)	protein_coding-promoter-TSS (YBL071C-B)	-60	YBL071C-B	YBL071C-B	YBL071C-B			YBL071C-B			protein_coding
I-5	I	190226	190304	+	2239.8	0.610	promoter-TSS (YAR035W)	protein_coding-promoter-TSS (YAR035W)	72	YAR035W	YAR035W	YAR035W			YAT1			protein_coding
VII-5	VII	920205	920283	+	2121.9	0.636	promoter-TSS (YGR213C)	protein_coding-promoter-TSS (YGR213C)	-331	YGR214W	YGR214W	YGR214W			RPS0A			protein_coding
XIII-7	XIII	557121	557199	+	2121.9	0.588	promoter-TSS (YMR145C)	protein_coding-promoter-TSS (YMR145C)	-685	YMR145C	YMR145C	YMR145C			NDE1			protein_coding
MT-6	MT	31186	31264	+	2121.9	0.818	TTS (Q0092)	protein_coding-TTS (Q0092)	351	Q0092	Q0092	Q0092			Q0092			protein_coding
IV-8	IV	1301357	1301435	+	2121.9	0.905	promoter-TSS (YDR418W)	protein_coding-promoter-TSS (YDR418W)	-220	YDR418W	YDR418W	YDR418W			RPL12B			protein_coding
VII-12	VII	650895	650973	+	2121.9	0.724	promoter-TSS (YGR086C)	protein_coding-promoter-TSS (YGR086C)	-317	YGR086C	YGR086C	YGR086C			PIL1			protein_coding
VII-7	VII	987309	987387	+	2121.9	0.788	promoter-TSS (YGR249W)	protein_coding-promoter-TSS (YGR249W)	-701	YGR249W	YGR249W	YGR249W			MGA1			protein_coding
MT-1	MT	14033	14111	+	2121.9	0.500	exon (Q0050, exon 1 of 1)	protein_coding-exon (Q0050, exon 1 of 1)	254	Q0050	Q0050	Q0050			AI1			protein_coding
V-13	V	491231	491309	+	2121.9	0.676	promoter-TSS (YER158C)	protein_coding-promoter-TSS (YER158C)	-217	YER158W-A	YER158W-A	YER158W-A			YER158W-A			protein_coding
XIII-5	XIII	551311	551389	+	2121.9	0.650	promoter-TSS (YMR142C)	protein_coding-promoter-TSS (YMR142C)	-143	YMR142C	YMR142C	YMR142C			RPL13B			protein_coding
MT-7	MT	61992	62070	+	2121.9	0.815	TTS (Q0160)	protein_coding-TTS (Q0160)	1009	Q0160	Q0160	Q0160			SCEI			protein_coding
X-8	X	663143	663221	+	2121.9	0.538	promoter-TSS (YJR127C)	protein_coding-promoter-TSS (YJR127C)	-123	YJR127C	YJR127C	YJR127C			RSF2			protein_coding
IX-9	IX	232668	232746	+	2121.9	0.605	promoter-TSS (YIL068W-A)	protein_coding-promoter-TSS (YIL068W-A)	-306	YIL068W-A	YIL068W-A	YIL068W-A			YIL068W-A			protein_coding
XIII-9	XIII	271987	272065	+	2121.9	0.778	promoter-TSS (YMR001C)	protein_coding-promoter-TSS (YMR001C)	-167	YMR002W	YMR002W	YMR002W			MIX17			protein_coding
I-7	I	71163	71241	+	2121.9	0.667	promoter-TSS (YAL038W)	protein_coding-promoter-TSS (YAL038W)	-584	YAL038W	YAL038W	YAL038W			CDC19			protein_coding
II-3	II	5905	5983	+	2121.9	0.561	promoter-TSS (YBL111C)	protein_coding-promoter-TSS (YBL111C)	154	YBL109W	YBL109W	YBL109W			YBL109W			protein_coding
XIII-10	XIII	408633	408711	+	2121.9	0.688	promoter-TSS (YMR070W)	protein_coding-promoter-TSS (YMR070W)	-482	YMR070W	YMR070W	YMR070W			MOT3			protein_coding
III-6	III	316033	316111	+	2121.9	0.618	TTS (YCR108C)	protein_coding-TTS (YCR108C)	116	YCR108C	YCR108C	YCR108C			YCR108C			protein_coding
MT-8	MT	74393	74471	+	2121.9	0.545	promoter-TSS (Q0255)	protein_coding-promoter-TSS (Q0255)	-63	Q0255	Q0255	Q0255			Q0255			protein_coding
VII-18	VII	482986	483064	+	2121.9	0.720	promoter-TSS (YGL007C-A)	protein_coding-promoter-TSS (YGL007C-A)	2	YGL007C-A	YGL007C-A	YGL007C-A			YGL007C-A			protein_coding
XII-18	XII	370340	370418	+	2121.9	0.641	promoter-TSS (YLR110C)	protein_coding-promoter-TSS (YLR110C)	-12	YLR111W	YLR111W	YLR111W			YLR111W			protein_coding
XV-7	XV	253950	254028	+	2004.0	0.610	promoter-TSS (YOL039W)	protein_coding-promoter-TSS (YOL039W)	-308	YOL039W	YOL039W	YOL039W			RPP2A			protein_coding
VII-16	VII	152903	152981	+	2004.0	0.826	promoter-TSS (YGL186C)	protein_coding-promoter-TSS (YGL186C)	-166	YGL186C	YGL186C	YGL186C			TPN1			protein_coding
VII-11	VII	483312	483390	+	2004.0	0.615	promoter-TSS (YGL007C-A)	protein_coding-promoter-TSS (YGL007C-A)	91	YGL007W	YGL007W	YGL007W			BRP1			protein_coding
X-9	X	391991	392069	+	2004.0	0.667	promoter-TSS (YJL026W)	protein_coding-promoter-TSS (YJL026W)	219	YJL027C	YJL027C	YJL027C			YJL027C			protein_coding
XIII-8	XIII	306751	306829	+	2004.0	0.724	promoter-TSS (YMR017W)	protein_coding-promoter-TSS (YMR017W)	-699	YMR017W	YMR017W	YMR017W			SPO20			protein_coding
XV-9	XV	978668	978746	+	2004.0	0.611	promoter-TSS (YOR344C)	protein_coding-promoter-TSS (YOR344C)	-638	YOR344C	YOR344C	YOR344C			TYE7			protein_coding
XV-8	XV	882119	882197	+	2004.0	0.719	promoter-TSS (YOR302W)	protein_coding-promoter-TSS (YOR302W)	-607	YOR302W	YOR302W	YOR302W			YOR302W			protein_coding
MT-11	MT	79267	79345	+	2004.0	0.679	promoter-TSS (Q0275)	protein_coding-promoter-TSS (Q0275)	93	Q0275	Q0275	Q0275			COX3			protein_coding
X-6	X	160053	160131	+	2004.0	0.769	promoter-TSS (YJL133C-A)	protein_coding-promoter-TSS (YJL133C-A)	-245	YJL133C-A	YJL133C-A	YJL133C-A			YJL133C-A			protein_coding
MT-3	MT	14204	14282	+	2004.0	0.697	exon (Q0050, exon 1 of 1)	protein_coding-exon (Q0050, exon 1 of 1)	425	Q0050	Q0050	Q0050			AI1			protein_coding
IX-8	IX	232482	232560	+	2004.0	0.645	promoter-TSS (YIL068W-A)	protein_coding-promoter-TSS (YIL068W-A)	-152	YIL069C	YIL069C	YIL069C			RPS24B			protein_coding
XV-10	XV	779645	779723	+	2004.0	0.553	promoter-TSS (YOR234C)	protein_coding-promoter-TSS (YOR234C)	-186	YOR235W	YOR235W	YOR235W			IRC13			protein_coding
XI-7	XI	258691	258769	+	2004.0	0.588	promoter-TSS (YKL096W-A)	protein_coding-promoter-TSS (YKL096W-A)	183	YKL097C	YKL097C	YKL097C			YKL097C			protein_coding
MT-5	MT	20580	20658	+	2004.0	0.714	TTS (Q0060)	protein_coding-TTS (Q0060)	-3537	Q0075	Q0075	Q0075			AI5_BETA			protein_coding
VI-9	VI	106590	106668	+	2004.0	0.720	promoter-TSS (YFL014W)	protein_coding-promoter-TSS (YFL014W)	214	YFL015W-A	YFL015W-A	YFL015W-A			YFL015W-A			protein_coding
VI-8	VI	95627	95705	+	2004.0	0.654	promoter-TSS (YFL021W)	protein_coding-promoter-TSS (YFL021W)	-300	YFL021W	YFL021W	YFL021W			GAT1			protein_coding
