PeakID (cmd=annotatePeaks.pl SPT5_T15_R2_homer_narrowPeak.txt genome.fa -gtf genes.gtf -cpu 2)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
XV-6	XV	638992	639084	+	2199.4	0.596	promoter-TSS (YOR161C)	protein_coding-promoter-TSS (YOR161C)	229	YOR161C-C	YOR161C-C	YOR161C-C			YOR161C-C			protein_coding
IV-5	IV	636170	636262	+	2117.9	0.727	promoter-TSS (YDR096W)	protein_coding-promoter-TSS (YDR096W)	311	YDR095C	YDR095C	YDR095C			YDR095C			protein_coding
XV-12	XV	779564	779656	+	2117.9	0.711	promoter-TSS (YOR234C)	protein_coding-promoter-TSS (YOR234C)	-205	YOR234C	YOR234C	YOR234C			RPL33B			protein_coding
V-6	V	335511	335603	+	2117.9	0.600	promoter-TSS (YER088C)	protein_coding-promoter-TSS (YER088C)	-369	YER088C	YER088C	YER088C			DOT6			protein_coding
X-3	X	392007	392099	+	2117.9	0.700	promoter-TSS (YJL026W)	protein_coding-promoter-TSS (YJL026W)	196	YJL027C	YJL027C	YJL027C			YJL027C			protein_coding
VII-7	VII	785738	785830	+	2117.9	0.612	promoter-TSS (YGR146C)	protein_coding-promoter-TSS (YGR146C)	-347	YGR146C-A	YGR146C-A	YGR146C-A			YGR146C-A			protein_coding
IV-4	IV	1429163	1429255	+	2117.9	0.732	promoter-TSS (YDR487C)	protein_coding-promoter-TSS (YDR487C)	-229	YDR487C	YDR487C	YDR487C			RIB3			protein_coding
XV-8	XV	424312	424404	+	2117.9	0.653	promoter-TSS (YOR049C)	protein_coding-promoter-TSS (YOR049C)	259	YOR050C	YOR050C	YOR050C			YOR050C			protein_coding
III-1	III	137149	137241	+	2117.9	0.806	promoter-TSS (YCR011C)	protein_coding-promoter-TSS (YCR011C)	-322	YCR011C	YCR011C	YCR011C			ADP1			protein_coding
XIV-4	XIV	427191	427283	+	2117.9	0.619	promoter-TSS (YNL103W)	protein_coding-promoter-TSS (YNL103W)	-483	YNL104C	YNL104C	YNL104C			LEU4			protein_coding
XII-4	XII	423978	424070	+	2117.9	0.721	promoter-TSS (YLR139C)	protein_coding-promoter-TSS (YLR139C)	341	YLR141W	YLR141W	YLR141W			RRN5			protein_coding
IX-3	IX	332890	332982	+	2117.9	0.583	promoter-TSS (YIL011W)	protein_coding-promoter-TSS (YIL011W)	-75	YIL012W	YIL012W	YIL012W			YIL012W			protein_coding
VI-3	VI	106528	106620	+	2117.9	0.560	promoter-TSS (YFL014W)	protein_coding-promoter-TSS (YFL014W)	159	YFL015W-A	YFL015W-A	YFL015W-A			YFL015W-A			protein_coding
XVI-4	XVI	76393	76485	+	2117.9	0.683	promoter-TSS (YPL249C-A)	protein_coding-promoter-TSS (YPL249C-A)	-200	YPL249C-A	YPL249C-A	YPL249C-A			RPL36B			protein_coding
XVI-1	XVI	502789	502881	+	2117.9	0.660	promoter-TSS (YPL024W)	protein_coding-promoter-TSS (YPL024W)	195	YPL025C	YPL025C	YPL025C			YPL025C			protein_coding
XIV-5	XIV	559280	559372	+	2117.9	0.633	promoter-TSS (YNL036W)	protein_coding-promoter-TSS (YNL036W)	-324	YNL037C	YNL037C	YNL037C			IDH1			protein_coding
X-4	X	647170	647262	+	2117.9	0.789	promoter-TSS (YJR119C)	protein_coding-promoter-TSS (YJR119C)	90	YJR120W	YJR120W	YJR120W			YJR120W			protein_coding
VIII-2	VIII	214217	214309	+	2036.5	0.926	promoter-TSS (RUF5-2)	ncRNA-promoter-TSS (RUF5-2)	-14	YHR054C	YHR054C	YHR054C			YHR054C			protein_coding
IV-8	IV	955244	955336	+	2036.5	0.636	promoter-TSS (YDR247W)	protein_coding-promoter-TSS (YDR247W)	157	YDR246W-A	YDR246W-A	YDR246W-A			YDR246W-A			protein_coding
XIV-6	XIV	6711	6803	+	2036.5	0.750	promoter-TSS (YNL337W)	protein_coding-promoter-TSS (YNL337W)	196	YNL338W	YNL338W	YNL338W			YNL338W			protein_coding
II-4	II	168166	168258	+	2036.5	0.720	promoter-TSS (YBL027W)	protein_coding-promoter-TSS (YBL027W)	-211	YBL027W	YBL027W	YBL027W			RPL19B			protein_coding
XV-11	XV	882166	882258	+	2036.5	0.767	promoter-TSS (YOR302W)	protein_coding-promoter-TSS (YOR302W)	-553	YOR302W	YOR302W	YOR302W			YOR302W			protein_coding
XIV-3	XIV	331120	331212	+	2036.5	0.744	promoter-TSS (YNL162W)	protein_coding-promoter-TSS (YNL162W)	-156	YNL162W	YNL162W	YNL162W			RPL42A			protein_coding
XVI-8	XVI	901673	901765	+	2036.5	0.698	promoter-TSS (YPR184W)	protein_coding-promoter-TSS (YPR184W)	-325	YPR184W	YPR184W	YPR184W			GDB1			protein_coding
VII-9	VII	599051	599143	+	2036.5	0.630	promoter-TSS (YGR055W)	protein_coding-promoter-TSS (YGR055W)	-320	YGR055W	YGR055W	YGR055W			MUP1			protein_coding
V-7	V	570278	570370	+	2036.5	0.727	promoter-TSS (YER188C-A)	protein_coding-promoter-TSS (YER188C-A)	-417	YER188C-A	YER188C-A	YER188C-A			YER188C-A			protein_coding
XIII-4	XIII	653443	653535	+	2036.5	0.727	promoter-TSS (YMR194C-A)	protein_coding-promoter-TSS (YMR194C-A)	-353	YMR194C-A	YMR194C-A	YMR194C-A			YMR194C-A			protein_coding
IV-6	IV	117429	117521	+	2036.5	0.879	promoter-TSS (YDL191W)	protein_coding-promoter-TSS (YDL191W)	-189	YDL191W	YDL191W	YDL191W			RPL35A			protein_coding
XIII-6	XIII	774010	774102	+	2036.5	0.636	promoter-TSS (YMR251W-A)	protein_coding-promoter-TSS (YMR251W-A)	-696	YMR251W-A	YMR251W-A	YMR251W-A			HOR7			protein_coding
X-6	X	609151	609243	+	2036.5	0.690	promoter-TSS (YJR095W)	protein_coding-promoter-TSS (YJR095W)	-576	YJR095W	YJR095W	YJR095W			SFC1			protein_coding
XVI-9	XVI	114463	114555	+	2036.5	0.673	promoter-TSS (YPL230W)	protein_coding-promoter-TSS (YPL230W)	-803	YPL230W	YPL230W	YPL230W			USV1			protein_coding
XII-7	XII	522407	522499	+	2036.5	0.769	promoter-TSS (YLR183C)	protein_coding-promoter-TSS (YLR183C)	-210	YLR185W	YLR185W	YLR185W			RPL37A			protein_coding
III-2	III	78341	78433	+	2036.5	0.510	promoter-TSS (YCL024W)	protein_coding-promoter-TSS (YCL024W)	-468	YCL025C	YCL025C	YCL025C			AGP1			protein_coding
XIII-7	XIII	551340	551432	+	1955.0	0.650	promoter-TSS (YMR142C)	protein_coding-promoter-TSS (YMR142C)	-179	YMR142C	YMR142C	YMR142C			RPL13B			protein_coding
XVI-10	XVI	214640	214732	+	1955.0	0.528	promoter-TSS (YPL177C)	protein_coding-promoter-TSS (YPL177C)	-724	YPL177C	YPL177C	YPL177C			CUP9			protein_coding
VIII-3	VIII	280521	280613	+	1955.0	0.667	promoter-TSS (YHR087W)	protein_coding-promoter-TSS (YHR087W)	-253	YHR087W	YHR087W	YHR087W			RTC3			protein_coding
VIII-5	VIII	236447	236539	+	1955.0	0.788	promoter-TSS (YHR070C-A)	protein_coding-promoter-TSS (YHR070C-A)	19	YHR070C-A	YHR070C-A	YHR070C-A			YHR070C-A			protein_coding
XII-6	XII	796480	796572	+	1955.0	0.794	promoter-TSS (YLR333C)	protein_coding-promoter-TSS (YLR333C)	552	YLR334C	YLR334C	YLR334C			YLR334C			protein_coding
XV-14	XV	391699	391791	+	1955.0	0.632	promoter-TSS (YOR032C)	protein_coding-promoter-TSS (YOR032C)	-431	YOR032W-A	YOR032W-A	YOR032W-A			YOR032W-A			protein_coding
IV-11	IV	539263	539355	+	1955.0	0.658	promoter-TSS (YDR040C)	protein_coding-promoter-TSS (YDR040C)	-494	YDR041W	YDR041W	YDR041W			RSM10			protein_coding
XI-4	XI	258769	258861	+	1955.0	0.617	promoter-TSS (YKL096W-A)	protein_coding-promoter-TSS (YKL096W-A)	98	YKL097C	YKL097C	YKL097C			YKL097C			protein_coding
V-9	V	174766	174858	+	1955.0	0.568	promoter-TSS (YER011W)	protein_coding-promoter-TSS (YER011W)	-436	YER011W	YER011W	YER011W			TIR1			protein_coding
II-3	II	140690	140782	+	1955.0	0.614	promoter-TSS (YBL041W)	protein_coding-promoter-TSS (YBL041W)	-476	YBL042C	YBL042C	YBL042C			FUI1			protein_coding
XV-16	XV	216472	216564	+	1955.0	0.674	promoter-TSS (YOL059W)	protein_coding-promoter-TSS (YOL059W)	-381	YOL060C	YOL060C	YOL060C			MAM3			protein_coding
I-1	I	68309	68401	+	1955.0	0.692	promoter-TSS (YAL040C)	protein_coding-promoter-TSS (YAL040C)	-835	YAL040C	YAL040C	YAL040C			CLN3			protein_coding
X-5	X	578269	578361	+	1955.0	0.806	promoter-TSS (YJR077C)	protein_coding-promoter-TSS (YJR077C)	-125	YJR077C	YJR077C	YJR077C			MIR1			protein_coding
VII-10	VII	856836	856928	+	1955.0	0.577	promoter-TSS (YGR180C)	protein_coding-promoter-TSS (YGR180C)	-581	YGR180C	YGR180C	YGR180C			RNR4			protein_coding
IV-9	IV	1401485	1401577	+	1955.0	0.700	promoter-TSS (YDR470C)	protein_coding-promoter-TSS (YDR470C)	-239	YDR471W	YDR471W	YDR471W			RPL27B			protein_coding
IV-7	IV	307935	308027	+	1955.0	0.630	promoter-TSS (YDL082W)	protein_coding-promoter-TSS (YDL082W)	-192	YDL083C	YDL083C	YDL083C			RPS16B			protein_coding
IV-16	IV	538926	539018	+	1955.0	0.658	promoter-TSS (YDR040C)	protein_coding-promoter-TSS (YDR040C)	-505	YDR040C	YDR040C	YDR040C			ENA1			protein_coding
XIV-7	XIV	503130	503222	+	1955.0	0.725	promoter-TSS (YNL065W)	protein_coding-promoter-TSS (YNL065W)	-548	YNL065W	YNL065W	YNL065W			AQR1			protein_coding
VI-2	VI	107408	107500	+	1955.0	0.644	promoter-TSS (YFL013W-A)	protein_coding-promoter-TSS (YFL013W-A)	198	YFL014W	YFL014W	YFL014W			HSP12			protein_coding
XVI-11	XVI	942599	942691	+	1955.0	0.862	promoter-TSS (YPR202W)	protein_coding-promoter-TSS (YPR202W)	-387	YPR202W	YPR202W	YPR202W			YPR202W			protein_coding
II-5	II	625048	625140	+	1873.6	0.696	promoter-TSS (YBR201C-A)	protein_coding-promoter-TSS (YBR201C-A)	-398	YBR201C-A	YBR201C-A	YBR201C-A			YBR201C-A			protein_coding
II-11	II	466233	466325	+	1873.6	0.643	promoter-TSS (YBR112C)	protein_coding-promoter-TSS (YBR112C)	-509	YBR112C	YBR112C	YBR112C			CYC8			protein_coding
VIII-4	VIII	122212	122304	+	1873.6	0.806	promoter-TSS (YHR007C)	protein_coding-promoter-TSS (YHR007C)	507	YHR007C-A	YHR007C-A	YHR007C-A			YHR007C-A			protein_coding
V-11	V	396393	396485	+	1873.6	0.491	promoter-TSS (YER116C)	protein_coding-promoter-TSS (YER116C)	-267	YER116C	YER116C	YER116C			SLX8			protein_coding
XV-10	XV	619235	619327	+	1873.6	0.730	promoter-TSS (YOR152C)	protein_coding-promoter-TSS (YOR152C)	-559	YOR153W	YOR153W	YOR153W			PDR5			protein_coding
IX-7	IX	254412	254504	+	1873.6	0.521	promoter-TSS (YIL053W)	protein_coding-promoter-TSS (YIL053W)	-85	YIL054W	YIL054W	YIL054W			YIL054W			protein_coding
IV-17	IV	593549	593641	+	1873.6	0.553	promoter-TSS (YDR074W)	protein_coding-promoter-TSS (YDR074W)	-298	YDR074W	YDR074W	YDR074W			TPS2			protein_coding
V-8	V	117804	117896	+	1873.6	0.471	promoter-TSS (YEL020C-B)	protein_coding-promoter-TSS (YEL020C-B)	185	RPR1	RPR1	RPR1			RPR1			ncRNA
VIII-6	VIII	150877	150969	+	1873.6	0.667	promoter-TSS (YHR022C)	protein_coding-promoter-TSS (YHR022C)	383	YHR022C-A	YHR022C-A	YHR022C-A			YHR022C-A			protein_coding
II-8	II	595721	595813	+	1873.6	0.592	promoter-TSS (YBR182C)	protein_coding-promoter-TSS (YBR182C)	-212	YBR182C-A	YBR182C-A	YBR182C-A			YBR182C-A			protein_coding
IV-14	IV	1507417	1507509	+	1873.6	0.583	promoter-TSS (YDR535C)	protein_coding-promoter-TSS (YDR535C)	-101	YDR535C	YDR535C	YDR535C			YDR535C			protein_coding
XII-8	XII	489518	489610	+	1873.6	0.667	promoter-TSS (YLR162W)	protein_coding-promoter-TSS (YLR162W)	-9	YLR162W	YLR162W	YLR162W			YLR162W			protein_coding
VII-12	VII	23321	23413	+	1873.6	0.657	promoter-TSS (YGL253W)	protein_coding-promoter-TSS (YGL253W)	-568	YGL253W	YGL253W	YGL253W			HXK2			protein_coding
VII-11	VII	987441	987533	+	1873.6	0.689	promoter-TSS (YGR249W)	protein_coding-promoter-TSS (YGR249W)	-562	YGR249W	YGR249W	YGR249W			MGA1			protein_coding
XV-15	XV	144	236	+	1873.6	0.683	promoter-TSS (YOL166W-A)	protein_coding-promoter-TSS (YOL166W-A)	-395	YOL166W-A	YOL166W-A	YOL166W-A			YOL166W-A			protein_coding
XVI-16	XVI	679288	679380	+	1873.6	0.727	promoter-TSS (YPR065W)	protein_coding-promoter-TSS (YPR065W)	-359	YPR065W	YPR065W	YPR065W			ROX1			protein_coding
XII-14	XII	1064904	1064996	+	1873.6	0.650	Intergenic	Intergenic	-1006	YLR462W	YLR462W	YLR462W			YLR462W			protein_coding
XIV-9	XIV	652084	652176	+	1873.6	0.519	promoter-TSS (YNR013C)	protein_coding-promoter-TSS (YNR013C)	-335	YNR014W	YNR014W	YNR014W			YNR014W			protein_coding
XVI-14	XVI	731949	732041	+	1873.6	0.667	promoter-TSS (YPR102C)	protein_coding-promoter-TSS (YPR102C)	-247	YPR102C	YPR102C	YPR102C			RPL11A			protein_coding
II-7	II	378899	378991	+	1873.6	0.625	promoter-TSS (YBR069C)	protein_coding-promoter-TSS (YBR069C)	-512	YBR069C	YBR069C	YBR069C			TAT1			protein_coding
XV-13	XV	83337	83429	+	1873.6	0.542	promoter-TSS (YOL125W)	protein_coding-promoter-TSS (YOL125W)	-451	YOL125W	YOL125W	YOL125W			TRM13			protein_coding
XVI-12	XVI	566969	567061	+	1873.6	0.781	promoter-TSS (YPR005C)	protein_coding-promoter-TSS (YPR005C)	-344	YPR005C	YPR005C	YPR005C			HAL1			protein_coding
V-15	V	461879	461971	+	1792.1	0.686	promoter-TSS (YER145C)	protein_coding-promoter-TSS (YER145C)	-185	YER145C	YER145C	YER145C			FTR1			protein_coding
XIII-10	XIII	465808	465900	+	1792.1	0.840	promoter-TSS (YMR100W)	protein_coding-promoter-TSS (YMR100W)	-446	YMR100W	YMR100W	YMR100W			MUB1			protein_coding
X-7	X	391575	391667	+	1792.1	0.641	promoter-TSS (YJL026W)	protein_coding-promoter-TSS (YJL026W)	310	YJL028W	YJL028W	YJL028W			YJL028W			protein_coding
XIII-11	XIII	169932	170024	+	1792.1	0.774	promoter-TSS (YML052W)	protein_coding-promoter-TSS (YML052W)	-224	YML053C	YML053C	YML053C			YML053C			protein_coding
V-12	V	442083	442175	+	1792.1	0.643	promoter-TSS (YER137C)	protein_coding-promoter-TSS (YER137C)	142	SCR1	SCR1	SCR1			SCR1			ncRNA
XII-10	XII	370868	370960	+	1792.1	0.675	promoter-TSS (YLR110C)	protein_coding-promoter-TSS (YLR110C)	123	YLR112W	YLR112W	YLR112W			YLR112W			protein_coding
VII-15	VII	428126	428218	+	1792.1	0.775	promoter-TSS (YGL036W)	protein_coding-promoter-TSS (YGL036W)	-225	YGL037C	YGL037C	YGL037C			PNC1			protein_coding
IV-24	IV	769343	769435	+	1792.1	0.719	promoter-TSS (YDR154C)	protein_coding-promoter-TSS (YDR154C)	-136	YDR156W	YDR156W	YDR156W			RPA14			protein_coding
XV-21	XV	446884	446976	+	1792.1	0.700	promoter-TSS (YOR064C)	protein_coding-promoter-TSS (YOR064C)	-192	YOR064C	YOR064C	YOR064C			YNG1			protein_coding
XV-17	XV	254006	254098	+	1792.1	0.725	promoter-TSS (YOL039W)	protein_coding-promoter-TSS (YOL039W)	-245	YOL039W	YOL039W	YOL039W			RPP2A			protein_coding
VII-14	VII	810012	810104	+	1792.1	0.489	promoter-TSS (YGR161C)	protein_coding-promoter-TSS (YGR161C)	-169	YGR161W-C	YGR161W-C	YGR161W-C			YGR161W-C			protein_coding
II-10	II	165132	165224	+	1792.1	0.610	promoter-TSS (YBL029C-A)	protein_coding-promoter-TSS (YBL029C-A)	-406	YBL029C-A	YBL029C-A	YBL029C-A			YBL029C-A			protein_coding
IV-12	IV	240008	240100	+	1792.1	0.605	promoter-TSS (YDL124W)	protein_coding-promoter-TSS (YDL124W)	-205	YDL124W	YDL124W	YDL124W			YDL124W			protein_coding
XIII-12	XIII	388423	388515	+	1792.1	0.634	promoter-TSS (YMR056C)	protein_coding-promoter-TSS (YMR056C)	-225	YMR056C	YMR056C	YMR056C			AAC1			protein_coding
IX-6	IX	249180	249272	+	1792.1	0.578	promoter-TSS (YIL056W)	protein_coding-promoter-TSS (YIL056W)	376	tS(UGA)I	tS(UGA)I	tS(UGA)I			SUP17			tRNA
IV-10	IV	217300	217392	+	1792.1	0.684	promoter-TSS (YDL136W)	protein_coding-promoter-TSS (YDL136W)	-254	YDL136W	YDL136W	YDL136W			RPL35B			protein_coding
XII-18	XII	704552	704644	+	1792.1	0.639	promoter-TSS (YLR278C)	protein_coding-promoter-TSS (YLR278C)	235	YLR280C	YLR280C	YLR280C			YLR280C			protein_coding
V-10	V	85233	85325	+	1792.1	0.714	promoter-TSS (YEL033W)	protein_coding-promoter-TSS (YEL033W)	266	YEL035C	YEL035C	YEL035C			UTR5			protein_coding
