# HOMER Peaks
# Peak finding parameters:
# tag directory = SPT5_T15_R1_Tagdir
#
# total peaks = 721
# peak size = 97
# peaks found using tags on both strands
# minimum distance between peaks = 194
# fragment length = 78
# genome size = 12130177
# Total tags = 60270.0
# Total tags in peaks = 7475.0
# Approximate IP efficiency = 12.40%
# tags per bp = 0.004917
# expected tags per peak = 0.477
# maximum tags considered per bp = 1.0
# effective number of tags used for normalization = 10000000.0
# Peaks have been centered at maximum tag pile-up
# FDR rate threshold = 0.001000000
# FDR effective poisson threshold = 7.350817e-07
# FDR tag threshold = 7.0
# number of putative peaks = 762
#
# size of region used for local filtering = 10000
# Fold over local region required = 4.00
# Poisson p-value over local region required = 1.00e-04
# Putative peaks filtered by local signal = 41
#
# Maximum fold under expected unique positions for tags = 2.00
# Putative peaks filtered for being too clonal = 0
#
# cmd = findPeaks SPT5_T15_R1_Tagdir -style factor -o SPT5_T15_R1_homer_narrowPeak.txt
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	focus ratio	findPeaks Score	Fold Change vs Local	p-value vs Local	Clonal Fold Change
XV-6	XV	639060	639156	+	2654.7	0.649	16.500000	21.49	2.02e-16	0.93
XVI-2	XVI	40435	40531	+	2654.7	0.623	16.000000	29.70	1.40e-18	0.96
IV-3	IV	411245	411341	+	2571.8	0.547	16.000000	8.94	5.82e-10	0.93
VI-1	VI	4839	4935	+	2571.8	0.739	17.500000	44.58	7.10e-20	0.90
VI-4	VI	183129	183225	+	2571.8	0.636	15.000000	18.40	2.51e-14	0.93
VI-3	VI	255530	255626	+	2571.8	0.619	16.000000	21.53	2.69e-15	0.90
XIII-2	XIII	551367	551463	+	2571.8	0.773	16.500000	30.73	1.61e-17	0.90
XV-8	XV	462403	462499	+	2571.8	0.814	16.000000	26.37	1.46e-16	0.90
II-3	II	193748	193844	+	2488.8	0.660	15.000000	34.80	1.63e-18	0.96
IV-6	IV	636227	636323	+	2488.8	0.621	15.500000	20.56	4.27e-14	0.90
VIII-2	VIII	122454	122550	+	2488.8	0.745	15.000000	14.29	3.22e-12	0.94
X-2	X	360926	361022	+	2488.8	0.816	16.000000	23.93	3.71e-16	0.93
XI-2	XI	666529	666625	+	2488.8	0.738	15.500000	52.81	3.64e-21	0.96
XII-5	XII	728449	728545	+	2488.8	0.586	15.000000	20.42	2.93e-14	0.97
XV-13	XV	678907	679003	+	2488.8	0.780	15.000000	20.69	2.97e-15	0.96
XV-7	XV	978594	978690	+	2488.8	0.649	16.500000	16.04	1.10e-13	0.93
XVI-3	XVI	214614	214710	+	2488.8	0.597	15.500000	15.16	2.42e-13	0.93
XVI-8	XVI	432197	432293	+	2488.8	0.603	13.500000	14.80	3.64e-13	1.03
XVI-5	XVI	645577	645673	+	2488.8	0.525	15.500000	8.44	8.14e-10	0.93
II-2	II	595721	595817	+	2405.8	0.773	15.500000	23.43	4.66e-15	0.94
II-5	II	614183	614279	+	2405.8	0.636	14.500000	18.50	1.29e-12	0.91
III-2	III	137362	137458	+	2405.8	0.596	14.000000	18.75	1.09e-12	0.94
IV-5	IV	600167	600263	+	2405.8	0.633	15.500000	14.37	5.07e-12	0.90
IV-7	IV	1429289	1429385	+	2405.8	0.630	14.500000	28.47	5.45e-16	0.90
V-8	V	354975	355071	+	2405.8	0.792	14.000000	26.20	1.67e-15	0.97
VII-9	VII	433353	433449	+	2405.8	0.577	15.000000	32.18	1.04e-16	0.90
X-4	X	391979	392075	+	2405.8	0.680	15.500000	25.75	2.11e-15	0.90
XII-4	XII	424322	424418	+	2405.8	0.627	15.000000	23.50	7.19e-15	0.90
XIII-3	XIII	653407	653503	+	2405.8	0.649	15.500000	15.05	1.65e-12	0.94
XIII-5	XIII	774152	774248	+	2405.8	0.596	14.500000	11.34	1.09e-10	0.90
XV-10	XV	83280	83376	+	2405.8	0.674	15.000000	19.06	7.34e-14	0.94
XVI-7	XVI	502772	502868	+	2405.8	0.638	14.000000	17.21	4.48e-13	0.94
XVI-4	XVI	641313	641409	+	2405.8	0.597	15.500000	9.31	1.33e-09	0.90
I-1	I	190297	190393	+	2322.9	0.620	15.500000	20.71	2.42e-14	0.94
II-6	II	270012	270108	+	2322.9	0.784	14.000000	28.03	4.19e-16	0.94
II-4	II	466478	466574	+	2322.9	0.756	14.500000	19.06	7.34e-14	0.94
III-1	III	78352	78448	+	2322.9	0.517	14.500000	20.71	2.42e-14	0.94
IX-2	IX	249193	249289	+	2322.9	0.659	15.500000	15.29	1.34e-12	0.94
V-5	V	53443	53539	+	2322.9	0.694	15.500000	30.09	1.60e-16	0.94
V-6	V	117733	117829	+	2322.9	0.562	15.000000	19.31	6.14e-14	0.94
VII-15	VII	1000443	1000539	+	2322.9	0.612	14.000000	21.82	1.21e-14	0.94
VIII-3	VIII	455720	455816	+	2322.9	0.743	14.000000	21.82	1.21e-14	0.94
X-5	X	703202	703298	+	2322.9	0.868	15.500000	15.79	8.75e-13	0.94
XI-3	XI	216917	217013	+	2322.9	0.846	13.500000	31.07	1.04e-16	0.97
XIII-4	XIII	408271	408367	+	2322.9	0.526	15.000000	16.72	4.14e-13	0.94
XIV-3	XIV	331103	331199	+	2322.9	0.791	14.500000	19.45	5.61e-14	0.94
XIV-1	XIV	652020	652116	+	2322.9	0.680	15.500000	21.66	1.34e-14	0.94
XV-11	XV	254009	254105	+	2322.9	0.744	15.000000	27.22	6.20e-16	0.94
XV-12	XV	424269	424365	+	2322.9	0.541	15.000000	21.66	1.34e-14	0.94
IV-10	IV	62291	62387	+	2239.9	0.460	13.500000	12.20	2.16e-10	0.94
IV-11	IV	410947	411043	+	2239.9	0.574	13.500000	7.74	4.41e-08	0.91
IV-9	IV	465178	465274	+	2239.9	0.652	14.000000	21.37	2.18e-13	0.91
IX-3	IX	254350	254446	+	2239.9	0.617	14.500000	8.76	6.89e-09	0.94
V-7	V	123325	123421	+	2239.9	0.630	14.000000	27.02	1.18e-14	0.91
VII-12	VII	398111	398207	+	2239.9	0.581	14.000000	24.39	4.22e-14	0.91
VII-13	VII	413401	413497	+	2239.9	0.547	14.000000	20.27	4.19e-13	0.91
VII-10	VII	428168	428264	+	2239.9	0.698	14.500000	27.29	1.04e-14	0.91
VII-8	VII	726673	726769	+	2239.9	0.723	15.500000	27.94	4.83e-15	0.94
XII-7	XII	924762	924858	+	2239.9	0.857	13.500000	18.56	7.77e-13	0.94
XII-6	XII	1071586	1071682	+	2239.9	0.630	15.000000	74.50	3.04e-20	0.91
XIII-6	XIII	353184	353280	+	2239.9	0.596	14.000000	16.41	5.59e-12	0.91
XIV-2	XIV	350124	350220	+	2239.9	0.667	15.000000	22.78	9.87e-14	0.91
XV-15	XV	216513	216609	+	2239.9	0.627	13.500000	16.91	3.86e-12	0.91
XV-23	XV	443895	443991	+	2239.9	0.725	12.500000	19.14	8.47e-13	1.02
XV-17	XV	762195	762291	+	2239.9	0.800	13.500000	25.76	2.14e-14	0.91
XV-14	XV	968230	968326	+	2239.9	0.698	14.000000	43.75	2.71e-17	0.94
XVI-6	XVI	339504	339600	+	2239.9	0.654	14.500000	16.41	5.59e-12	0.91
II-14	II	378845	378941	+	2157.0	0.609	12.500000	12.39	9.17e-10	0.95
II-9	II	415460	415556	+	2157.0	0.681	13.000000	12.96	5.18e-10	0.91
II-10	II	592926	593022	+	2157.0	0.641	13.000000	18.43	8.47e-13	0.94
IV-4	IV	551188	551284	+	2157.0	0.556	15.500000	18.50	9.65e-12	0.91
IV-13	IV	1242882	1242978	+	2157.0	0.667	13.500000	19.52	4.19e-13	0.94
IV-14	IV	1490363	1490459	+	2157.0	0.767	13.500000	18.10	1.23e-11	0.95
IV-8	IV	1507242	1507338	+	2157.0	0.643	14.500000	12.40	1.12e-10	0.94
IX-4	IX	68408	68504	+	2157.0	0.667	13.000000	66.36	8.26e-20	0.94
V-9	V	335796	335892	+	2157.0	0.431	13.500000	13.58	3.09e-10	0.91
VII-11	VII	547514	547610	+	2157.0	0.679	14.500000	22.31	8.02e-14	0.98
VII-16	VII	610078	610174	+	2157.0	0.667	13.500000	16.39	3.59e-12	0.94
VII-18	VII	987355	987451	+	2157.0	0.614	13.000000	16.39	3.59e-12	0.98
VIII-4	VIII	148844	148940	+	2157.0	0.667	13.500000	21.24	1.48e-13	0.94
X-7	X	639440	639536	+	2157.0	0.636	13.000000	17.46	1.64e-12	0.94
XI-6	XI	322542	322638	+	2157.0	0.511	13.000000	17.94	1.19e-12	0.94
XII-8	XII	43	139	+	2157.0	0.818	12.500000	442.40	1.90e-30	0.98
XII-14	XII	1064810	1064906	+	2157.0	0.692	12.000000	21.45	1.79e-12	0.99
XIII-10	XIII	282982	283078	+	2157.0	0.667	13.000000	14.84	1.15e-10	0.91
XIII-7	XIII	434402	434498	+	2157.0	0.769	13.500000	13.61	3.40e-11	0.98
XV-16	XV	514779	514875	+	2157.0	0.735	13.500000	22.88	5.84e-14	0.94
XV-18	XV	866815	866911	+	2157.0	0.650	13.500000	35.87	2.08e-16	0.98
XV-20	XV	989162	989258	+	2157.0	0.696	13.000000	7.29	1.82e-07	0.95
II-12	II	164217	164313	+	2074.0	0.632	12.500000	9.21	1.51e-08	0.95
II-11	II	605891	605987	+	2074.0	0.727	13.000000	19.48	5.35e-12	0.91
IX-6	IX	232642	232738	+	2074.0	0.600	12.500000	26.59	1.52e-13	0.95
V-10	V	281090	281186	+	2074.0	0.529	13.000000	9.11	1.70e-08	0.95
V-13	V	491221	491317	+	2074.0	0.744	13.000000	32.31	1.60e-14	0.91
VIII-5	VIII	48339	48435	+	2074.0	0.667	13.000000	15.66	6.29e-11	0.95
VIII-6	VIII	175158	175254	+	2074.0	0.585	13.000000	16.57	3.33e-11	0.91
X-6	X	294609	294705	+	2074.0	0.723	14.000000	13.72	2.74e-10	0.91
XI-5	XI	99739	99835	+	2074.0	0.617	13.000000	20.42	3.14e-12	0.91
XI-10	XI	385314	385410	+	2074.0	0.628	12.000000	10.54	1.54e-08	0.95
XIII-11	XIII	408605	408701	+	2074.0	0.532	13.000000	14.02	2.15e-10	0.91
XIII-8	XIII	557106	557202	+	2074.0	0.610	13.500000	21.45	1.79e-12	0.91
XIII-9	XIII	798105	798201	+	2074.0	0.791	13.500000	19.29	3.76e-12	0.95
XIV-6	XIV	355386	355482	+	2074.0	0.778	12.500000	17.13	2.29e-11	0.91
XIV-4	XIV	495194	495290	+	2074.0	0.682	13.000000	22.19	1.21e-12	0.91
XIV-7	XIV	559349	559445	+	2074.0	0.528	12.500000	21.27	1.97e-12	0.91
XIV-5	XIV	604757	604853	+	2074.0	0.833	13.000000	30.75	2.83e-14	0.91
XV-19	XV	988142	988238	+	2074.0	0.667	13.000000	7.51	2.06e-07	0.91
XVI-10	XVI	114862	114958	+	2074.0	0.683	13.000000	17.85	1.44e-11	0.91
XVI-11	XVI	450901	450997	+	2074.0	0.778	13.000000	13.65	2.91e-10	0.95
XVI-9	XVI	455123	455219	+	2074.0	0.660	13.500000	12.33	9.68e-10	0.91
XVI-13	XVI	822302	822398	+	2074.0	0.705	12.500000	23.42	6.56e-13	0.91
II-7	II	168142	168238	+	1991.0	0.614	13.000000	11.24	1.71e-09	0.95
II-8	II	202400	202496	+	1991.0	0.756	13.000000	17.02	1.56e-11	0.95
II-13	II	376004	376100	+	1991.0	0.520	12.500000	9.07	1.77e-08	0.95
II-15	II	408730	408826	+	1991.0	0.590	12.000000	18.02	8.18e-12	0.95
II-16	II	426831	426927	+	1991.0	0.419	12.000000	26.63	9.31e-14	0.95
IV-12	IV	538951	539047	+	1991.0	0.583	13.500000	11.67	1.13e-09	0.95
IV-17	IV	926995	927091	+	1991.0	0.828	12.000000	14.85	7.21e-11	0.95
IV-15	IV	1345396	1345492	+	1991.0	0.595	12.500000	35.00	3.91e-15	0.95
V-14	V	80165	80261	+	1991.0	0.735	12.500000	17.63	1.05e-11	0.95
V-12	V	343297	343393	+	1991.0	0.781	13.000000	21.88	8.95e-13	0.95
V-18	V	349726	349822	+	1991.0	0.649	12.000000	22.90	5.30e-13	0.95
VI-5	VI	106709	106805	+	1991.0	0.667	12.500000	11.89	9.17e-10	0.95
VI-6	VI	176747	176843	+	1991.0	0.600	12.000000	19.60	3.14e-12	1.08
VII-22	VII	592611	592707	+	1991.0	0.565	12.000000	9.28	1.39e-08	0.99
VII-14	VII	766266	766362	+	1991.0	0.727	14.000000	25.26	1.72e-13	0.95
VII-23	VII	772035	772131	+	1991.0	0.750	12.000000	19.14	4.11e-12	0.99
VII-24	VII	974635	974731	+	1991.0	0.650	12.000000	12.25	6.11e-10	0.99
VIII-7	VIII	450844	450940	+	1991.0	0.700	12.500000	18.56	5.83e-12	0.95
X-8	X	455816	455912	+	1991.0	0.857	12.500000	32.24	1.02e-14	0.95
X-11	X	647168	647264	+	1991.0	0.757	12.000000	14.67	8.26e-11	0.99
XI-8	XI	68252	68348	+	1991.0	0.548	12.000000	10.56	3.40e-09	0.95
XI-7	XI	258835	258931	+	1991.0	0.614	12.500000	9.14	1.63e-08	0.95
XI-4	XI	260822	260918	+	1991.0	0.638	13.500000	8.75	2.62e-08	0.95
XII-11	XII	660359	660455	+	1991.0	0.575	12.000000	15.12	5.87e-11	0.95
XII-12	XII	759119	759215	+	1991.0	0.619	12.000000	36.57	2.34e-15	0.95
XII-13	XII	783627	783723	+	1991.0	0.650	12.000000	13.37	1.29e-09	0.95
XIII-12	XIII	431710	431806	+	1991.0	0.643	13.000000	13.12	2.45e-09	0.91
XIII-19	XIII	675234	675330	+	1991.0	0.743	11.500000	29.55	3.28e-13	1.00
XIII-13	XIII	773935	774031	+	1991.0	0.620	12.500000	9.18	1.57e-08	0.95
XV-21	XV	253817	253913	+	1991.0	0.714	12.500000	22.27	7.28e-13	0.95
XV-22	XV	304451	304547	+	1991.0	0.794	12.500000	14.85	7.21e-11	0.95
XV-26	XV	505481	505577	+	1991.0	0.694	12.000000	26.07	1.19e-13	0.95
XVI-14	XVI	132305	132401	+	1991.0	0.758	12.000000	13.24	2.58e-10	0.95
XVI-15	XVI	794657	794753	+	1991.0	0.610	12.000000	21.31	1.21e-12	0.95
I-2	I	68496	68592	+	1908.1	0.692	12.500000	12.23	4.97e-09	0.91
II-19	II	680170	680266	+	1908.1	0.658	11.000000	17.66	1.17e-10	0.95
IV-18	IV	76951	77047	+	1908.1	0.703	11.500000	23.25	6.63e-12	0.91
IV-19	IV	491211	491307	+	1908.1	0.558	11.500000	25.25	2.78e-12	0.91
IV-20	IV	550972	551068	+	1908.1	0.641	11.500000	15.35	4.95e-10	0.91
IV-16	IV	1359694	1359790	+	1908.1	0.771	12.500000	20.07	3.09e-11	0.91
IX-7	IX	249411	249507	+	1908.1	0.703	12.000000	10.17	3.46e-08	0.91
IX-5	IX	332802	332898	+	1908.1	0.600	13.000000	14.58	8.34e-10	0.91
V-19	V	42084	42180	+	1908.1	0.538	11.500000	22.15	1.10e-11	0.91
V-11	V	303515	303611	+	1908.1	0.660	13.000000	14.58	8.34e-10	0.91
V-16	V	306064	306160	+	1908.1	0.700	12.500000	14.49	8.89e-10	0.91
V-17	V	335612	335708	+	1908.1	0.681	12.500000	12.23	4.97e-09	0.91
V-21	V	461884	461980	+	1908.1	0.763	11.500000	16.28	1.71e-10	0.95
VII-21	VII	23371	23467	+	1908.1	0.614	12.000000	19.73	3.69e-11	0.91
VII-17	VII	884234	884330	+	1908.1	0.692	13.000000	17.92	1.00e-10	0.95
VII-25	VII	976974	977070	+	1908.1	0.651	11.500000	12.17	5.24e-09	1.00
VIII-11	VIII	280237	280333	+	1908.1	0.575	11.500000	13.57	1.73e-09	0.95
VIII-8	VIII	280482	280578	+	1908.1	0.619	12.000000	13.57	1.73e-09	0.91
X-13	X	220310	220406	+	1908.1	0.595	11.500000	14.96	6.45e-10	0.91
X-14	X	291228	291324	+	1908.1	0.667	11.500000	12.56	3.81e-09	0.91
X-15	X	651635	651731	+	1908.1	0.697	11.500000	15.87	3.52e-10	0.91
XII-9	XII	504171	504267	+	1908.1	0.714	12.500000	27.30	1.22e-12	0.91
XII-19	XII	1012239	1012335	+	1908.1	0.714	11.000000	16.42	2.47e-10	0.95
XIII-23	XIII	225641	225737	+	1908.1	0.774	11.000000	22.15	1.10e-11	0.95
XIII-27	XIII	271998	272094	+	1908.1	0.719	10.500000	26.99	1.37e-12	1.00
XIII-14	XIII	347170	347266	+	1908.1	0.758	12.000000	14.31	6.45e-10	0.95
XIII-15	XIII	477934	478030	+	1908.1	0.512	12.000000	16.39	1.59e-10	0.95
XIII-20	XIII	852285	852381	+	1908.1	0.618	11.500000	26.38	1.75e-12	0.91
XIV-9	XIV	427413	427509	+	1908.1	0.733	12.000000	26.38	1.75e-12	0.91
XV-30	XV	218854	218950	+	1908.1	0.619	11.500000	14.86	6.88e-10	0.91
XV-24	XV	505172	505268	+	1908.1	0.800	12.500000	24.21	4.33e-12	0.91
XV-32	XV	671082	671178	+	1908.1	0.756	11.500000	23.96	4.83e-12	0.95
XV-28	XV	882092	882188	+	1908.1	0.630	12.000000	16.65	2.14e-10	0.91
XV-33	XV	908611	908707	+	1908.1	0.610	11.500000	10.53	2.44e-08	0.91
XV-34	XV	989418	989514	+	1908.1	0.568	11.500000	6.95	1.42e-06	0.91
XVI-12	XVI	114633	114729	+	1908.1	0.674	12.500000	16.19	2.85e-10	0.91
XVI-17	XVI	679071	679167	+	1908.1	0.659	11.500000	14.68	7.83e-10	0.91
II-18	II	392422	392518	+	1825.1	0.658	11.000000	23.40	3.88e-12	0.95
IV-24	IV	1161765	1161861	+	1825.1	0.629	11.500000	13.21	1.45e-09	0.95
IV-26	IV	1362517	1362613	+	1825.1	0.703	11.000000	19.70	2.36e-11	0.95
V-15	V	85112	85208	+	1825.1	0.646	12.500000	10.64	1.40e-08	0.95
V-20	V	284602	284698	+	1825.1	0.543	11.500000	8.77	9.60e-08	0.95
VII-26	VII	30	126	+	1825.1	0.676	11.000000	44.92	3.72e-15	0.95
VII-27	VII	149096	149192	+	1825.1	0.706	11.000000	22.46	5.97e-12	0.95
VII-29	VII	809805	809901	+	1825.1	0.667	11.000000	17.28	9.24e-11	0.95
VIII-9	VIII	126192	126288	+	1825.1	0.667	11.500000	10.40	1.77e-08	0.95
VIII-12	VIII	382912	383008	+	1825.1	0.730	11.500000	21.81	8.14e-12	0.95
X-12	X	157445	157541	+	1825.1	0.571	11.500000	14.97	4.04e-10	0.95
X-10	X	195417	195513	+	1825.1	0.676	12.000000	26.74	9.48e-13	0.95
XI-11	XI	69567	69663	+	1825.1	0.818	11.500000	9.44	4.66e-08	0.95
XI-9	XI	321750	321846	+	1825.1	0.758	12.000000	12.25	2.50e-08	0.91
XI-14	XI	369485	369581	+	1825.1	0.667	10.500000	17.28	9.24e-11	1.00
XI-13	XI	382062	382158	+	1825.1	0.511	11.000000	9.56	4.11e-08	0.95
XII-15	XII	510823	510919	+	1825.1	0.769	11.500000	20.42	1.62e-11	0.95
XII-16	XII	932062	932158	+	1825.1	0.703	11.500000	18.81	4.64e-10	0.91
XIII-16	XIII	69887	69983	+	1825.1	0.705	11.500000	11.34	6.77e-09	0.95
XIII-17	XIII	70277	70373	+	1825.1	0.590	11.500000	11.23	7.49e-09	0.95
XIII-28	XIII	306122	306218	+	1825.1	0.800	10.500000	11.34	6.77e-09	1.00
XIII-24	XIII	540198	540294	+	1825.1	0.735	11.000000	14.68	4.95e-10	0.95
XV-35	XV	141	237	+	1825.1	0.727	11.000000	44.92	3.72e-15	0.95
XV-36	XV	161307	161403	+	1825.1	0.538	11.000000	12.01	3.81e-09	0.95
XV-37	XV	479992	480088	+	1825.1	0.824	11.000000	16.16	1.85e-10	0.95
XV-31	XV	494561	494657	+	1825.1	0.510	11.500000	19.03	3.38e-11	0.95
XV-38	XV	683733	683829	+	1825.1	0.758	11.000000	15.28	3.28e-10	0.95
XV-29	XV	908994	909090	+	1825.1	0.548	12.000000	10.50	1.61e-08	0.95
XVI-20	XVI	207795	207891	+	1825.1	0.759	11.000000	33.03	1.00e-13	0.95
XVI-21	XVI	527035	527131	+	1825.1	0.625	11.000000	26.42	1.07e-12	0.95
XVI-22	XVI	678830	678926	+	1825.1	0.638	11.000000	13.78	9.46e-10	0.95
XVI-19	XVI	860662	860758	+	1825.1	0.618	11.500000	12.98	1.73e-09	1.00
III-3	III	122680	122776	+	1742.2	0.676	11.000000	14.89	4.14e-09	0.91
IV-27	IV	308069	308165	+	1742.2	0.733	10.500000	18.81	4.64e-10	0.91
IV-22	IV	867890	867986	+	1742.2	0.852	11.500000	22.81	7.44e-11	0.91
IV-23	IV	893944	894040	+	1742.2	0.677	11.500000	14.68	4.71e-09	0.91
IV-29	IV	1013846	1013942	+	1742.2	0.742	10.500000	11.22	5.55e-08	0.91
IV-30	IV	1080506	1080602	+	1742.2	0.583	10.500000	29.17	4.39e-12	0.95
IV-31	IV	1233866	1233962	+	1742.2	0.885	10.500000	26.15	2.01e-11	0.91
IX-8	IX	333283	333379	+	1742.2	0.522	12.000000	13.15	1.30e-08	0.91
V-25	V	174723	174819	+	1742.2	0.710	10.500000	16.74	8.79e-10	1.01
V-23	V	311628	311724	+	1742.2	0.659	11.000000	17.29	1.02e-09	0.91
VII-31	VII	592083	592179	+	1742.2	0.710	10.500000	8.03	1.23e-06	0.91
VII-20	VII	774396	774492	+	1742.2	0.676	12.500000	15.65	2.60e-09	0.91
VIII-14	VIII	98524	98620	+	1742.2	0.889	10.500000	18.32	5.93e-10	0.91
VIII-10	VIII	190248	190344	+	1742.2	0.632	11.500000	18.56	3.31e-10	0.95
VIII-13	VIII	296854	296950	+	1742.2	0.667	11.000000	8.51	4.79e-07	0.95
VIII-16	VIII	505729	505825	+	1742.2	0.613	10.500000	33.50	1.84e-12	0.91
XI-12	XI	231413	231509	+	1742.2	0.610	11.500000	16.24	1.84e-09	0.91
XII-10	XII	253420	253516	+	1742.2	0.615	12.000000	19.14	3.93e-10	0.91
XIII-21	XIII	146231	146327	+	1742.2	0.629	11.000000	34.03	1.58e-12	0.91
XIII-22	XIII	170081	170177	+	1742.2	0.611	11.000000	16.88	1.28e-09	0.91
XIII-18	XIII	661857	661953	+	1742.2	0.561	11.500000	14.58	5.02e-09	0.91
XIII-25	XIII	754374	754470	+	1742.2	0.742	11.000000	13.07	1.38e-08	0.91
XIII-31	XIII	774504	774600	+	1742.2	0.548	10.000000	7.34	1.76e-06	1.01
XIV-11	XIV	441021	441117	+	1742.2	0.657	10.500000	16.75	1.38e-09	0.91
XV-39	XV	161793	161889	+	1742.2	0.667	10.500000	11.46	4.58e-08	1.01
XV-25	XV	304829	304925	+	1742.2	0.719	12.000000	12.84	1.63e-08	0.91
XV-27	XV	511459	511555	+	1742.2	0.595	12.000000	16.62	1.48e-09	0.91
XV-42	XV	825748	825844	+	1742.2	0.568	10.500000	23.30	6.06e-11	0.91
XVI-23	XVI	75379	75475	+	1742.2	0.793	10.500000	14.18	4.14e-09	0.95
XVI-16	XVI	281856	281952	+	1742.2	0.604	11.500000	21.66	1.22e-10	0.91
XVI-25	XVI	645098	645194	+	1742.2	0.524	10.500000	5.75	2.19e-05	0.91
XVI-18	XVI	829302	829398	+	1742.2	0.561	11.500000	10.77	8.04e-08	0.91
I-3	I	68826	68922	+	1659.2	0.647	10.000000	10.16	8.80e-08	0.95
II-20	II	702274	702370	+	1659.2	0.647	11.000000	18.23	3.93e-10	0.95
III-5	III	50587	50683	+	1659.2	0.559	10.000000	11.73	2.37e-08	0.95
IV-38	IV	866784	866880	+	1659.2	0.741	10.000000	21.05	1.00e-10	0.95
IV-39	IV	1251780	1251876	+	1659.2	0.815	10.000000	41.67	1.37e-13	0.95
IV-25	IV	1278754	1278850	+	1659.2	0.697	11.000000	13.61	6.05e-09	0.95
IX-14	IX	138661	138757	+	1659.2	0.538	9.500000	10.80	5.04e-08	1.01
IX-9	IX	177502	177598	+	1659.2	0.488	11.000000	13.01	9.23e-09	0.95
