# Program:featureCounts v2.0.1; Command:"featureCounts" "-F" "SAF" "-O" "--fracOverlap" "0.2" "-p" "-T" "2" "-a" "SPT5.consensus_peaks.saf" "-o" "SPT5_T0_R2.featureCounts.txt" "SPT5_T0_R2.mLb.clN.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SPT5_T0_R2.mLb.clN.sorted.bam
Interval_100	II	644916	645469	+	554	7
Interval_101	II	662581	662853	+	273	9
Interval_102	II	668332	668756	+	425	12
Interval_103	II	680103	681135	+	1033	27
Interval_104	II	681847	682303	+	457	7
Interval_105	II	697521	698008	+	488	20
Interval_106	II	702265	702597	+	333	9
Interval_107	II	706919	707298	+	380	6
Interval_108	II	718216	718517	+	302	1
Interval_109	II	761000	761196	+	197	7
Interval_110	II	770614	771163	+	550	13
Interval_111	II	776183	776461	+	279	2
Interval_112	II	792123	792299	+	177	0
Interval_113	II	798740	798989	+	250	8
Interval_114	III	56	995	+	940	88
Interval_115	III	17004	17232	+	229	4
Interval_116	III	27397	27645	+	249	0
Interval_117	III	31172	31358	+	187	0
Interval_118	III	40777	40953	+	177	2
Interval_119	III	48328	48532	+	205	3
Interval_120	III	50345	50807	+	463	21
Interval_121	III	52193	52390	+	198	0
Interval_122	III	58742	58914	+	173	6
Interval_123	III	68540	68770	+	231	19
Interval_124	III	77836	78936	+	1101	26
Interval_125	III	82403	82600	+	198	8
Interval_126	III	107161	107327	+	167	5
Interval_127	III	122588	124004	+	1417	55
Interval_128	III	124861	125484	+	624	15
Interval_129	III	127410	127933	+	524	17
Interval_130	III	133340	133619	+	280	3
Interval_131	III	137110	137867	+	758	35
Interval_132	III	163265	164297	+	1033	28
Interval_133	III	168200	168440	+	241	1
Interval_134	III	169750	170045	+	296	7
Interval_135	III	177007	177230	+	224	8
Interval_136	III	178209	179362	+	1154	31
Interval_137	III	223322	223812	+	491	4
Interval_138	III	224882	225469	+	588	15
Interval_139	III	227853	228254	+	402	7
Interval_140	III	228549	229085	+	537	17
Interval_141	III	236317	236998	+	682	19
Interval_142	III	246665	246895	+	231	9
Interval_143	III	262722	262932	+	211	1
Interval_144	III	295512	295719	+	208	12
Interval_145	III	299159	299362	+	204	4
Interval_146	III	315773	316514	+	742	54
Interval_147	IV	8	812	+	805	36
Interval_148	IV	20021	20363	+	343	9
Interval_149	IV	49415	49728	+	314	2
Interval_150	IV	61619	62748	+	1130	6
Interval_151	IV	70258	70439	+	182	1
Interval_152	IV	76795	77212	+	418	5
Interval_153	IV	83573	83827	+	255	3
Interval_154	IV	97987	98377	+	391	3
Interval_155	IV	106614	106939	+	326	1
Interval_156	IV	130263	130803	+	541	16
Interval_157	IV	132616	133304	+	689	14
Interval_158	IV	159176	159437	+	262	1
Interval_159	IV	199621	199907	+	287	1
Interval_160	IV	202727	202914	+	188	0
Interval_161	IV	212842	213066	+	225	6
Interval_162	IV	215773	216032	+	260	17
Interval_163	IV	217262	217565	+	304	13
Interval_164	IV	221954	222203	+	250	14
Interval_165	IV	228987	229336	+	350	4
Interval_166	IV	230713	230983	+	271	4
Interval_167	IV	234160	234816	+	657	12
Interval_168	IV	239598	240131	+	534	12
Interval_169	IV	241778	242147	+	370	1
Interval_170	IV	245475	245749	+	275	5
Interval_171	IV	258472	258781	+	310	1
Interval_172	IV	263956	264208	+	253	1
Interval_173	IV	302842	303056	+	215	6
Interval_174	IV	307890	308518	+	629	33
Interval_175	IV	314738	314973	+	236	0
Interval_176	IV	321561	322118	+	558	22
Interval_177	IV	330360	330970	+	611	17
Interval_178	IV	356964	357790	+	827	33
Interval_179	IV	358008	358207	+	200	1
Interval_180	IV	366175	366487	+	313	8
Interval_181	IV	368592	369478	+	887	29
Interval_182	IV	384506	384867	+	362	10
Interval_183	IV	385859	387079	+	1221	27
Interval_184	IV	392373	392664	+	292	5
Interval_185	IV	392676	392840	+	165	0
Interval_186	IV	407460	407755	+	296	4
Interval_187	IV	410310	412935	+	2626	53
Interval_188	IV	416962	417137	+	176	7
Interval_189	IV	437768	438119	+	352	2
Interval_190	IV	461449	461775	+	327	9
Interval_191	IV	465079	465664	+	586	20
Interval_192	IV	483738	483972	+	235	1
Interval_193	IV	485402	485877	+	476	1
Interval_194	IV	488427	488749	+	323	4
Interval_195	IV	488807	489387	+	581	12
Interval_196	IV	491107	491378	+	272	4
Interval_197	IV	501400	501596	+	197	2
Interval_198	IV	507332	507601	+	270	10
Interval_199	IV	512267	512446	+	180	4
Interval_200	IV	519613	519828	+	216	4
Interval_201	IV	521089	521337	+	249	4
Interval_202	IV	524816	525174	+	359	6
Interval_203	IV	538771	539666	+	896	19
Interval_204	IV	541513	542215	+	703	6
Interval_205	IV	543661	543872	+	212	5
Interval_206	IV	545986	546367	+	382	6
Interval_207	IV	550772	551608	+	837	26
Interval_208	IV	555085	555435	+	351	8
Interval_209	IV	556611	556930	+	320	20
Interval_210	IV	562661	562886	+	226	5
Interval_211	IV	568768	568980	+	213	5
Interval_212	IV	569985	570458	+	474	3
Interval_213	IV	591544	592475	+	932	38
Interval_214	IV	593260	593828	+	569	3
Interval_215	IV	595958	596443	+	486	1
Interval_216	IV	599743	600951	+	1209	41
Interval_217	IV	600972	601163	+	192	2
Interval_218	IV	635677	636545	+	869	11
Interval_219	IV	690638	690961	+	324	3
Interval_220	IV	721663	722126	+	464	16
Interval_221	IV	722577	722775	+	199	2
Interval_222	IV	755209	755454	+	246	2
Interval_223	IV	768192	768368	+	177	2
Interval_224	IV	768964	769810	+	847	24
Interval_225	IV	794093	794392	+	300	3
Interval_226	IV	806077	806692	+	616	7
Interval_227	IV	811747	812066	+	320	11
Interval_228	IV	835800	836285	+	486	18
Interval_229	IV	867699	868018	+	320	7
Interval_230	IV	884437	884658	+	222	9
Interval_231	IV	889140	889412	+	273	0
Interval_232	IV	893797	894414	+	618	9
Interval_233	IV	909214	909679	+	466	7
Interval_234	IV	914503	915231	+	729	7
Interval_235	IV	926988	927259	+	272	7
Interval_236	IV	930490	930898	+	409	21
Interval_237	IV	946336	946524	+	189	3
Interval_238	IV	954157	954405	+	249	0
Interval_239	IV	955003	955544	+	542	2
Interval_240	IV	959983	960185	+	203	7
Interval_241	IV	976220	976984	+	765	26
Interval_242	IV	992886	993072	+	187	8
Interval_243	IV	1011344	1011932	+	589	27
Interval_244	IV	1013757	1014136	+	380	9
Interval_245	IV	1016013	1016498	+	486	6
Interval_246	IV	1030331	1030574	+	244	2
Interval_247	IV	1031778	1032111	+	334	5
Interval_248	IV	1055826	1056278	+	453	9
Interval_249	IV	1059117	1059356	+	240	4
Interval_250	IV	1075175	1075516	+	342	1
Interval_251	IV	1080408	1080797	+	390	17
Interval_252	IV	1086928	1087456	+	529	2
Interval_253	IV	1135383	1135592	+	210	2
Interval_254	IV	1150639	1151043	+	405	9
Interval_255	IV	1156259	1156563	+	305	3
Interval_256	IV	1161670	1162179	+	510	5
Interval_257	IV	1164846	1165720	+	875	31
Interval_258	IV	1183094	1183535	+	442	4
Interval_259	IV	1189735	1189934	+	200	4
Interval_260	IV	1194997	1195379	+	383	5
Interval_261	IV	1201666	1202070	+	405	6
Interval_262	IV	1213226	1213430	+	205	0
Interval_263	IV	1226600	1226810	+	211	3
Interval_264	IV	1233649	1233969	+	321	3
Interval_265	IV	1238303	1238506	+	204	4
Interval_266	IV	1241897	1243054	+	1158	30
Interval_267	IV	1251756	1251924	+	169	6
Interval_268	IV	1266476	1266678	+	203	5
Interval_269	IV	1266777	1267343	+	567	9
Interval_270	IV	1278507	1280019	+	1513	19
Interval_271	IV	1289028	1289504	+	477	3
Interval_272	IV	1301021	1301679	+	659	18
Interval_273	IV	1305555	1305784	+	230	5
Interval_274	IV	1345370	1345638	+	269	6
Interval_275	IV	1355651	1355948	+	298	16
Interval_276	IV	1359528	1359809	+	282	18
Interval_277	IV	1362349	1362651	+	303	11
Interval_278	IV	1366984	1367341	+	358	1
Interval_279	IV	1384786	1385186	+	401	4
Interval_280	IV	1385784	1385966	+	183	8
Interval_281	IV	1386686	1386881	+	196	1
Interval_282	IV	1401336	1401700	+	365	20
Interval_283	IV	1411399	1411808	+	410	4
Interval_284	IV	1420453	1421021	+	569	8
Interval_285	IV	1429074	1429464	+	391	18
Interval_286	IV	1434438	1434690	+	253	3
Interval_287	IV	1445657	1446051	+	395	4
Interval_288	IV	1450961	1451211	+	251	8
Interval_289	IV	1459548	1459876	+	329	6
Interval_290	IV	1468602	1469464	+	863	37
Interval_291	IV	1470668	1470956	+	289	4
Interval_292	IV	1476597	1476914	+	318	3
Interval_293	IV	1489647	1491170	+	1524	73
Interval_294	IV	1493091	1494179	+	1089	25
Interval_295	IV	1496693	1496952	+	260	3
Interval_296	IV	1502370	1502618	+	249	9
Interval_297	IV	1506804	1507856	+	1053	13
Interval_298	IV	1517924	1518181	+	258	4
Interval_299	IV	1524846	1525639	+	794	77
Interval_300	IX	0	245	+	246	30
Interval_301	IX	36805	37177	+	373	1
Interval_302	IX	54145	54344	+	200	0
Interval_303	IX	68242	68767	+	526	18
Interval_304	IX	73521	73694	+	174	0
Interval_305	IX	77457	77953	+	497	5
Interval_306	IX	84752	85239	+	488	5
Interval_307	IX	96528	96753	+	226	5
Interval_308	IX	99535	99861	+	327	27
Interval_309	IX	102352	102585	+	234	5
Interval_310	IX	106065	106321	+	257	4
Interval_311	IX	127783	127954	+	172	4
Interval_312	IX	129875	130131	+	257	5
Interval_313	IX	131933	132310	+	378	8
Interval_314	IX	138230	139680	+	1451	52
Interval_315	IX	142582	142749	+	168	5
Interval_316	IX	150248	150448	+	201	1
Interval_317	IX	160518	160726	+	209	1
Interval_318	IX	166006	166294	+	289	20
Interval_319	IX	169736	170178	+	443	5
Interval_320	IX	173394	173718	+	325	2
Interval_321	IX	174963	175129	+	167	7
Interval_322	IX	177501	177868	+	368	17
Interval_323	IX	197516	197816	+	301	7
Interval_324	IX	207534	207700	+	167	0
Interval_325	IX	215010	215311	+	302	7
Interval_326	IX	216115	216338	+	224	5
Interval_327	IX	222625	222819	+	195	6
Interval_328	IX	232449	232907	+	459	34
Interval_329	IX	248765	249868	+	1104	50
Interval_330	IX	254141	254952	+	812	53
Interval_331	IX	255367	255618	+	252	4
Interval_332	IX	257206	257764	+	559	25
Interval_333	IX	258164	258754	+	591	13
Interval_334	IX	267831	268711	+	881	21
Interval_335	IX	291848	292338	+	491	3
Interval_336	IX	310905	311108	+	204	3
Interval_337	IX	316309	316612	+	304	17
Interval_338	IX	322075	322280	+	206	3
Interval_339	IX	325653	326041	+	389	5
Interval_340	IX	332656	333583	+	928	35
Interval_341	IX	336085	336369	+	285	8
Interval_342	IX	338271	339297	+	1027	32
Interval_343	IX	343919	344184	+	266	1
Interval_344	IX	370119	370341	+	223	0
Interval_345	IX	382161	382667	+	507	22
Interval_346	IX	383812	384731	+	920	27
Interval_347	IX	386298	387037	+	740	20
Interval_348	IX	388411	389245	+	835	23
Interval_349	IX	394901	395184	+	284	9
Interval_350	IX	415822	416036	+	215	5
Interval_351	IX	427278	427557	+	280	13
Interval_352	IX	439055	439861	+	807	83
Interval_353	MT	14072	14443	+	372	35
Interval_354	MT	14826	15868	+	1043	45
Interval_355	MT	18099	18387	+	289	9
Interval_356	MT	18764	18953	+	190	11
Interval_357	MT	25955	26294	+	340	10
Interval_358	MT	36598	36986	+	389	22
Interval_359	MT	43354	43612	+	259	11
Interval_360	MT	60493	60685	+	193	11
Interval_361	MT	73792	74184	+	393	18
Interval_362	MT	79260	79960	+	701	56
Interval_363	V	210	482	+	273	1
Interval_364	V	6207	6780	+	574	21
Interval_365	V	13143	13520	+	378	4
Interval_366	V	16037	16267	+	231	8
Interval_367	V	42065	42591	+	527	20
Interval_368	V	53271	53944	+	674	40
Interval_369	V	56298	56621	+	324	8
Interval_370	V	61106	61451	+	346	6
Interval_371	V	68210	68397	+	188	2
Interval_372	V	68583	70353	+	1771	90
Interval_373	V	80027	80402	+	376	4
Interval_374	V	84798	85719	+	922	57
Interval_375	V	86463	86739	+	277	7
Interval_376	V	99900	100168	+	269	5
Interval_377	V	117435	118208	+	774	34
Interval_378	V	123106	123601	+	496	25
Interval_379	V	131064	131621	+	558	8
Interval_380	V	140477	141770	+	1294	87
Interval_381	V	149949	150165	+	217	1
Interval_382	V	152477	153287	+	811	27
Interval_383	V	174577	175002	+	426	8
Interval_384	V	177116	177673	+	558	10
Interval_385	V	191947	192482	+	536	25
Interval_386	V	194660	195020	+	361	8
Interval_387	V	208614	208814	+	201	5
Interval_388	V	211750	212418	+	669	11
Interval_389	V	221370	222764	+	1395	24
Interval_390	V	225387	225724	+	338	5
Interval_391	V	242107	242571	+	465	13
Interval_392	V	259993	260269	+	277	2
Interval_393	V	261267	261830	+	564	8
Interval_394	V	264150	264619	+	470	2
Interval_395	V	266153	266317	+	165	7
Interval_396	V	268319	269154	+	836	28
Interval_397	V	270268	270568	+	301	24
Interval_398	V	278995	279592	+	598	0
Interval_399	V	280799	281563	+	765	20
Interval_400	V	284438	285072	+	635	29
Interval_401	V	291374	291662	+	289	1
Interval_402	V	292701	292910	+	210	5
Interval_403	V	295088	295734	+	647	6
Interval_404	V	298269	298537	+	269	4
Interval_405	V	303280	303814	+	535	33
Interval_406	V	305928	306255	+	328	6
Interval_407	V	311417	311937	+	521	15
Interval_408	V	311948	312179	+	232	5
Interval_409	V	321957	322134	+	178	5
Interval_410	V	328300	328540	+	241	0
Interval_411	V	335133	336143	+	1011	33
Interval_412	V	342449	343461	+	1013	26
Interval_413	V	349484	350008	+	525	11
Interval_414	V	354670	355329	+	660	28
Interval_415	V	362289	362643	+	355	20
Interval_416	V	386748	387084	+	337	10
Interval_417	V	396288	396659	+	372	33
Interval_418	V	400761	401059	+	299	5
Interval_419	V	409259	409535	+	277	9
Interval_420	V	422043	422357	+	315	7
Interval_421	V	422445	423458	+	1014	28
Interval_422	V	430870	431383	+	514	16
Interval_423	V	434428	434596	+	169	6
Interval_424	V	435459	436224	+	766	15
Interval_425	V	438724	439614	+	891	16
Interval_426	V	441760	443118	+	1359	62
Interval_427	V	461740	462457	+	718	26
Interval_428	V	462692	462899	+	208	6
Interval_429	V	463057	463466	+	410	6
Interval_430	V	467587	468225	+	639	13
Interval_431	V	474165	474976	+	812	8
Interval_432	V	482963	483175	+	213	6
Interval_433	V	490894	491494	+	601	40
Interval_434	V	492162	492407	+	246	5
Interval_435	V	522813	523048	+	236	6
Interval_436	V	544782	545568	+	787	16
Interval_437	V	546641	547390	+	750	7
Interval_438	V	569832	570714	+	883	64
Interval_439	VI	4240	5557	+	1318	103
Interval_440	VI	16592	16853	+	262	7
Interval_441	VI	27834	28080	+	247	0
Interval_442	VI	31852	32180	+	329	2
Interval_443	VI	54831	55266	+	436	15
Interval_444	VI	74716	75006	+	291	6
Interval_445	VI	76617	77032	+	416	3
Interval_446	VI	82110	82430	+	321	13
Interval_447	VI	90397	90919	+	523	21
Interval_448	VI	95147	95966	+	820	33
Interval_449	VI	101167	101506	+	340	2
Interval_450	VI	103386	103632	+	247	2
Interval_451	VI	106254	107738	+	1485	22
Interval_452	VI	176624	177059	+	436	3
Interval_453	VI	183052	184373	+	1322	48
Interval_454	VI	204699	205165	+	467	8
Interval_455	VI	221370	222200	+	831	45
Interval_456	VI	223845	224104	+	260	18
Interval_457	VI	224700	227013	+	2314	118
Interval_458	VI	251916	252347	+	432	6
Interval_459	VI	255319	256482	+	1164	6
Interval_460	VI	263131	263485	+	355	10
Interval_461	VII	8	569	+	562	53
Interval_462	VII	10093	10353	+	261	8
Interval_463	VII	23131	23805	+	675	23
Interval_464	VII	35212	35404	+	193	1
Interval_465	VII	67255	67517	+	263	7
Interval_466	VII	73786	74387	+	602	10
Interval_467	VII	76535	76805	+	271	5
Interval_468	VII	94801	95199	+	399	8
Interval_469	VII	110410	110973	+	564	13
Interval_470	VII	115388	115841	+	454	12
Interval_471	VII	121904	122579	+	676	14
Interval_472	VII	124326	124601	+	276	1
Interval_473	VII	149044	149391	+	348	17
Interval_474	VII	159132	159352	+	221	4
Interval_475	VII	165016	166495	+	1480	24
Interval_476	VII	190872	191232	+	361	11
Interval_477	VII	197132	198063	+	932	18
Interval_478	VII	205320	205683	+	364	6
Interval_479	VII	206405	206711	+	307	5
Interval_480	VII	228453	228722	+	270	9
Interval_481	VII	254273	254583	+	311	6
Interval_482	VII	271017	272242	+	1226	72
Interval_483	VII	272682	272921	+	240	0
Interval_484	VII	276802	277431	+	630	19
Interval_485	VII	284133	284344	+	212	1
Interval_486	VII	287291	287516	+	226	6
Interval_487	VII	319766	319960	+	195	7
Interval_488	VII	323683	324078	+	396	9
Interval_489	VII	345806	345976	+	171	4
Interval_490	VII	366084	366497	+	414	15
Interval_491	VII	368302	368654	+	353	8
Interval_492	VII	371028	371720	+	693	28
Interval_493	VII	383351	383538	+	188	4
Interval_494	VII	384389	385778	+	1390	28
Interval_495	VII	397744	398476	+	733	40
Interval_496	VII	399491	399692	+	202	5
Interval_497	VII	405486	405687	+	202	1
Interval_498	VII	413020	413692	+	673	27
Interval_499	VII	422970	423712	+	743	13
Interval_500	VII	428144	428387	+	244	9
Interval_501	VII	432741	433573	+	833	15
Interval_502	VII	433743	434054	+	312	4
Interval_503	VII	438519	438879	+	361	17
Interval_504	VII	472384	472938	+	555	3
Interval_505	VII	479944	480192	+	249	11
Interval_506	VII	480718	481056	+	339	12
Interval_507	VII	481736	481950	+	215	8
Interval_508	VII	482764	484510	+	1747	80
Interval_509	VII	515923	516595	+	673	10
Interval_510	VII	525621	525891	+	271	7
Interval_511	VII	528429	528973	+	545	10
Interval_512	VII	534925	535452	+	528	11
Interval_513	VII	541599	541938	+	340	5
Interval_514	VII	547315	547746	+	432	14
Interval_515	VII	555451	555697	+	247	16
Interval_516	VII	557697	557938	+	242	5
Interval_517	VII	560116	560451	+	336	4
Interval_518	VII	561711	561909	+	199	5
Interval_519	VII	576552	577004	+	453	12
Interval_520	VII	581659	581849	+	191	4
Interval_521	VII	584224	584665	+	442	4
Interval_522	VII	591605	593246	+	1642	31
Interval_523	VII	596352	596561	+	210	3
Interval_524	VII	598868	599292	+	425	9
Interval_525	VII	609226	610522	+	1297	33
Interval_526	VII	625178	625745	+	568	8
Interval_527	VII	640487	640662	+	176	6
Interval_528	VII	650656	651531	+	876	17
Interval_529	VII	653952	654729	+	778	10
Interval_530	VII	661762	661989	+	228	13
Interval_531	VII	677558	678162	+	605	6
Interval_532	VII	678223	678443	+	221	2
Interval_533	VII	700604	701002	+	399	5
Interval_534	VII	702740	703068	+	329	10
Interval_535	VII	706868	707199	+	332	9
Interval_536	VII	709146	709411	+	266	2
Interval_537	VII	726510	726886	+	377	22
Interval_538	VII	733192	733742	+	551	15
Interval_539	VII	733747	734033	+	287	2
Interval_540	VII	739038	739802	+	765	15
Interval_541	VII	753927	754421	+	495	5
Interval_542	VII	756569	756827	+	259	3
Interval_543	VII	766111	766557	+	447	14
Interval_544	VII	770393	770619	+	227	2
Interval_545	VII	774275	774819	+	545	19
Interval_546	VII	785425	786038	+	614	20
Interval_547	VII	786905	787125	+	221	4
Interval_548	VII	788247	788813	+	567	19
Interval_549	VII	798291	798472	+	182	8
Interval_550	VII	809466	810755	+	1290	19
Interval_551	VII	811055	811253	+	199	4
Interval_552	VII	823477	823823	+	347	10
Interval_553	VII	828230	828907	+	678	5
Interval_554	VII	856464	857957	+	1494	37
Interval_555	VII	882473	884382	+	1910	78
Interval_556	VII	894222	894945	+	724	7
Interval_557	VII	904731	905817	+	1087	45
Interval_558	VII	913189	913407	+	219	3
Interval_559	VII	914707	915158	+	452	8
Interval_560	VII	919722	920448	+	727	37
Interval_561	VII	922009	922256	+	248	2
Interval_562	VII	931011	931241	+	231	4
Interval_563	VII	939175	939472	+	298	3
Interval_564	VII	951326	951638	+	313	5
Interval_565	VII	953664	953860	+	197	2
Interval_566	VII	958485	958812	+	328	7
Interval_567	VII	959120	959586	+	467	17
Interval_568	VII	974220	974824	+	605	16
Interval_569	VII	976790	977350	+	561	12
Interval_570	VII	986837	987923	+	1087	40
Interval_571	VII	993847	994236	+	390	6
Interval_572	VII	1000041	1000762	+	722	45
Interval_573	VII	1026731	1027200	+	470	9
Interval_574	VII	1050355	1050618	+	264	9
Interval_575	VII	1052095	1052644	+	550	14
Interval_576	VII	1061897	1062082	+	186	3
Interval_577	VII	1072533	1072974	+	442	10
Interval_578	VII	1083867	1084497	+	631	60
Interval_579	VIII	13	419	+	407	39
Interval_580	VIII	4904	5286	+	383	20
Interval_581	VIII	17419	18085	+	667	17
Interval_582	VIII	18211	18458	+	248	3
Interval_583	VIII	48020	48683	+	664	39
Interval_584	VIII	50575	50888	+	314	6
Interval_585	VIII	54367	54836	+	470	6
Interval_586	VIII	55226	56291	+	1066	26
Interval_587	VIII	62474	62781	+	308	6
Interval_588	VIII	98215	98956	+	742	27
Interval_589	VIII	103812	104181	+	370	7
Interval_590	VIII	113203	113384	+	182	0
Interval_591	VIII	121915	122772	+	858	58
Interval_592	VIII	126001	126401	+	401	20
Interval_593	VIII	138362	138567	+	206	0
Interval_594	VIII	146192	146390	+	199	7
Interval_595	VIII	148790	149136	+	347	23
Interval_596	VIII	150737	151501	+	765	14
Interval_597	VIII	174751	175422	+	672	6
Interval_598	VIII	177215	177546	+	332	0
Interval_599	VIII	190119	190435	+	317	10
Interval_600	VIII	206005	206350	+	346	1
Interval_601	VIII	236077	236549	+	473	29
Interval_602	VIII	255966	256209	+	244	2
Interval_603	VIII	267018	267992	+	975	11
Interval_604	VIII	272408	272577	+	170	6
Interval_605	VIII	280214	281462	+	1249	13
Interval_606	VIII	289286	289650	+	365	1
Interval_607	VIII	292670	294202	+	1533	35
Interval_608	VIII	296734	297222	+	489	13
Interval_609	VIII	298654	299169	+	516	1
Interval_610	VIII	316075	316331	+	257	4
Interval_611	VIII	332568	332937	+	370	3
Interval_612	VIII	341382	341648	+	267	3
Interval_613	VIII	341960	342422	+	463	2
Interval_614	VIII	368070	368268	+	199	6
Interval_615	VIII	375075	375559	+	485	15
Interval_616	VIII	381381	381568	+	188	3
Interval_617	VIII	382822	383177	+	356	22
Interval_618	VIII	384839	385167	+	329	4
Interval_619	VIII	388664	388979	+	316	6
Interval_620	VIII	393415	393634	+	220	0
Interval_621	VIII	400867	401187	+	321	4
Interval_622	VIII	417593	417841	+	249	1
Interval_623	VIII	422465	422838	+	374	11
Interval_624	VIII	437055	437339	+	285	2
Interval_625	VIII	450542	451378	+	837	33
Interval_626	VIII	451656	453437	+	1782	62
Interval_627	VIII	455594	456085	+	492	10
Interval_628	VIII	484288	484516	+	229	3
Interval_629	VIII	488412	488732	+	321	2
Interval_630	VIII	497383	497648	+	266	0
Interval_631	VIII	498513	498780	+	268	4
Interval_632	VIII	505657	506076	+	420	20
Interval_633	VIII	512104	512403	+	300	6
Interval_634	VIII	540824	541040	+	217	8
Interval_635	VIII	549203	549613	+	411	13
Interval_636	VIII	556196	557046	+	851	75
Interval_637	VIII	562238	562583	+	346	23
Interval_638	X	36176	36781	+	606	11
Interval_639	X	36983	37173	+	191	0
Interval_640	X	37440	37779	+	340	0
Interval_641	X	60251	60765	+	515	5
Interval_642	X	68896	69204	+	309	4
Interval_643	X	73563	73807	+	245	5
Interval_644	X	74268	74476	+	209	7
Interval_645	X	74900	75804	+	905	28
Interval_646	X	79576	79919	+	344	3
Interval_647	X	79923	80125	+	203	6
Interval_648	X	83130	83662	+	533	8
Interval_649	X	90156	90645	+	490	26
